ds,P,PrA,T,UR,VV
2021-03-15,0.0,926.0333333333332,23.379166666666663,67.83333333333333,0.5125000000000001
2021-03-16,0.0,925.075,23.683333333333337,68.54166666666667,1.6833333333333331
2021-03-17,0.0,923.5708333333332,24.6125,63.458333333333336,1.8375
2021-03-18,16.2,923.95,22.795833333333334,73.625,1.3958333333333333
2021-03-19,11.6,926.0791666666668,22.258333333333336,77.91666666666667,0.8291666666666666
2021-03-20,0.0,928.425,23.458333333333332,73.79166666666667,1.9208333333333336
2021-03-21,0.0,928.7916666666666,24.445833333333336,64.875,1.4291666666666665
2021-03-22,0.0,927.7791666666668,25.025,62.5,0.7999999999999999
2021-03-23,0.0,927.675,24.554166666666664,62.75,0.2416666666666666
2021-03-24,0.0,927.725,25.020833333333332,64.125,1.6375
2021-03-25,0.0,928.2083333333334,24.25,65.45833333333333,1.6833333333333331
2021-03-26,0.0,926.8875,24.975,64.70833333333333,1.375
2021-03-27,0.0,925.6375,25.75,59.416666666666664,1.2875
2021-03-28,0.2,925.325,25.266666666666666,59.75,1.9916666666666665
2021-03-29,0.0,924.3708333333334,25.3875,59.875,0.0
2021-03-30,5.0,923.0583333333334,23.28333333333333,65.20833333333333,0.2041666666666667
2021-03-31,0.0,922.225,20.741666666666667,68.125,1.7583333333333335
2021-04-01,0.0,923.7083333333334,19.558333333333337,64.375,1.7625
2021-04-02,1.0,927.0291666666668,19.891666666666666,69.54166666666667,1.4375
2021-04-03,0.0,928.0375,20.4875,70.875,0.0
2021-04-04,0.0,928.7208333333332,20.6375,68.25,0.0
2021-04-05,0.0,928.4791666666666,20.795833333333334,67.16666666666667,0.0
2021-04-06,15.6,927.7458333333334,19.383333333333333,77.04166666666667,0.0
2021-04-07,0.6000000000000001,928.9083333333332,20.125,74.58333333333333,0.0
2021-04-08,0.0,931.1041666666666,20.466666666666665,66.33333333333333,0.0
2021-04-09,0.0,931.2625,20.979166666666668,65.08333333333333,0.0
2021-04-10,0.0,928.3708333333334,22.170833333333334,59.541666666666664,0.0
2021-04-11,0.0,926.4666666666668,22.4625,53.25,0.0
2021-04-12,0.0,926.1958333333332,23.333333333333332,51.5,0.0
2021-04-13,0.6000000000000001,929.6041666666666,19.525,76.33333333333333,0.0
2021-04-14,0.2,929.4583333333334,18.858333333333334,70.0,0.0
2021-04-15,0.0,928.6,19.695833333333333,68.70833333333333,0.0
2021-04-16,0.0,926.7583333333332,19.858333333333334,70.16666666666667,0.0
2021-04-17,0.4,925.4708333333332,20.725,67.29166666666667,0.0
2021-04-18,28.4,924.7083333333334,19.695833333333333,80.95833333333333,0.0
2021-04-19,1.4,926.275,18.454166666666666,79.79166666666667,0.0
2021-04-20,2.2,927.2916666666666,18.391666666666666,76.54166666666667,0.0
2021-04-21,0.2,927.2458333333334,18.320833333333333,75.45833333333333,0.0
2021-04-22,1.6,927.7541666666666,17.095833333333335,77.79166666666667,0.0
2021-04-23,0.0,927.3208333333332,17.766666666666666,71.70833333333333,0.0
2021-04-24,0.0,925.85,20.1625,63.583333333333336,0.0
2021-04-25,0.0,924.45,20.9,67.375,0.0
2021-04-26,1.0,924.8458333333332,20.8625,70.95833333333333,0.0
2021-04-27,0.0,925.725,19.7875,75.91666666666667,0.0
2021-04-28,0.0,927.2625,19.066666666666663,68.625,0.0
2021-04-29,1.0,930.8375,17.266666666666666,71.375,0.0
2021-04-30,0.2,932.575,17.591666666666665,69.41666666666667,0.0
2021-05-01,0.0,931.8291666666668,17.720833333333335,70.125,0.0
2021-05-02,0.0,930.8041666666668,19.004166666666663,66.04166666666667,0.0
2021-05-03,0.0,929.4875,18.716666666666665,73.91666666666667,0.0
2021-05-04,0.2,928.7541666666666,20.191666666666663,64.54166666666667,0.0
2021-05-05,0.0,928.2,21.141666666666666,56.458333333333336,0.0
2021-05-06,0.0,926.5,21.2875,62.291666666666664,0.0
2021-05-07,0.0,929.4666666666668,17.3,77.20833333333333,0.0
2021-05-08,0.0,933.4666666666668,16.758333333333333,73.29166666666667,0.0
2021-05-09,0.0,933.1583333333332,17.720833333333335,70.70833333333333,0.0
2021-05-10,0.0,931.3833333333332,18.508333333333333,68.79166666666667,0.0
2021-05-11,0.2,927.5666666666666,19.108333333333334,68.16666666666667,0.0
2021-05-12,10.2,927.0,17.5625,77.25,0.0
2021-05-13,20.4,930.2416666666668,15.375,84.25,0.0
2021-05-14,0.0,930.5625,16.629166666666666,72.54166666666667,0.0
2021-05-15,0.0,929.15,17.416666666666668,76.125,0.0
2021-05-16,0.0,929.1625,18.133333333333333,74.875,0.0
2021-05-17,0.0,928.0125,18.1375,70.375,0.0
2021-05-18,0.0,927.5708333333332,17.966666666666665,70.70833333333333,0.0
2021-05-19,0.0,927.2,18.120833333333337,61.541666666666664,0.0
2021-05-20,0.0,926.2375,18.745833333333337,57.625,0.0
2021-05-21,0.2,925.3041666666668,19.341666666666665,63.416666666666664,0.0
2021-05-22,6.8,924.5375,17.916666666666668,64.58333333333333,0.0
2021-05-23,0.2,923.9625,19.025,74.125,0.6958333333333333
2021-05-24,0.0,926.4333333333334,16.708333333333332,50.333333333333336,2.7916666666666665
2021-05-25,0.0,929.4416666666666,16.683333333333334,47.25,0.2791666666666667
2021-05-26,0.0,928.9583333333334,16.875,59.541666666666664,0.7000000000000001
2021-05-27,0.0,927.375,19.145833333333332,61.583333333333336,0.4791666666666667
2021-05-28,0.0,924.4833333333332,21.15,60.25,1.2958333333333334
2021-05-29,0.4,923.325,23.9125,55.916666666666664,3.3625000000000003
2021-05-30,5.6,927.9875,19.429166666666667,77.54166666666667,1.4083333333333332
2021-05-31,1.6,929.3041666666668,18.125,78.5,1.225
2021-06-01,0.0,927.6833333333334,17.875,70.29166666666667,0.8250000000000001
2021-06-02,0.0,927.1083333333332,19.033333333333335,70.08333333333333,1.0333333333333334
2021-06-03,0.0,929.4958333333334,20.325,62.916666666666664,0.8624999999999999
2021-06-04,0.0,931.7083333333334,20.279166666666665,69.29166666666667,1.9208333333333336
2021-06-05,0.0,930.3666666666668,20.670833333333334,63.166666666666664,1.4958333333333331
2021-06-06,0.0,928.6458333333334,20.475,61.625,0.9666666666666668
2021-06-07,2.2,928.3208333333332,18.979166666666668,79.45833333333333,1.5375
2021-06-08,2.0,928.3958333333334,17.675,84.0,1.2875
2021-06-09,0.0,928.9583333333334,18.345833333333335,77.5,1.5041666666666669
2021-06-10,1.6,928.3333333333334,18.504166666666663,81.54166666666667,1.7375
2021-06-11,1.2,927.3958333333334,17.404166666666665,81.5,1.7333333333333334
2021-06-12,0.0,929.0041666666666,16.195833333333333,73.54166666666667,1.0041666666666669
2021-06-13,0.0,931.325,14.7625,71.83333333333333,1.7375
2021-06-14,0.0,931.1958333333332,15.658333333333331,70.41666666666667,2.2083333333333335
2021-06-15,0.0,929.0625,16.645833333333332,71.625,1.4875
2021-06-16,0.0,928.5166666666668,15.925,71.20833333333333,1.9
2021-06-17,0.2,930.3458333333332,15.120833333333332,76.83333333333333,1.5875
2021-06-18,0.0,931.8583333333332,15.191666666666668,73.08333333333333,1.5833333333333333
2021-06-19,0.2,930.4083333333332,16.0125,77.0,1.9375
2021-06-20,0.4,927.4,17.966666666666665,70.41666666666667,2.4916666666666667
2021-06-21,0.2,930.3375,15.65,73.125,1.0166666666666666
2021-06-22,6.0,930.4,15.754166666666668,85.20833333333333,1.0
2021-06-23,0.0,932.4291666666668,15.475,77.125,1.8333333333333333
