Approach,# Train,# Test,Cut,% Cut,Cut Seconds,Train Seconds,Total Seconds,P_MAPE,P_MAE,P_MSE,PrA_MAPE,PrA_MAE,PrA_MSE,T_MAPE,T_MAE,T_MSE,UR_MAPE,UR_MAE,UR_MSE,VV_MAPE,VV_MAE,VV_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Window Cosine,3011,1099,1385,31.50591446769791,0.3013608455657959,12.431270122528076,12.732630968093872,121522403367671.69,0.06409597638532562,0.01179508856477334,0.007852658506275395,0.0077855406687220895,9.080488004912939e-05,0.08175074024281422,0.0566982616802982,0.005445809498695785,0.22573548308714914,0.11725732480434589,0.020677945124281127,188643137708902.34,0.06870855360885567,0.007351990920616512,62033108215314.79,0.06290913142950955,0.009072327797683173
Window Linear,2991,1099,1405,31.960873521383075,0.09243893623352051,15.790625095367432,15.883064031600952,120209002692729.88,0.06883356068163883,0.015091169489219135,0.0049589504840104656,0.004917474229132862,3.388768318116108e-05,0.08148702041464566,0.05616635553751799,0.005314596023200162,0.21983986545642467,0.12050393610319003,0.02119384038612363,178278673784922.16,0.06870420331930388,0.007027539464161609,59697535295530.4,0.06382510597415678,0.009732206609177136
Window Clinear,3056,1099,1340,30.482256596906275,0.0616908073425293,18.86471390724182,18.92640471458435,89959928533338.72,0.05665222257396334,0.011513960928738045,0.005478992339302051,0.005427683901088391,4.083227630839459e-05,0.08781909837614077,0.059183590113629884,0.005850551308715605,0.21816077709369505,0.12158065728449066,0.021620426333628654,195203745668790.03,0.06909306839289396,0.007590885579929262,57032734840425.766,0.06238744445321327,0.009323331285463986
Window Rank,3001,1099,1395,31.733393994540492,0.17716026306152344,11.027590274810791,11.204750537872314,35263207758222.47,0.0487172090661072,0.014519120532083138,0.01453093418531738,0.014414107334010462,0.0003076108706642216,0.0817486023379465,0.05686569593225872,0.005437306384064656,0.2316092766182776,0.11855186591827659,0.021496063740458704,148766625850934.6,0.0715735371721022,0.006748004877349192,36805966721831.41,0.062024483084551066,0.009701621280923984
Window Mahalanobis,686,1099,3710,84.39490445859873,0.1599421501159668,8.049224138259888,8.209166288375854,277690114752095.6,0.15059652406393506,0.048685530522217746,0.18162581423447785,0.18012289219217328,0.04842012274072894,0.15094890141883588,0.10684766816282118,0.016624598409120006,0.28724423707710883,0.19652158656595237,0.055545855515460575,50786925134364.67,1.6632133501976878,4.302199300069179,65695407977291.98,0.45946040423651385,0.8942950814513415
Window AR,3006,1099,1390,31.6196542311192,0.10105490684509277,15.136785984039307,15.2378408908844,65765446642527.836,0.05507057422483376,0.01432367323507973,0.009240910006055078,0.009152407285054995,0.00011440214757788499,0.08352643756924764,0.057223236008362884,0.005514470176640238,0.22503417142199306,0.12586419719812256,0.023193895969655105,197700447866745.1,0.06927512783718862,0.007692421235592102,52693178901854.6,0.06331710851071258,0.010167772552909012
Window Mean,2483,1099,1913,43.51683348498635,1.976930856704712,11.034727811813354,13.011658668518066,106851851373138.28,0.06574538258027982,0.015127317794507414,0.012330465376505192,0.012230614089348243,0.00016487654486271812,0.07890262224162593,0.05437244158477343,0.00497212142023511,0.2296376455492657,0.12323873273900768,0.022656028071013343,165534143237348.94,0.06716984451002775,0.006515985208026243,54477198922097.44,0.06455140310068741,0.009887265807728958
Window Median,3004,1099,1392,31.665150136487718,1.976930856704712,17.284420251846313,19.261351108551025,56403340914584.02,0.05295670739802669,0.014357967546254001,0.014295243586603083,0.014161947420160574,0.00022657493228925855,0.07883884384564561,0.05507892504742915,0.005096836407688072,0.22633909948298306,0.12253729564572155,0.022002368340661067,179333673707182.56,0.06811023785006368,0.006981424461778298,47147402924353.33,0.06256902267228036,0.009733034337734143
Binary Segmentation L1,686,1099,3710,84.39490445859873,0.5267870426177979,6.014474153518677,6.541261196136475,475360872047287.06,0.16365282769104159,0.03903809144527093,0.36507659309857554,0.36203660627911133,0.19376060240940973,0.3173065379028802,0.2420589727250383,0.07927407521219562,0.30631860682376383,0.2091000576323632,0.06191294148722927,9652394729202.508,1.745194042643851,4.76808912895755,97002653355297.88,0.544408501394281,1.0284149679023313
Binary Segmentation L2,2071,1099,2325,52.88898999090081,0.1586151123046875,10.896752119064331,11.055367231369019,126372024571943.4,0.06996301130355322,0.014924931452254297,0.00900030894871603,0.008924181722956694,0.00011413213799433294,0.08373334516265575,0.05985542120702889,0.005928764527724492,0.22463932111991144,0.1274733225575373,0.023929531197809703,133975177053540.55,0.07122597849064448,0.006459440066229679,52069440325096.77,0.06748838305634419,0.010271359876402507
Binary Segmentation Normal,656,1099,3740,85.07734303912648,0.3426501750946045,7.4693028926849365,7.811953067779541,252585047219776.8,0.10734950459406548,0.023426518929767673,0.07653615419941305,0.07589378316052227,0.00822651370702048,0.13501925325485384,0.10396201685803012,0.015218625198487408,0.23602560277713464,0.1338239179384723,0.026480162575402744,2884960691947.102,1.8019449237750935,5.011746369062196,51094001582344.836,0.4445948292652365,1.0170196378945746
Binary Segmentation RBF,1646,1099,2750,62.55686988171064,14.493555068969727,21.02975821495056,35.52331328392029,98392794460416.8,0.06349511055058067,0.014729517656334273,0.003644418833036446,0.003618024228741774,2.1402838272104904e-05,0.07739483090369084,0.05428699765063572,0.004961646034105412,0.22136293683398522,0.12112823123759725,0.021671854788278926,113397592077083.4,0.06953253051734128,0.005995154954552792,42358077307500.016,0.06241217883697938,0.009475915254308706
Binary Segmentation Cosine,2071,1099,2325,52.88898999090081,13.71865200996399,16.912765741348267,30.631417751312256,159657455230588.34,0.07801273524696306,0.015095416825143398,0.0051190402200598124,0.005082691137790097,4.273641678655352e-05,0.08755559833378414,0.0592686137538617,0.005834891626816842,0.2239505548774635,0.12327164830103647,0.02235557207246415,162303496190919.88,0.06576958984248042,0.006257991761211623,64392190284301.625,0.06628105565642642,0.009917321740484509
