Approach,# Train,# Test,Cut,% Cut,Cut Seconds,Train Seconds,Total Seconds,P_MAPE,P_MAE,P_MSE,PrA_MAPE,PrA_MAE,PrA_MSE,T_MAPE,T_MAE,T_MSE,UR_MAPE,UR_MAE,UR_MSE,VV_MAPE,VV_MAE,VV_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Window Rank,827,1065,3430,80.57317359642941,0.17505121231079102,6.159743785858154,6.334794998168945,110446517437873.8,0.044526317587695395,0.0048631454664003195,0.016135417029277295,0.01600108846903032,0.00043628596044191964,0.09537952302922124,0.06444374414659414,0.006776684118819256,0.13829690965956964,0.08782354818541442,0.012628609796015468,2.70484262761215,0.1695462853239561,0.04334127616606456,22089303487575.312,0.07646819674253805,0.013609200301548316
Window Mahalanobis,827,1065,3430,80.57317359642941,0.15111970901489258,7.271245241165161,7.422364950180054,100811896012275.3,0.04242287592663214,0.004859832553445283,0.013457188967674788,0.013347900047335666,0.00029488928626100487,0.10733247140423803,0.07054718670381842,0.008159033161731319,0.1422105046036398,0.08920137937119609,0.012972694917995074,2.5632441093984313,0.16220705213046605,0.03945452144529278,20162379202455.586,0.0755452788358896,0.013148194272945096
Window AR,3107,1065,1150,27.014329339910738,0.10322093963623047,15.855510711669922,15.958731651306152,54893843561536.94,0.032705960340667556,0.004742849330505486,0.004848289197673055,0.004806084408608471,3.434208503617524e-05,0.0893738952003229,0.0589958873787374,0.005601423377177153,0.13411602656405897,0.08623240900479759,0.01204520841922254,2.3288816049946512,0.14149736961903858,0.03000868971735906,10978768712307.871,0.06484754215036989,0.010486502585860088
Window Mean,1603,1065,2654,62.344373972280955,1.9458048343658447,7.358825922012329,9.304630756378174,71093459801079.6,0.03614461244781846,0.004787268762988971,0.006767319531222293,0.006702679799575167,6.40649078567756e-05,0.08603736861330968,0.05724983848632702,0.005332175703195759,0.1341250851236612,0.08460874585264049,0.01171740281433201,2.589242257722814,0.15795385873275342,0.037510826781959515,14218691960216.447,0.0685319470638229,0.011882347794066609
Window Median,842,1065,3415,80.22081277895231,1.9458048343658447,7.221651315689087,9.167456150054932,79367998058536.08,0.03787893985705304,0.004833410897433512,0.010829561043351534,0.010736774345573104,0.00018038502079129772,0.08815038642846246,0.0603724762188191,0.005893880626847536,0.137488482427363,0.08949981323669084,0.012949565830493743,2.7138116009531927,0.17093822684270035,0.04394883534426419,15873599611707.781,0.07388524610016725,0.013561215543966073
Binary Segmentation L1,4157,1065,100,2.3490721165139767,0.5582141876220703,13.945793151855469,14.504007339477539,36551255849150.55,0.029059164671136305,0.004729136163162497,0.004613950394188142,0.00456676167195057,3.1614487809987424e-05,0.09276212849343775,0.060496713479700356,0.005962253078371709,0.13792150593440455,0.08435952549772054,0.011743320296245646,2.6250896676658573,0.15356888975207714,0.03547240638886748,7310251169830.653,0.06641021101451694,0.011587746082891466
Binary Segmentation L2,17,1065,4240,99.60065774019262,0.16511893272399902,2.4548380374908447,2.6199569702148438,557640797899717.2,0.16951745266925863,0.03169417723726094,0.04680403224313088,0.04678313257285796,0.0034680603136949414,0.11241288251980365,0.09416610319059564,0.013805122737900286,0.3237270034349916,0.19835667631207196,0.052492736296859445,1.3893262497226084,0.27603834635514435,0.11547811240736008,111528159579943.66,0.15697234221998582,0.04338764179861512
Binary Segmentation Normal,4172,1065,85,1.9967112990368803,0.3179500102996826,20.05249309539795,20.370443105697632,103718317807265.48,0.043009642011936064,0.004860598094631058,0.0038612977308608134,0.00382529036398219,2.5098167055463093e-05,0.09109885174172935,0.05951526653706551,0.005727761950677649,0.13970170954260847,0.08528042583068442,0.01190910984171653,2.3695831422401334,0.14277566694138202,0.030595121016403642,20743663561453.586,0.06688125833701006,0.010623537814096872
Binary Segmentation RBF,2407,1065,1850,43.45783415550857,12.810044288635254,16.25958776473999,29.069632053375244,81376888566233.8,0.038145972604688334,0.004757991771722821,0.004230178788975847,0.004192466943332975,2.8458825013356864e-05,0.09811909538398471,0.06325388048695722,0.006534247910935723,0.13365033457615888,0.08726697074997573,0.012331498552957218,2.371235738538652,0.1476183954198667,0.032748196939683456,16275377713247.25,0.0680955372409642,0.011280078800062519
Binary Segmentation Cosine,17,1065,4240,99.60065774019262,19.706902027130127,2.43971586227417,22.146617889404297,880038662195489.1,0.27150797874310223,0.07635602678392624,0.05142199368318541,0.051391034370158004,0.003978970495806565,0.09555847642510626,0.07734064339953324,0.009545772557417207,0.2710472165404775,0.16426998896884729,0.03800525798212991,1.561534191324157,0.259194235011864,0.10153830742937327,176007732439097.8,0.16474077609870097,0.04588486704973062
