Approach,# Train,# Test,Cut,% Cut,Cut Seconds,Train Seconds,Total Seconds,P_MAPE,P_MAE,P_MSE,PrA_MAPE,PrA_MAE,PrA_MSE,T_MAPE,T_MAE,T_MSE,UR_MAPE,UR_MAE,UR_MSE,VV_MAPE,VV_MAE,VV_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Window Linear,1448,1139,3105,68.19679332308368,0.09017086029052734,8.831492900848389,8.921663761138916,12431086065078.47,0.013130112336871103,0.0010005062048548457,0.010512912355680873,0.010414047410754225,0.00017601130161859862,0.09730564246917422,0.06583141597605298,0.007036281344932717,0.09528247764482109,0.07408998643881412,0.008672392005808825,0.33791874865071897,0.09176123571598624,0.013674426437980423,2486217213015.799,0.05104535957569576,0.00611192345903908
Window Clinear,1348,1139,3205,70.39314737535692,0.06907820701599121,7.137176752090454,7.206254959106445,136949954359863.38,0.06020751906271991,0.008024870125860808,0.010396753232188251,0.010295150165380235,0.0001584986293027185,0.09547427350424204,0.06452038560363887,0.006889775772104282,0.09132602582085636,0.0701733011234034,0.007841243690590947,0.3665398042279687,0.09467859454464725,0.01380468465518102,27389990871972.742,0.05997499009995799,0.0073438145746079625
Window Rank,753,1139,3800,83.46145398638261,0.17026805877685547,8.561424016952515,8.73169207572937,93840144303354.89,0.06307992808399603,0.018257981611723532,0.007422444845206449,0.007351275379030142,8.555452053890205e-05,0.09602228768041063,0.06458064973260554,0.006901145609470117,0.09286579714769183,0.07033955240222707,0.007879796214302414,0.3720376749888168,0.09563903648422425,0.014179380602495068,18768028860671.055,0.060198088416416586,0.009460771711706017
Window Mahalanobis,753,1139,3800,83.46145398638261,0.17315006256103516,4.39461612701416,4.567766189575195,36795667992475.67,0.05943294003119604,0.02177692376607607,0.014646548556397987,0.01451347429625566,0.0003449831290280874,0.10341836437566235,0.07098318455366139,0.00786476141185524,0.09123766817365724,0.06963210561743242,0.007738143502927969,0.37346064550710234,0.09658373650462727,0.014548822268534642,7359133598495.236,0.06222908820063459,0.01045472681568442
Window AR,1398,1139,3155,69.29497034922029,0.10611081123352051,7.249902725219727,7.356013536453247,59090500552857.22,0.04067012692064216,0.007623908267089456,0.012476883825427283,0.012331916778497543,0.00020330123088132697,0.1065024413736146,0.07090105383313458,0.008564713530825581,0.09916982746359794,0.07787166915118901,0.009540426939233824,0.33451615076381225,0.09230156441464896,0.014036821582693855,11818100110571.54,0.05881526621962252,0.00799383431014481
Window Mean,678,1139,3875,85.10871952558753,1.958317518234253,3.951152801513672,5.909470319747925,22128165136334.016,0.054578088794656254,0.02147368883410471,0.020160842239994856,0.01997843932068989,0.000648756597255988,0.09044965739272932,0.06258528899303643,0.006328981389812067,0.0991453715557568,0.077666384384804,0.009204656535212217,0.38929375547715744,0.09955917008523525,0.015216214593910843,4425633027266.925,0.0628734743156844,0.010574459590059171
Window Median,601,1139,3952,86.79991214583791,1.958317518234253,6.844847917556763,8.803165435791016,78360770152369.42,0.06016377316793709,0.018723491489826088,0.013002459874389605,0.012853692360811853,0.00023094242627196633,0.0917298690416467,0.06294913244291708,0.0063181888603514955,0.09189843448357232,0.06854763407678388,0.007497148493013566,0.35489811253405246,0.09341866011127505,0.013778790207587993,15672154030473.969,0.05958657843194497,0.009309712295410232
Binary Segmentation L1,153,1139,4400,96.63957830002197,0.620244026184082,2.986816167831421,3.607060194015503,71651280944689.7,0.08022660480667815,0.038062657439460267,0.0406181461441965,0.04023027799476401,0.0025117382254473317,0.09741049381804281,0.06701597023180159,0.007375543094165347,0.15157850528653125,0.1317940702593119,0.023228130035422734,0.6217557228538679,0.14571623582209592,0.02849013733874281,14330256188938.082,0.09299663182293043,0.019933641226647713
Binary Segmentation L2,153,1139,4400,96.63957830002197,0.17437076568603516,2.3642029762268066,2.538573741912842,76446891084392.03,0.07883923267814538,0.036100047275973414,0.06427441956527967,0.06369650263835826,0.006990366973194012,0.1047687810756538,0.07443308252314984,0.008220342579263032,0.15054075011771362,0.13089699985404926,0.022665922023683168,0.5313115977642376,0.1259440236916711,0.021784816452562958,15289378216878.541,0.09476196827707481,0.01915229906093534
Binary Segmentation Normal,4408,1139,145,3.1847133757961785,0.3378477096557617,20.1500825881958,20.487930297851562,8181351418008.607,0.011791286918487444,0.0009459598392842777,0.004165188306340645,0.004126238457641497,2.985562983556698e-05,0.09418553511078065,0.0636144969365989,0.006436502355674718,0.09318309977693834,0.07199914125835805,0.008248338589494874,0.4092177455318837,0.08817572273421619,0.011559903413936305,1636270283601.8403,0.04794137726106038,0.00544411196564515
Binary Segmentation RBF,153,1139,4400,96.63957830002197,23.37170696258545,2.3955249786376953,25.767231941223145,35172283963906.36,0.07025524839376454,0.037095746624524695,0.03855641512677257,0.03815592012476621,0.001902758733233779,0.12764561847038144,0.08568876545538356,0.01183532768122737,0.1740971216516964,0.1504606547647531,0.028725295681433945,0.5847692430815905,0.13918132728693935,0.026252391902142416,7034456792781.43,0.09674838320512147,0.021162304124512442
Binary Segmentation Cosine,153,1139,4400,96.63957830002197,22.17374277114868,2.4027938842773438,24.576536655426025,127327377806485.66,0.09200449119451909,0.03759700308377134,0.03164647155442585,0.0313438439674262,0.0015417312967407246,0.13657441459601924,0.09189985658203254,0.013501402585293556,0.18605842169674408,0.16133364471538647,0.03263012368430506,0.6279357759893512,0.14656183113803856,0.0286802212949131,25465475561297.28,0.10462873351948065,0.022790096389004783
Binary Segmentation Linear,948,1139,3605,79.17856358444982,0.2703738212585449,7.342150926589966,7.612524747848511,30642332905689.586,0.049945213270692464,0.01938898449181957,0.010591631458039692,0.01048505158465203,0.00015840828467572117,0.0947512261184027,0.06431681277008848,0.006665752020033461,0.09253214031058833,0.0720960793482118,0.008259729135729407,0.36352071885948367,0.09443030668150983,0.013990751810996231,6128466581138.0,0.0582546927310309,0.009692725148650877
Binary Segmentation Clinear,183,1139,4370,95.98067208433999,0.2195122241973877,2.558681011199951,2.778193235397339,131030305943076.1,0.08440362235894136,0.029611369624667885,0.030064406059087743,0.02972448866747441,0.0011774392361189173,0.09831652264956181,0.06715466270442406,0.007251796031356945,0.15022588086788327,0.13026938786797046,0.022307513644928872,0.510319064509077,0.121684225296463,0.020882089874267918,26206061188615.34,0.08664727737905467,0.01624604168226811
Binary Segmentation Rank,1793,1139,2760,60.61937184274105,0.27626895904541016,9.946295976638794,10.222564935684204,10284439570700.633,0.013099385248800562,0.001004700500504728,0.011072833126476691,0.01093226165354344,0.00015534005154842643,0.09634763054306013,0.06522467625454807,0.0067586256962763646,0.10234313846310208,0.08133130257864737,0.010245975681502156,0.35908046978967617,0.0934305710598637,0.01363863886101541,2056887914140.2395,0.0528036393590806,0.006360656158169412
Binary Segmentation Mahalanobis,1793,1139,2760,60.61937184274105,15.275816202163696,18.78975009918213,34.065566301345825,21048885736163.516,0.013640480444605878,0.0008227493827362457,0.003048603333070643,0.0030144191726891815,1.3677613556150676e-05,0.0971847058688249,0.06470733535048061,0.006913618800033049,0.09184703103881184,0.07034136977493509,0.007884068925604188,0.3368527473785201,0.09100178447916758,0.01342023070383436,4209777147232.798,0.04854107784437567,0.0058108690851528
Binary Segmentation AR,153,1139,4400,96.63957830002197,0.5218629837036133,2.893436908721924,3.415299892425537,27676443020458.7,0.07302021571950966,0.03898627617189741,0.024572565598457854,0.024312518807965585,0.0007375115480543261,0.09212268198963718,0.06329962378725021,0.006540174292096602,0.1628927409778136,0.14073164941213395,0.025756539590676645,0.6864338571055282,0.15927830897474726,0.03367173063539006,5535288604091.912,0.09212846334032147,0.021138446447623006
Binary Segmentation Mean,989,1139,3564,78.2780584230178,63.24174642562866,11.353578090667725,74.59532451629639,15296883718802.92,0.04691856725021257,0.01953268631579211,0.00837569763972839,0.008296053601215728,0.0001123420920280522,0.10105775575760934,0.06735184927980267,0.0076785600593492235,0.10377262416332367,0.08363459039233045,0.010653353609021332,0.34148443451926896,0.09216704627052053,0.013756812183260978,3059376743760.678,0.059673621358816396,0.010346750851890348
