Approach,# Train,# Test,Cut,% Cut,Cut Seconds,HPO Seconds,Train Seconds,Total Seconds,P_MAPE,P_MAE,P_MSE,PrA_MAPE,PrA_MAE,PrA_MSE,T_MAPE,T_MAE,T_MSE,UR_MAPE,UR_MAE,UR_MSE,VV_MAPE,VV_MAE,VV_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Window L2,3011,1099,1385,31.50591446769791,0.07765674591064453,274.9463140964508,9.92805004119873,284.9520208835602,1.7159944033997294,0.05798757924399008,0.012128744666998073,0.007346473910767572,0.007213804736586852,8.864210114578827e-05,0.08280326457940697,0.06014521439871179,0.006109267786576268,0.20919116933432633,0.136268492784642,0.027374246219917013,0.5316244170387315,0.07687681446443921,0.008726881528674967,0.5093919456525925,0.06769838112567403,0.010885556460662409
Window Normal,3381,1099,1015,23.089171974522294,0.22768807411193848,266.70793294906616,12.639678955078125,279.5752999782562,1.7935359978347825,0.05520473675129802,0.012117443270440117,0.013205277815423879,0.01291457339268292,0.0002704165464673607,0.08397262428199738,0.06092650442915737,0.006226564534369479,0.200131910617845,0.1319697172540725,0.02615781970923414,0.4729723251064559,0.07266599845130069,0.008438420104450775,0.512763627131301,0.06673630605570235,0.010642132832992366
Window RBF,1891,1099,2505,56.983621474067334,0.6315147876739502,168.70899605751038,10.675879955291748,180.01639080047607,3.806054023082002,0.04954648360898784,0.01683352035315664,0.0051575323266378325,0.005136997061742033,3.876377271290685e-05,0.08500051365833514,0.06406107360581513,0.006850705627627103,0.21218738682637975,0.13824511311869592,0.02803424198467936,0.7129504254378012,0.07845896541321941,0.007561846752184212,0.9642699762662321,0.06708972656169213,0.011863815698072046
Window Cosine,3011,1099,1385,31.50591446769791,0.37755274772644043,241.75011205673218,8.232631206512451,250.36029601097107,1.4853244702931334,0.06065512345707912,0.011785181034936601,0.019055903654640553,0.018530975328920604,0.0005414850585555469,0.08159181837430371,0.05871530308019873,0.005831958937861333,0.18928981922131896,0.12685992385953945,0.024315135673946074,0.5173714645478147,0.07537499545811387,0.00853650262728316,0.4585266952182424,0.0680272642367704,0.010202052666516534
Window Linear,2991,1099,1405,31.960873521383075,0.10015678405761719,247.0685591697693,15.7516348361969,262.9203507900238,2.3154152968263912,0.05435711721640776,0.016075402377402993,0.014673031974361475,0.014773840690127885,0.00023780668021198406,0.08326669083118295,0.061901886255685275,0.006439897156514352,0.21098644674153355,0.1350887376813181,0.026609483928528993,0.4983759434529571,0.07214454664802229,0.007917436638797452,0.6245434819652855,0.06765322569831231,0.011456005356291151
Window Clinear,3056,1099,1340,30.482256596906275,0.07092976570129395,259.9295518398285,12.696120023727417,272.6966016292572,24.975209858049237,0.04360925557796629,0.013453643446562724,0.014487159919769442,0.014595437284496068,0.0002942629331102201,0.07944026931131648,0.05816011765922642,0.005684925531302109,0.20568034139726446,0.13404619875506119,0.026416215715308847,0.5056229415759718,0.07682532260795501,0.009133043530042892,5.156088114050706,0.06544726637694105,0.010996418231265348
Window Rank,3001,1099,1395,31.733393994540492,0.21233201026916504,259.89333033561707,9.967582941055298,270.0732452869415,2.1951510453137,0.056418400834579815,0.01482645672191883,0.018566277946095774,0.01819597927119411,0.000475968682304671,0.08005492283779164,0.05906743774705018,0.00590736329437984,0.20117840361042086,0.12920572012787646,0.024474498420396285,0.49167783487712263,0.0674361012411843,0.006783633182604681,0.5973256969170262,0.06606472784437702,0.010493584060320854
Window Mahalanobis,686,1099,3710,84.39490445859873,0.2101278305053711,106.73409605026245,3.628876209259033,110.57310009002686,1.9817777639447096,0.13561416747826008,0.04103460383557881,0.4957925363600472,0.2871829154251215,0.11554802461847873,0.23602996361428394,0.1411478435935793,0.02736177912390559,1.0909845944177468,0.3136066992775815,0.1341642320217382,31.16381002052679,2.041276706513033,6.35687806410769,6.9936789757727125,0.5837656664575156,1.3349973407414784
Window AR,3006,1099,1390,31.6196542311192,0.10660767555236816,274.40301060676575,15.808847904205322,290.31846618652344,1.4354581146840237,0.07055022509888997,0.01444033242679352,0.018829159220183717,0.018207414171788117,0.00046324908883169335,0.08106936415436634,0.05918298762612401,0.005937160186399404,0.19422715855344713,0.13249252647870965,0.026629902431548582,0.5060330303582553,0.07347218598880297,0.00816438971998096,0.4471233653940552,0.07078106787286297,0.011127006770710818
Window Mean,2483,1099,1913,43.51683348498635,2.1603362560272217,221.72295498847961,11.958611965179443,235.84190320968628,1.4360709937673197,0.07272974720639484,0.015504763876652469,0.007745040738277977,0.007597187630573862,9.819138690028115e-05,0.08867254395117374,0.06241402102168643,0.006445258046973831,0.19112916932604587,0.13521601134833283,0.02816452606859463,0.5192609157888124,0.07047578867254503,0.007208301075768717,0.44857573271432577,0.06968655117590661,0.011484208090977988
Window Median,3004,1099,1392,31.665150136487718,2.1603362560272217,260.4552049636841,14.4155592918396,277.0311005115509,1.5336370177247152,0.06691310802161629,0.014388526274437957,0.006264584998964964,0.006242713782241544,5.406657704099275e-05,0.08373529070523038,0.060344978260085884,0.006152404401767294,0.20645936923744834,0.1376734433765287,0.02807307579485586,0.5717573495555127,0.07658548841878268,0.00811620667438012,0.48037072244437445,0.06955194637185105,0.011356855944496442
Binary Segmentation L1,686,1099,3710,84.39490445859873,0.666290283203125,108.81505918502808,3.457414150238037,112.93876361846924,1.3311800066883817,0.08186000763098715,0.01920532950606929,0.17564951194766737,0.14033016628782627,0.02668166205967003,0.2876358550865048,0.16259054263899395,0.035941604774431,0.30378307651927267,0.16878378768164892,0.042121557699740055,63.054566518609064,2.0541975445330003,6.481070129874759,13.030562993770184,0.5215524097544917,1.3210040567829344
Binary Segmentation L2,2071,1099,2325,52.88898999090081,0.19713926315307617,209.28127694129944,19.545037031173706,229.02345323562622,1.6243781514200055,0.06462157504796863,0.015467185335730502,0.004179201695288663,0.004126193747754528,2.72544711926358e-05,0.08158137134943719,0.059627955437833106,0.0059793221374714114,0.20182413414350334,0.13562026024921747,0.027165214575423886,0.5840602955337275,0.07422330561924928,0.0073988004695758796,0.4992046308283924,0.06764385802040467,0.011207555397878865
