Approach,# Train,# Test,Cut,% Cut,Cut Seconds,Train Seconds,Total Seconds,T_MAPE,T_MAE,T_MSE,UR_MAPE,UR_MAE,UR_MSE,V_MAPE,V_MAE,V_MSE,P_MAPE,P_MAE,P_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Window Mean,1970,1754,5042,71.90530519110096,4.472601652145386,14.621299982070923,19.09390163421631,0.13432171929652928,0.09486788382052272,0.013555380312236534,0.32669633115132524,0.14372929250573047,0.030281487917141737,25874839058914.5,0.06232778172683,0.0055211469566477855,24617408120988.125,0.02356421021700658,0.004295599687887999,12623061794975.633,0.08112229206752197,0.013413403718478515
Window Median,997,1754,6015,85.78151739874501,4.472601652145386,6.131486892700195,10.604088544845581,0.1304731539230678,0.08861697056186377,0.013341725782544247,0.31670624953886384,0.1411249977271763,0.029677735132574733,31816950552022.484,0.08567104523005463,0.009666531774355794,181638735325176.47,0.05548871598093859,0.005066064500258422,53363921469299.8,0.09272543237500769,0.0144380142974333
Binary Segmentation L1,6922,1754,90,1.2835139760410725,1.2445859909057617,27.994415044784546,29.239001035690308,0.12875009537155516,0.08878785670820542,0.012670886734110556,0.3272769265986665,0.1437266395510983,0.030353624433742604,24750307003275.047,0.06445436643134818,0.005696012664991047,30610200765021.17,0.018243286980987313,0.0018229951936014042,13840126942074.098,0.07880303741791014,0.012635879756611394
Binary Segmentation L2,6922,1754,90,1.2835139760410725,0.3538072109222412,26.49886989593506,26.8526771068573,0.12895453789296452,0.08594474086444547,0.013069992349228395,0.3161489960311982,0.14085525037564067,0.029708186765399675,26247135603984.33,0.07023306783260996,0.006567283760856965,45291009593703.03,0.02116963919780333,0.0018263571539071394,17884536299421.92,0.07955067456762521,0.012792955007348035
Binary Segmentation Normal,1957,1754,5055,72.0907016543069,0.6131470203399658,7.660945177078247,8.274092197418213,0.13200974818315173,0.09205794631699747,0.013077740199782875,0.3450427260205217,0.14961384702424835,0.0321213970128625,28439548117846.227,0.06965359240642899,0.006961841486845668,103733231678272.73,0.038985560043610715,0.004221379323451093,33043194949029.73,0.08757773644782091,0.014095589505735542
Binary Segmentation RBF,6922,1754,90,1.2835139760410725,86.99908590316772,37.567903995513916,124.56698989868164,0.12804499144086604,0.08794493451987354,0.012592117841636748,0.32034824637264714,0.14181922901816277,0.029954782603217222,28220467524389.27,0.08055485886338784,0.008253121455257514,70596225071314.28,0.026145900422643698,0.0018338508916791597,24704173148925.953,0.08411623070601724,0.013158468197947658
Binary Segmentation Cosine,5727,1754,1285,18.325727324586424,68.64475011825562,28.44687294960022,97.09162306785583,0.13043299150797716,0.09037376440291851,0.012957212076121273,0.32218417827828216,0.14207375381903165,0.029868581786254317,24232038384113.867,0.06081401163261143,0.00521942127448587,63218568800745.234,0.0247104247418714,0.001838090884287062,21862651796214.793,0.0794929886491086,0.012470826505287132
Binary Segmentation Linear,1827,1754,5185,73.94466628636623,0.469480037689209,9.988271236419678,10.457751274108887,0.13497889601317745,0.0960985289223776,0.013615686651154793,0.3066010960885816,0.13835131512141324,0.028947131109958616,24180292993971.832,0.05782869602850044,0.004776426077377324,68322057206692.305,0.03185139983868155,0.004120347265122048,23125587550166.023,0.08103248497774279,0.012864897775903189
Binary Segmentation Clinear,6832,1754,180,2.567027952082145,0.3687160015106201,35.351786851882935,35.720502853393555,0.13077045014675767,0.09175189641496191,0.0129348177436738,0.32394397177001844,0.14243392641502034,0.0299081863136294,26716809338716.86,0.07305111644195704,0.006993283109642588,53078062139820.266,0.022554957480815777,0.001789166147265575,19948717869634.363,0.0824479741881891,0.012906363328552837
Binary Segmentation Rank,6087,1754,925,13.191671420422132,0.396557092666626,25.087344884872437,25.483901977539062,0.13025208598124216,0.09031480661292134,0.012902868179046328,0.3212880313130655,0.1420751525759356,0.029966052240895196,28743137401760.39,0.08278791592608332,0.008658486038115906,64128406049989.945,0.02486063635642074,0.0018262321129687577,23217885862937.65,0.0850096278678405,0.013338409642756543
