Approach,# Train,# Test,Cut,% Cut,Cut Seconds,HPO Seconds,Train Seconds,Total Seconds,T_MAPE,T_MAE,T_MSE,UR_MAPE,UR_MAE,UR_MSE,V_MAPE,V_MAE,V_MSE,P_MAPE,P_MAE,P_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Binary Segmentation Linear,1827,1754,5185,73.94466628636623,0.4485471248626709,135.23408794403076,2.928931951522827,138.61156702041626,0.1301046840976836,0.097750395025257,0.014621825762318888,0.25575985059176737,0.1505973596414567,0.03303505636138219,0.4299255076516387,0.08151213334574595,0.00912430778533414,1.4516208483440252,0.03339696890204487,0.004052120241606907,0.5668527226712787,0.09081421422862562,0.015208327537660538
Binary Segmentation Clinear,6832,1754,180,2.567027952082145,0.3956108093261719,305.3318998813629,11.955712080001831,317.6832227706909,0.12706130952103642,0.09566692789924384,0.013836624892558,0.24980919748820574,0.14322101860982595,0.030445908779858356,0.39636590509203257,0.05650078618038567,0.004600154021344864,1.5238332524666418,0.02019653189705303,0.0017883592910709813,0.5742674161419791,0.07889631614662745,0.012667761746208048
Binary Segmentation Rank,6087,1754,925,13.191671420422132,0.4300100803375244,309.17476892471313,11.355525970458984,320.96030497550964,0.13851042676441913,0.10218681818585933,0.014922792100431183,0.2524160804340693,0.14338595627510145,0.030888614676984213,0.47480805653501623,0.08594163009863821,0.009263155011740628,1.7957364035983727,0.019384368429706755,0.0018432254466585766,0.6653677418329695,0.08772469324732664,0.014229446808953628
Binary Segmentation Mahalanobis,5847,1754,1165,16.61437535653166,71.38957500457764,328.7965478897095,20.328651905059814,420.5147747993469,0.11774739337758551,0.0908619339844168,0.01349237762575165,0.2538753839635266,0.14376478761914133,0.031170053053970505,0.46254720688095335,0.08083867454323274,0.008309581379005834,1.6368192476885317,0.02085330234168199,0.0018440152242098354,0.6177473079776493,0.08407967462211852,0.01370400682073445
Binary Segmentation AR,6922,1754,90,1.2835139760410725,1.076927900314331,311.578408241272,9.019153118133545,321.67448925971985,0.12476844926538402,0.09465740379119991,0.013773313091640982,0.25588495296549263,0.15115952532345067,0.033146786810740486,0.41170334989418594,0.06237094796983342,0.005529279925530145,1.5917046412898934,0.021556405571190127,0.0018465345270727508,0.5960153483537391,0.08243607066391889,0.013573978588746085
Binary Segmentation Mean,5597,1754,1415,20.17969195664575,235.66718316078186,317.0900800228119,15.699897050857544,568.4571602344513,0.12879676037722185,0.09707704647969911,0.014238477176475455,0.2548881361089042,0.13986654608414092,0.030436388034821342,0.478408832781888,0.0872250198804099,0.009504080199172113,1.8265686124812393,0.01963439915920025,0.0018520262328391038,0.6721655854373134,0.08595075290086278,0.014007742910827004
Binary Segmentation Median,6460,1754,552,7.872219053051912,235.66718316078186,310.2965018749237,26.72482681274414,572.6885118484497,0.11593175234173053,0.09106398469396335,0.014423427875235529,0.2565450863996102,0.14864581988714914,0.03278256800128527,0.47309872598776875,0.0849336269578697,0.009078100012748632,1.629308090682989,0.020970129153182842,0.0018477240524977397,0.6187209138530245,0.08640339017304152,0.014532954985441791
Bottom Up L1,5427,1754,1585,22.60410724472333,0.1629960536956787,283.4507248401642,11.976588010787964,295.5903089046478,0.12845175549783666,0.09660323679304914,0.014046002246279825,0.2546335385255007,0.13956941750776994,0.03042696256917887,0.5000487910710009,0.09727728747611873,0.011611433447362561,1.4103503802228423,0.02441662490868281,0.0018632437224962216,0.5733711163292949,0.0894666416714053,0.014486910496329384
Bottom Up L2,987,1754,6025,85.92413006274957,0.11654925346374512,124.8367612361908,9.536799192428589,134.49010968208313,0.12957377363716518,0.09822896399399765,0.014489110785425778,0.253225816231972,0.14430719797638641,0.031253964128070334,0.396721073232144,0.06615169967315018,0.0062763115875746085,1.2441133136184268,0.04450023036277919,0.004501096379892602,0.5059084941799268,0.0882970230015778,0.01413012072024083
Bottom Up Normal,6732,1754,280,3.993154592127781,0.1993260383605957,326.50045704841614,24.78823184967041,351.48801493644714,0.11504000731327584,0.08956998057932897,0.013574569949733044,0.252599769066038,0.1450177937096003,0.03136857402682832,0.44044680525506524,0.07259238474952369,0.006940391426196213,1.6297813048697352,0.020908424319883538,0.001846226637346098,0.6094669716260287,0.08202214583958448,0.01343244051002593
Bottom Up RBF,6907,1754,105,1.4974329720479178,2.6413891315460205,306.90209197998047,13.632930994033813,323.1764121055603,0.12118882284060582,0.09258029423094864,0.013566727903702839,0.25460252302076153,0.15106329158707626,0.03301085964356826,0.40712821575796176,0.06171007999264313,0.005410412073531652,1.2530402153357445,0.02816118692757068,0.001918397187863423,0.5089899442387682,0.08337871318456004,0.01347659920216653
Bottom Up Cosine,2042,1754,4970,70.87849401026811,0.9938549995422363,166.63617396354675,3.7501020431518555,171.38013100624084,0.13345708074355678,0.099121241174811,0.014459315238561308,0.24939181112238162,0.14421833253112334,0.03029377384583542,0.3967369174368119,0.05273575176624046,0.004084919992078457,5.976156724400692,0.034143482649682005,0.004918297342209186,1.6889356334258603,0.08255470203046453,0.013439076604671099
Bottom Up Linear,1702,1754,5310,75.72732458642328,0.13393712043762207,148.5114870071411,3.2058908939361572,151.8513150215149,0.1370641058798344,0.10130764992660622,0.015196991852593895,0.24891202081386007,0.1380552462374483,0.029071295322136544,0.4050091994546443,0.05627011493005698,0.004830564704086121,1.2668043581354542,0.042553726710588186,0.00440355908145076,0.5144474210709485,0.08454668445117453,0.013375602740066831
Bottom Up Clinear,6812,1754,200,2.852253280091272,0.09729599952697754,320.54146695137024,7.331822872161865,327.9705858230591,0.14631493325768757,0.10645914421298673,0.016147575644029195,0.25300717742062223,0.14602523077586724,0.03134777256293913,0.4955909352119733,0.09469474847613904,0.011103977967305157,55.51921313424953,0.01966201817645093,0.002257965565669864,14.103531545034956,0.0917102854103611,0.01521432293498583
Bottom Up Rank,6047,1754,965,13.76212207644039,0.13177824020385742,317.68766474723816,14.993167877197266,332.8126108646393,0.1440954056707219,0.10507568950300451,0.01548761244678536,0.2509542326584176,0.1452922635496348,0.030994531231628767,0.429205344680594,0.06892248770800129,0.006404338561670411,1.4476831728002144,0.024043264594197408,0.001871606881864113,0.5679845389524872,0.0858334263387098,0.013689522280487162
Bottom Up Mahalanobis,5662,1754,1350,19.252709640616086,0.685621976852417,296.3759250640869,9.707690000534058,306.7692370414734,0.12824206419183715,0.09646830052161053,0.014021854111094282,0.24954951906471268,0.14372998888927935,0.03056864961315711,0.4158377733778094,0.06464644904026115,0.005830154645616054,1.2941268134016737,0.025452425044553504,0.0018385270301595554,0.5219390425090082,0.08257429087392643,0.013064796350006753
Bottom Up AR,987,1754,6025,85.92413006274957,0.1588129997253418,120.33072090148926,7.063317060470581,127.55285096168518,0.12182738163517917,0.09362973567232401,0.013673085645474176,0.2517763143905269,0.14236140528443364,0.030472960599820107,0.4598689219089436,0.09368598753044137,0.011256420147691676,44.79830466315223,0.021559173288284175,0.004596961938486584,11.407944320271717,0.08780907544387015,0.014999857082868127
Bottom Up Mean,4331,1754,2681,38.234455219623506,5.321561813354492,263.0941722393036,11.894057989120483,280.30979204177856,0.11766766293940903,0.09063049186440895,0.013311990145540324,0.25213915281189175,0.1455694223971932,0.03134468699245563,0.4101944396960044,0.06255100722577686,0.005509335493388918,1.16402441818783,0.03851908185741526,0.003057201132008281,0.4860064184087841,0.08431750083619889,0.013305803440848274
Bottom Up Median,5545,1754,1467,20.92127780946948,5.321561813354492,312.40843534469604,9.12637710571289,326.8563742637634,0.12438058228819975,0.09457855582514652,0.013974632264992692,0.2535709638473523,0.14656426829579233,0.031657162475636644,0.4574632498470177,0.07858351596641815,0.007977039901082048,1.157783963215247,0.035644758221713375,0.0022487107049050355,0.4982996897994541,0.08884277457726787,0.013964386336654111
