Approach,# Train,# Test,Cut,% Cut,Cut Seconds,HPO Seconds,Train Seconds,Total Seconds,Close_MAPE,Close_MAE,Close_MSE,Volume_MAPE,Volume_MAE,Volume_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Window Rank,177,125,320,64.38631790744466,0.018602848052978516,102.75683522224426,3.7760889530181885,106.55152702331543,0.15210624356461164,0.10885960618881517,0.016615512337548512,0.45180684094974544,0.07622130409400073,0.01573927781005218,0.30195654225717855,0.09254045514140796,0.016177395073800352
Window Mahalanobis,177,125,320,64.38631790744466,0.007848024368286133,101.79098010063171,3.7463979721069336,105.54522609710693,0.09336089052485257,0.06951216046160273,0.007301558551929818,0.41874954218007265,0.0733780852710999,0.014323690521237447,0.25605521635246276,0.07144512286635134,0.010812624536583628
Window AR,182,125,315,63.38028169014085,0.01447296142578125,101.57559108734131,2.6765329837799072,104.266597032547,0.1473104737681419,0.04644532558935144,0.003001970157304454,0.47551955609038943,0.019558153199232778,0.0010584897200522935,0.31141501492926554,0.033001739394292115,0.002030229938678374
Window Mean,174,125,323,64.98993963782696,0.14423775672912598,98.9219000339508,3.183067798614502,102.24920558929443,0.11815137011161338,0.08699877365280272,0.011141391279867288,0.432050435832599,0.07541265879118572,0.015116914500888513,0.27510090297210615,0.08120571622199424,0.013129152890377901
Window Median,180,125,317,63.78269617706237,0.14423775672912598,91.30506181716919,2.969637870788574,94.41893744468689,0.17137305909347486,0.05528792224843793,0.004113277395122207,0.44519721687322006,0.02068748122291154,0.0009997435564462528,0.30828513798334745,0.03798770173567474,0.00255651047578423
Binary Segmentation L1,412,125,85,17.102615694164992,0.030743837356567383,96.74279284477234,2.76265287399292,99.53618955612183,0.13213125127215783,0.038236166155961156,0.002137127058703366,0.5337232167910145,0.038750491425879496,0.0018326312278134044,0.33292723403158614,0.03849332879092032,0.0019848791432583845
Binary Segmentation L2,452,125,45,9.054325955734406,0.014483928680419922,97.16492176055908,3.2589011192321777,100.43830680847168,0.1717413544406473,0.045512524982731395,0.0027982747907518077,0.4352832161227369,0.02166798235023508,0.0009526205940652565,0.30351228528169205,0.03359025366648322,0.0018754476924085321
Binary Segmentation Normal,172,125,325,65.3923541247485,0.07707691192626953,123.77647686004639,2.885082244873047,126.7386360168457,0.14097110534119292,0.09996287735064983,0.014054606705096962,0.43103823796972585,0.07114785399871135,0.014791363393315325,0.2860046716554594,0.0855553656746806,0.014422985049206142
Binary Segmentation RBF,402,125,95,19.114688128772634,0.0321810245513916,97.430006980896,3.1496551036834717,100.61184310913086,0.13611797359168232,0.040014330885574476,0.002419030864235583,0.5167420607192733,0.018088239825112068,0.0009316759567092128,0.3264300171554779,0.029051285355343275,0.0016753534104723981
Binary Segmentation Cosine,22,125,475,95.57344064386318,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
