Approach,# Train,# Test,Cut,% Cut,Cut Seconds,HPO Seconds,Train Seconds,Total Seconds,x_MAPE,x_MAE,x_MSE,y_MAPE,y_MAE,y_MSE,sin(theta)_MAPE,sin(theta)_MAE,sin(theta)_MSE,cos(theta)_MAPE,cos(theta)_MAE,cos(theta)_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Window L2,247,122,240,49.28131416837782,0.010071039199829102,91.52901029586792,4.509734153747559,96.04881548881531,0.04746732766842823,0.04260826777643723,0.0030035035580513497,0.05397469120601634,0.047127699358649626,0.0031200233125723642,3.4389571728568926,0.5565792024442985,0.384554205775177,5.0829344364871165,0.49439541261779596,0.32478632626098775,2.1558334070546135,0.2851776455492954,0.17886601472669716
Window Normal,92,122,395,81.1088295687885,0.03347206115722656,82.9929621219635,2.4292898178100586,85.45572400093079,0.14289873585943225,0.13557188446319401,0.02223966466377721,0.1468302113887258,0.1397758028174434,0.024048039359709658,1.657771703158224,0.5576959799217707,0.4289956744120861,6.939739749523618,0.6269332785716192,0.48460284448653124,2.2218100999825006,0.3649942364435069,0.23997155573052603
Window RBF,317,122,170,34.90759753593429,0.010709047317504883,92.73647999763489,5.415547132492065,98.16273617744446,0.05627355440354769,0.04984702875822572,0.0038330147703208137,0.04510762088888793,0.03876242172257864,0.002048327436968654,3.101804630993193,0.5678805425421269,0.40083550420825176,3.487611374677217,0.45556382695593284,0.29245041488021717,1.6726992952407116,0.2780134549947161,0.1747918153239395
Window Cosine,317,122,170,34.90759753593429,0.004957914352416992,127.00133085250854,6.251145124435425,133.2574338912964,0.07063784706961086,0.0615396119286826,0.0053594298581970635,0.04564286992001358,0.038999544671372566,0.0021519587494947838,28.040237420519773,0.5488368877515523,0.36758580056166973,5.308116890093563,0.4625863443966344,0.2966835307713458,8.366158756900738,0.27799059718706054,0.16794517998517683
Window Linear,172,122,315,64.68172484599589,0.013589859008789062,119.95030498504639,3.2058959007263184,123.1697907447815,0.04182074994160904,0.037725771004470575,0.0023484686136771263,0.045876578132054494,0.040679141059906936,0.0020703879042168007,3.6445633104806308,0.5088116506178214,0.33516589017302617,36.18558844092587,0.5543315883531339,0.39795614749585434,9.979462269870035,0.28538703775883334,0.18438522354669365
Window Clinear,342,122,145,29.774127310061605,0.006523847579956055,95.67374897003174,5.000362157821655,100.68063497543335,0.057786305835408364,0.05120199277242328,0.003816952777165823,0.05927936169627628,0.05007087151727034,0.0036491422744513798,3.4191335871098762,0.5298068243395504,0.3557147464106301,4.458259739950805,0.5048103170958061,0.33276539400209204,1.9986147486480914,0.28397250143126257,0.17398655886608477
Window Rank,312,122,175,35.93429158110883,0.008630990982055664,92.37494778633118,3.3521292209625244,95.73570799827576,0.05136904434995585,0.04594224687270476,0.003328983623411994,0.04313187538411305,0.03737976248459097,0.0018765060922092797,2.146977413614118,0.542674602368226,0.38766696437559434,2.3512553158594676,0.469091606441457,0.31494469162061106,1.1481834123019135,0.2737720545417447,0.1769542864279567
Window Mahalanobis,312,122,175,35.93429158110883,0.005872249603271484,92.10255217552185,3.0836589336395264,95.19208335876465,0.07299242150056702,0.0635652935348543,0.005982675170952828,0.04418479655399359,0.038240428774577194,0.0020618594070960262,4.581622094379598,0.5277768793990046,0.3515384892711474,1.7298072346536937,0.4614438103951776,0.33280887889789207,1.6071516367719627,0.27275660302590343,0.17309797568677202
Window AR,162,122,325,66.73511293634496,0.014622926712036133,92.32362794876099,3.8364648818969727,96.17471575737,0.05923162723727431,0.0533202137432088,0.003821688655537656,0.031593967145215,0.027504149241389057,0.0011075876290075424,237.09920481025424,0.5001194860840311,0.3217306124102551,16.516443420521593,0.5917547743484385,0.4271968762551529,63.4266184562896,0.29317465585426705,0.1884641912374882
Window Mean,259,122,228,46.81724845995893,0.12166690826416016,98.94096183776855,3.385361909866333,102.44799065589905,0.043193151058611615,0.03992137268593674,0.0020509750475514493,0.04296223413521799,0.03714234833049952,0.0018852038771784584,3.6150738234923603,0.5473380465300749,0.3722729755265469,3.0708486003205895,0.4949368948416529,0.35844690967837145,1.6930194522516953,0.2798346655970411,0.18366401603241206
Window Median,312,122,175,35.93429158110883,0.12166690826416016,94.41179299354553,3.3216898441314697,97.85514974594116,0.057275199041763654,0.05131884976785072,0.0035860148022746974,0.05697292464100991,0.04742902722183125,0.0031118647613779127,2.9111386570183764,0.6117346391826428,0.46501593753908776,2.514910711724252,0.5351346173977791,0.3877789795964737,1.3850743731063506,0.311404283392526,0.21487319917480355
