Approach,# Train,# Test,Cut,% Cut,Avg Cut Seconds,Std Cut Seconds,Avg Train Seconds,Std Train Seconds,Avg Total Seconds,Std Total Seconds,Avg Amount_MAPE,Std Amount_MAPE,Avg Amount_MAE,Std Amount_MAE,Avg Amount_MSE,Std Amount_MSE,Avg Avg_MAPE,Std Avg_MAPE,Avg Avg_MAE,Std Avg_MAE,Avg Avg_MSE,Std Avg_MSE
Binary Segmentation L2,444,117,20,4.310344827586207,0.01104593276977539,0.0016763158245274423,5.5161713600158695,1.1056157276650693,5.527217292785645,1.1070061656226868,0.030893292600433907,0.0015667531622766673,0.027800906881618053,0.0013321717127141087,0.0014507062912805422,8.925724283959507e-05,0.030893292600433907,0.0015667531622766673,0.027800906881618053,0.0013321717127141087,0.0014507062912805422,8.925724283959507e-05
Binary Segmentation Normal,444,117,20,4.310344827586207,0.017435836791992187,0.0015585218306848215,7.2564859867095945,3.0771652247475436,7.273921823501587,3.078432878264159,0.02823351742972879,0.0023813269139347027,0.025460992909625457,0.0020930444398438363,0.0013023732370989686,0.0001607818838415913,0.02823351742972879,0.0023813269139347027,0.025460992909625457,0.0020930444398438363,0.0013023732370989686,0.0001607818838415913
Binary Segmentation RBF,444,117,20,4.310344827586207,0.020645999908447267,0.0009195158549771427,4.606018543243408,0.6852090561532297,4.626664543151856,0.6849403362364159,0.028941366514458777,0.001411212223326214,0.02613882525239646,0.001202019424655771,0.0013809131438036607,6.081834785510634e-05,0.028941366514458777,0.001411212223326214,0.02613882525239646,0.001202019424655771,0.0013809131438036607,6.081834785510634e-05
Binary Segmentation Cosine,9,117,455,98.0603448275862,0.021508026123046874,0.00208125351155085,3.068674373626709,0.20454992239199457,3.090182399749756,0.20537462552299623,0.030301516380966207,0.006301546894657821,0.031085875946664128,0.006070122009773474,0.001959460627275663,0.00019748113057582427,0.030301516380966207,0.006301546894657821,0.031085875946664128,0.006070122009773474,0.001959460627275663,0.00019748113057582427
Binary Segmentation Linear,349,117,115,24.78448275862069,0.009853887557983398,0.0026634434986825134,4.900767230987549,0.39727204753749434,4.910621118545532,0.39838485846292104,0.03007366653168167,0.0025787958415108498,0.027136210844831924,0.00224204155118201,0.0014762283638238703,0.00014463777670796414,0.03007366653168167,0.0025787958415108498,0.027136210844831924,0.00224204155118201,0.0014762283638238703,0.00014463777670796414
Binary Segmentation Clinear,379,117,85,18.318965517241377,0.006861162185668945,0.00014821837052050017,5.025511646270752,1.8931248283877837,5.0323728084564205,1.8930276281490952,0.030158831102199003,0.0022331499892510186,0.027178822370485082,0.0019069046552762977,0.0014166749937545144,7.812766752390408e-05,0.030158831102199003,0.0022331499892510186,0.027178822370485082,0.0019069046552762977,0.0014166749937545144,7.812766752390408e-05
Binary Segmentation Rank,444,117,20,4.310344827586207,0.010860967636108398,0.0003923783643823967,7.220651721954345,2.4695693010207047,7.2315126895904545,2.4695502256762554,0.027931685957581297,0.0030812268309357163,0.025207666547526576,0.0027310017935726497,0.0013099616405193415,0.00021851490179346334,0.027931685957581297,0.0030812268309357163,0.025207666547526576,0.0027310017935726497,0.0013099616405193415,0.00021851490179346334
Binary Segmentation Mahalanobis,444,117,20,4.310344827586207,0.024246597290039064,0.010944526290289424,7.481047487258911,2.6597194996070552,7.50529408454895,2.656997401980306,0.029468550542509388,0.0023900503522787104,0.026523722358999934,0.0021457865844914975,0.0013501175353557383,0.00020850645782788187,0.029468550542509388,0.0023900503522787104,0.026523722358999934,0.0021457865844914975,0.0013501175353557383,0.00020850645782788187
Binary Segmentation AR,439,117,25,5.387931034482758,0.015065860748291016,0.0004340095549210735,7.274409008026123,2.679580739049662,7.289474868774414,2.6791991260910804,0.028087691635499783,0.003511922107710924,0.02535803992218374,0.0030737288684343574,0.0013267995776149583,0.00018488829573074582,0.028087691635499783,0.003511922107710924,0.02535803992218374,0.0030737288684343574,0.0013267995776149583,0.00018488829573074582
Binary Segmentation Mean,384,117,80,17.24137931034483,0.15752606391906737,0.012733065821685517,7.208034086227417,3.7598995995953426,7.365560150146484,3.7595193996865572,0.028476189856699856,0.002477863444022798,0.02570929191060811,0.0022347956552389533,0.0013439058482187204,0.00019024756770836358,0.028476189856699856,0.002477863444022798,0.02570929191060811,0.0022347956552389533,0.0013439058482187204,0.00019024756770836358
