Approach,# Train,# Test,Cut,% Cut,Cut Seconds,Train Seconds,Total Seconds,V1_MAPE,V1_MAE,V1_MSE,V2_MAPE,V2_MAE,V2_MSE,V3_MAPE,V3_MAE,V3_MSE,V4_MAPE,V4_MAE,V4_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Binary Segmentation Rank,127,102,280,68.7960687960688,0.014653921127319336,2.7956161499023438,2.810270071029663,0.11461578966959413,0.11841052030545096,0.030285177234242386,0.13042627485688998,0.13814724046184215,0.022962308355595765,437804389298823.0,0.5104714042724616,0.4791369242501684,0.3285861966625796,0.9318510731982927,1.9371122916394945,109451097324705.9,0.4247200595595118,0.6173741753698749
Binary Segmentation Mahalanobis,127,102,280,68.7960687960688,0.012585163116455078,2.7601821422576904,2.7727673053741455,0.026205515558735324,0.0268292233691154,0.001571760491885395,0.0915594714158088,0.1015184055490192,0.017092334465037558,211929879753523.53,0.6038338376573694,0.8020065130157006,0.30305702907637083,0.875066365704379,1.761924964911993,52982469938380.99,0.4018119580699706,0.6456488932211542
Binary Segmentation AR,222,102,185,45.45454545454545,0.012775897979736328,3.492295980453491,3.5050718784332275,0.067020726815654,0.060095387918038215,0.004857180911416845,0.24735756399931227,0.2688787231327086,0.08292909701850883,252998400128830.3,0.4745119275941249,0.4525775526451543,0.2886722864890284,0.7379433345224509,1.2619413273030844,63249600032207.73,0.3853573432918308,0.4505762894695411
Binary Segmentation Mean,185,102,222,54.54545454545454,0.1353929042816162,3.731806993484497,3.8671998977661133,0.17598136192407807,0.16220487576171283,0.047919752410516374,0.1353546082943994,0.1462531888658468,0.025535523647304013,296685421842302.94,0.44803182395708213,0.38079595738916283,0.27707019230625607,0.7951584126422562,1.4528584189608036,74171355460575.89,0.38791207530672456,0.47677741310194677
Binary Segmentation Median,217,102,190,46.68304668304668,0.1353929042816162,3.278486967086792,3.413879871368408,0.044955680244467826,0.040613287444030394,0.0029230485094129664,0.15775709110655284,0.17057335219957745,0.03250316696831697,365053661027058.8,0.45128737585367934,0.36122347142398664,0.31624909726966915,0.9147198437900015,1.9186597476500733,91263415256764.84,0.39429846482182207,0.5788273586379478
Bottom Up L1,322,102,85,20.884520884520885,0.009595155715942383,4.246949195861816,4.256544351577759,0.08755586820211776,0.07923726042356172,0.007549247394718042,0.18495130679846591,0.19973946527503458,0.04322270728811348,260113545380702.62,0.2832201185012376,0.13563523523697524,0.32802119093548415,0.3867262053349723,0.3220875161842848,65028386345175.805,0.23723076238370155,0.1271236765260229
Bottom Up L2,217,102,190,46.68304668304668,0.005889892578125,3.58803391456604,3.593923807144165,0.18503554557093316,0.17049743575206738,0.0524148281474943,0.2598831724042189,0.28371595363940477,0.10019247170654517,148945143661234.2,0.474068432725219,0.5013774691921968,0.3054461726015176,0.8924255128102467,1.8585209105850495,37236285915308.734,0.45517683373173445,0.6281264199078216
Bottom Up Normal,217,102,190,46.68304668304668,0.010174989700317383,4.469933986663818,4.480108976364136,0.06851329821901368,0.062383540363113395,0.007420848451016732,0.1818843372464854,0.1996597192796636,0.05175589477814497,242488795289837.44,0.4255651612740971,0.3619322203694558,0.33353064035943286,0.958822160422217,2.078140197250483,60622198822459.51,0.4116076453347727,0.6248122902122751
Bottom Up RBF,152,102,255,62.65356265356266,0.005085945129394531,2.860812187194824,2.8658981323242188,0.19139758279796065,0.1771103540836411,0.05205980443081232,0.11030902822793502,0.12054869980518886,0.02168288383754388,330498083254229.2,0.5037103235056787,0.5218991354015697,0.3328376825002263,0.9687270715872588,2.1724598178283494,82624520813557.45,0.44252411224544175,0.6920254103745687
Bottom Up Cosine,232,102,175,42.997542997543,0.0034580230712890625,3.7478649616241455,3.7513229846954346,0.04831546883525198,0.043581736157331095,0.00320427282504007,0.21102371843852355,0.22987664530224342,0.06317327802260181,143903058062282.4,0.3032962038070093,0.1916525853133782,0.3165986281968997,0.447764538339215,0.4537660180303419,35975764515570.74,0.25612978090144967,0.17794903854784047
Bottom Up Linear,177,102,230,56.51105651105651,0.0058329105377197266,2.872997999191284,2.878830909729004,0.08238650705522492,0.07646936190936815,0.013289965319296326,0.19541780593575261,0.21292349131556354,0.05298275223503098,331582143176445.6,0.533594604057103,0.5565148154799296,0.31774222450252204,0.9073829486509746,1.8754129545025262,82895535794111.55,0.43259260148325235,0.6245501218841958
Bottom Up Clinear,307,102,100,24.57002457002457,0.004183053970336914,3.3103506565093994,3.3145337104797363,0.0832818646781885,0.07617187465505634,0.01005072320999033,0.21314016553099793,0.22752030680126686,0.05468603879646247,197403175755172.7,0.2734784975465233,0.1377286061817881,0.29256175140012347,0.41996103728541095,0.4047221509633256,49350793938793.32,0.24928292907206445,0.15179687978789158
Bottom Up Rank,142,102,265,65.1105651105651,0.012261152267456055,2.8871312141418457,2.8993923664093018,0.12301177814018327,0.12626498784371615,0.033609813190241845,0.075421741190025,0.08025615559820252,0.007724477861611511,136907150405071.89,0.6657668781113838,1.0397537092035316,0.32722400744091495,0.9150831580764651,1.8424992638838043,34226787601268.105,0.44684279490744194,0.7308968160347973
Bottom Up Mahalanobis,142,102,265,65.1105651105651,0.004305124282836914,2.8651561737060547,2.8694612979888916,0.16822648597303633,0.1703821023045961,0.05220561200085737,0.08742004442413225,0.09214719948121271,0.01189765702792825,138794569699371.62,0.7271117439140593,1.2504761647243365,0.344913315110221,0.9901634097701907,2.2200842510441463,34698642424843.055,0.4949511138675147,0.8836659211993172
Bottom Up AR,217,102,190,46.68304668304668,0.006873130798339844,3.7949209213256836,3.8017940521240234,0.18512984141539163,0.17030257812961963,0.04939221433881572,0.22686464633064138,0.24603955526173535,0.06852769708954919,292811625538312.4,0.4503506712149221,0.38868645957345754,0.3413123555401837,0.9785742625784666,2.161922677668316,73202906384578.3,0.46131676679618605,0.6671322621675344
Bottom Up Mean,213,102,194,47.665847665847664,0.06765937805175781,2.924600839614868,2.992260217666626,0.0672968612105733,0.06184206243835016,0.008143454604798574,0.220327320531439,0.24013800025058835,0.06768159741276389,256535316602276.75,0.5617466428709167,0.6629809652880987,0.39965978384238376,1.135472985955884,2.8495567927093486,64133829150569.36,0.49979992287893465,0.8970907025037529
Bottom Up Median,217,102,190,46.68304668304668,0.06765937805175781,3.3351480960845947,3.4028074741363525,0.060993880100436854,0.05447304879124297,0.004882315060042829,0.13939968755473894,0.15004262202737,0.027382411903381147,363559502302758.0,0.4119808618885495,0.29251895916125403,0.27057339942888764,0.7918138071712977,1.4807225307049106,90889875575689.61,0.35207758496961494,0.45137655420739703
