Approach,# Train,# Test,Cut,% Cut,Avg Cut Seconds,Std Cut Seconds,Avg Train Seconds,Std Train Seconds,Avg Total Seconds,Std Total Seconds,Avg USD/Bitcoin_MAPE,Std USD/Bitcoin_MAPE,Avg USD/Bitcoin_MAE,Std USD/Bitcoin_MAE,Avg USD/Bitcoin_MSE,Std USD/Bitcoin_MSE,Avg Avg_MAPE,Std Avg_MAPE,Avg Avg_MAE,Std Avg_MAE,Avg Avg_MSE,Std Avg_MSE
Binary Segmentation Cosine,9,155,610,98.54604200323102,0.04737963676452637,0.00464173272474073,3.0705020904541014,0.20508425336059405,3.117881727218628,0.20903762160134604,0.18586693641074378,0.05803619741227663,0.07945038592833144,0.02244817316243023,0.008925261846259587,0.004493478714370608,0.18586693641074378,0.05803619741227663,0.07945038592833144,0.02244817316243023,0.008925261846259587,0.004493478714370608
Binary Segmentation Linear,29,155,590,95.31502423263328,0.013262414932250976,0.000418040535386683,2.740360689163208,0.3696611055227836,2.753623104095459,0.36964041364126266,0.3677467363640695,0.07200239082195072,0.0936001233210927,0.018196466696018602,0.010960398125523404,0.004295360581802917,0.3677467363640695,0.07200239082195072,0.0936001233210927,0.018196466696018602,0.010960398125523404,0.004295360581802917
Binary Segmentation Clinear,119,155,500,80.77544426494345,0.010482406616210938,0.0005718750203254787,2.8557400703430176,0.18719524602055457,2.8662224769592286,0.18669960118971815,0.16748417055040232,0.01754090974270136,0.04352985780174154,0.004196458569341259,0.0025215887440894363,0.00038568069921453274,0.16748417055040232,0.01754090974270136,0.04352985780174154,0.004196458569341259,0.0025215887440894363,0.00038568069921453274
Binary Segmentation Rank,214,155,405,65.4281098546042,0.020348405838012694,0.013725946633027999,3.25954155921936,0.27921339080439495,3.279889965057373,0.28507572648963825,0.1263033556936744,0.026087338787098176,0.04161450409290252,0.009813187441498745,0.0029291654627186985,0.0011418883968990364,0.1263033556936744,0.026087338787098176,0.04161450409290252,0.009813187441498745,0.0029291654627186985,0.0011418883968990364
Binary Segmentation Mahalanobis,44,155,575,92.89176090468497,0.05045452117919922,0.004560567620173137,2.8005911350250243,0.13402963822739125,2.8510456562042235,0.13348429089716704,0.4164544300736109,0.06336717075821158,0.10658107879736615,0.016119438772209862,0.013732575118363425,0.0037189199690730148,0.4164544300736109,0.06336717075821158,0.10658107879736615,0.016119438772209862,0.013732575118363425,0.0037189199690730148
Binary Segmentation AR,19,155,600,96.93053311793214,0.02660236358642578,0.0025756942207365925,2.6769272327423095,0.194846376847867,2.7035295963287354,0.19553170167011635,0.25616821341419194,0.05251741596940596,0.10723556155472852,0.02191068372666492,0.014969161246747114,0.005492787118229469,0.25616821341419194,0.05251741596940596,0.10723556155472852,0.02191068372666492,0.014969161246747114,0.005492787118229469
Binary Segmentation Mean,81,155,538,86.91437802907916,0.2837993144989014,0.01949046357422235,2.71387619972229,0.17694275947571064,2.9976755142211915,0.17659359315408646,0.2906078128104283,0.032981677161220274,0.07203069280500067,0.00799390251831188,0.006788661554428303,0.0014007682106544806,0.2906078128104283,0.032981677161220274,0.07203069280500067,0.00799390251831188,0.006788661554428303,0.0014007682106544806
Binary Segmentation Median,47,155,572,92.40710823909531,0.2837993144989014,0.01949046357422235,2.4280591011047363,0.0968920755851778,2.7118584156036376,0.09752587149955405,0.43916405441616463,0.07798704137209286,0.11272000610974972,0.02064044176029021,0.015271297757037816,0.005040364196002174,0.43916405441616463,0.07798704137209286,0.11272000610974972,0.02064044176029021,0.015271297757037816,0.005040364196002174
Bottom Up L1,39,155,580,93.69951534733441,0.01741509437561035,0.002552388611447845,2.7065650463104247,0.17491795542437105,2.7239801406860353,0.1736770112158568,0.39120750821105243,0.055466611860274594,0.09988528844039776,0.014431285060624703,0.01211733051238174,0.003190336156243404,0.39120750821105243,0.055466611860274594,0.09988528844039776,0.014431285060624703,0.01211733051238174,0.003190336156243404
Bottom Up L2,39,155,580,93.69951534733441,0.009703588485717774,0.0004754396284154668,2.8469470500946046,0.21259329847405226,2.856650638580322,0.21295014519356062,0.42206624537587034,0.06434766516633444,0.10797974432495265,0.017415842624201493,0.014084091372125745,0.0041976324532616805,0.42206624537587034,0.06434766516633444,0.10797974432495265,0.017415842624201493,0.014084091372125745,0.0041976324532616805
Bottom Up Normal,99,155,520,84.00646203554119,0.015323400497436523,0.001071197084893322,2.779753828048706,0.2190557510809859,2.7950772285461425,0.21916228442015842,0.3029180954334716,0.03982074078559817,0.07559535535406178,0.01058584317558575,0.007409713350730321,0.001887525802031837,0.3029180954334716,0.03982074078559817,0.07559535535406178,0.01058584317558575,0.007409713350730321,0.001887525802031837
Bottom Up RBF,214,155,405,65.4281098546042,0.01658291816711426,0.002076819775685241,3.254773235321045,0.1476354574926843,3.271356153488159,0.14682229714521763,0.11231330347989794,0.018658540687319487,0.03555460659718679,0.005209734252357457,0.0021951806368404963,0.0005212723349169328,0.11231330347989794,0.018658540687319487,0.03555460659718679,0.005209734252357457,0.0021951806368404963,0.0005212723349169328
Bottom Up Cosine,9,155,610,98.54604200323102,0.013473987579345703,0.0027192528533264678,3.156981945037842,0.39348154734981644,3.1704559326171875,0.39563155021015955,0.18782934259675094,0.021446355310682,0.08027573489266898,0.008250082007563777,0.00847587963562794,0.00176483839966335,0.18782934259675094,0.021446355310682,0.08027573489266898,0.008250082007563777,0.00847587963562794,0.00176483839966335
Bottom Up Linear,29,155,590,95.31502423263328,0.009425640106201172,0.0006867890406636489,2.5291088581085206,0.16782304194142678,2.5385344982147218,0.1684695475764019,0.34300717282756005,0.06014535917738389,0.0872402664843775,0.015271893198279141,0.009530518128160052,0.0029912389433358034,0.34300717282756005,0.06014535917738389,0.0872402664843775,0.015271893198279141,0.009530518128160052,0.0029912389433358034
Bottom Up Clinear,79,155,540,87.23747980613894,0.008744525909423827,0.002442216292914744,2.7969035625457765,0.3523911657268789,2.8056480884552,0.3544011123614817,0.26592423245127705,0.06704967929430157,0.06616824014534564,0.01629478772002844,0.005950078125713538,0.0031589982484089654,0.26592423245127705,0.06704967929430157,0.06616824014534564,0.01629478772002844,0.005950078125713538,0.0031589982484089654
Bottom Up Rank,214,155,405,65.4281098546042,0.010939979553222656,0.0009154624531021617,3.1015830993652345,0.2403356938231345,3.112523078918457,0.24115068525729286,0.10895345542475268,0.032274065034583015,0.03501553716641857,0.010889724913167455,0.0022148645110187234,0.0012097347447165756,0.10895345542475268,0.032274065034583015,0.03501553716641857,0.010889724913167455,0.0022148645110187234,0.0012097347447165756
Bottom Up Mahalanobis,39,155,580,93.69951534733441,0.013166522979736328,0.0026450595552068848,2.943752670288086,0.23668314339477464,2.9569191932678223,0.23856427907622865,0.3876211054540029,0.09509059745189725,0.09950602414765436,0.02462640964162544,0.012287658213550526,0.005707369314621285,0.3876211054540029,0.09509059745189725,0.09950602414765436,0.02462640964162544,0.012287658213550526,0.005707369314621285
Bottom Up AR,19,155,600,96.93053311793214,0.013358306884765626,0.0005653780638423642,2.652967357635498,0.3061189937862982,2.6663256645202638,0.30664304929744157,0.2450307931624443,0.08125477905652162,0.10308342755890045,0.0328731853853558,0.014509194271111248,0.008454986536085387,0.2450307931624443,0.08125477905652162,0.10308342755890045,0.0328731853853558,0.014509194271111248,0.008454986536085387
Bottom Up Mean,78,155,541,87.39903069466882,0.12813396453857423,0.009573231828407839,2.332057809829712,0.1327021483072816,2.460191774368286,0.1398948757524091,0.24509431234523274,0.019008215965882733,0.06190605854940366,0.0048688287910542884,0.004918401884115679,0.000745598010338299,0.24509431234523274,0.019008215965882733,0.06190605854940366,0.0048688287910542884,0.004918401884115679,0.000745598010338299
Bottom Up Median,39,155,580,93.69951534733441,0.12813396453857423,0.009573231828407839,2.9272465229034426,0.2832215175064268,3.0553804874420165,0.2761171041854769,0.3950028957593924,0.09772324327349007,0.10125885042589555,0.025029805053603672,0.012730558893733866,0.005649134787756369,0.3950028957593924,0.09772324327349007,0.10125885042589555,0.025029805053603672,0.012730558893733866,0.005649134787756369
