Approach,# Train,# Test,Cut,% Cut,Cut Seconds,Train Seconds,Total Seconds,V1_MAPE,V1_MAE,V1_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Bottom Up L1,87,199,705,89.01515151515152,0.016489028930664062,4.828685998916626,4.84517502784729,0.1966978702126491,0.05424164883365221,0.006614618909648195,0.1966978702126491,0.05424164883365221,0.006614618909648195
Bottom Up L2,87,199,705,89.01515151515152,0.010180950164794922,4.410730361938477,4.4209113121032715,0.18760845631813092,0.05149926183773156,0.005349802985747668,0.18760845631813092,0.05149926183773156,0.005349802985747668
Bottom Up Normal,122,199,670,84.59595959595958,0.015718698501586914,2.852238178253174,2.8679568767547607,0.8977271763648972,0.08581865491587677,0.009641221254230238,0.8977271763648972,0.08581865491587677,0.009641221254230238
Bottom Up RBF,397,199,395,49.87373737373738,0.019852638244628906,9.929305076599121,9.94915771484375,0.1962825926791465,0.028145813914392154,0.0015356924913547114,0.1962825926791465,0.028145813914392154,0.0015356924913547114
Bottom Up Cosine,12,199,780,98.48484848484848,0.017679214477539062,3.3973140716552734,3.4149932861328125,1.2597261418927241,0.21780705997944924,0.056654640060737026,1.2597261418927241,0.21780705997944924,0.056654640060737026
Bottom Up Linear,12,199,780,98.48484848484848,0.008828878402709961,3.2853200435638428,3.2941489219665527,1.2516238103936952,0.21656738115699145,0.056109531301133796,1.2516238103936952,0.21656738115699145,0.056109531301133796
Bottom Up Clinear,437,199,355,44.823232323232325,0.009288787841796875,13.319096088409424,13.32838487625122,0.16360641751413066,0.024081012322833422,0.0011196364071900619,0.16360641751413066,0.024081012322833422,0.0011196364071900619
Bottom Up Rank,187,199,605,76.38888888888889,0.01335287094116211,4.479757070541382,4.493109941482544,0.32308950364669914,0.040880304211299505,0.002901192109029321,0.32308950364669914,0.040880304211299505,0.002901192109029321
Bottom Up Mahalanobis,87,199,705,89.01515151515152,0.011458873748779297,4.163333892822266,4.174792766571045,0.1966652739472726,0.057534562742527016,0.007934388326073532,0.1966652739472726,0.057534562742527016,0.007934388326073532
Bottom Up AR,522,199,270,34.090909090909086,0.014297962188720703,9.755355834960938,9.769653797149658,0.17833795462393418,0.026153673177199802,0.0013190057085269442,0.17833795462393418,0.026153673177199802,0.0013190057085269442
Bottom Up Mean,195,199,597,75.37878787878788,0.1371479034423828,6.721312999725342,6.858460903167725,0.27318700653579114,0.03604994571642129,0.0022917145152660176,0.27318700653579114,0.03604994571642129,0.0022917145152660176
Bottom Up Median,105,199,687,86.74242424242425,0.1371479034423828,3.3244500160217285,3.4615979194641113,0.3817481999109711,0.054406908533582425,0.006366510504938778,0.3817481999109711,0.054406908533582425,0.006366510504938778
