Approach,# Train,# Test,Cut,% Cut,Cut Seconds,HPO Seconds,Train Seconds,Total Seconds,x_MAPE,x_MAE,x_MSE,y_MAPE,y_MAE,y_MSE,sin(theta)_MAPE,sin(theta)_MAE,sin(theta)_MSE,cos(theta)_MAPE,cos(theta)_MAE,cos(theta)_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Window L2,247,122,240,49.28131416837782,0.009452104568481445,75.5698881149292,3.909529209136963,79.48886942863464,0.04877587562975305,0.04387555569438119,0.003234819081416404,0.036836096340879844,0.03220618497343877,0.0015782243209838782,5.714566952383334,0.5573027517187006,0.3812730233995746,3.706338630230695,0.4825875012988163,0.3165882720750582,2.376629388646166,0.2789929984213343,0.17566858471925823
Window Normal,92,122,395,81.1088295687885,0.03313088417053223,67.28211402893066,2.068173885345459,69.38341879844666,0.08065433848664486,0.08210829749370338,0.009572232317531194,0.054775061697941,0.04868581043740341,0.003275110875639817,3.0200045159320434,0.5520788604004867,0.3934259887961083,27.683957157590854,0.5469550230227197,0.3867613204017165,7.709847768426875,0.3074569978385784,0.19825866309774892
Window RBF,317,122,170,34.90759753593429,0.0081329345703125,73.97853016853333,4.588486194610596,78.57514929771423,0.056898617869440754,0.05024371291385669,0.004117139031034387,0.05165406556667152,0.04537717906435794,0.002981213006355507,20.15070015341649,0.5311160643182403,0.3478251038198279,7.590696634662104,0.5104158197464412,0.33538416667429094,6.962487367878678,0.28428819401072414,0.1725769056328772
Window Cosine,317,122,170,34.90759753593429,0.0050160884857177734,76.08210611343384,2.915570020675659,79.00269222259521,0.0565498821626694,0.049974884352232525,0.004335194963611774,0.055398603215531465,0.0477406546746038,0.0032217723572221992,2.5037499655109867,0.5389671494000301,0.3755424928832667,2.832795410642645,0.504327774929145,0.3497571711390576,1.3621234653829584,0.28525261583900297,0.1832141578357896
Window Linear,172,122,315,64.68172484599589,0.011065244674682617,70.74999594688416,2.462754249572754,73.22381544113159,0.08172382674255617,0.0697793404678739,0.006595083807700499,0.05113481734020227,0.04677146803649265,0.003610760860393486,3.5987103072209443,0.5068043032076816,0.3350984154466086,21.047806521259286,0.6109727233965982,0.4714266774628259,6.194843868140748,0.30858195877716177,0.20418273439438211
Window Clinear,342,122,145,29.774127310061605,0.007627010345458984,83.11423897743225,2.989359140396118,86.11122512817383,0.055932713497554666,0.04969607288166647,0.0037691185243967184,0.04429815294388945,0.036038928063590964,0.0018308891154471334,4.499313543881207,0.5371880621246702,0.3597213562207505,3.928455785774255,0.48962121294179217,0.3232133011101881,2.1320000490242266,0.27813606900293,0.17213366624269566
Window Rank,312,122,175,35.93429158110883,0.009953737258911133,81.30295968055725,2.3188769817352295,83.63179039955139,0.10220013676454569,0.08423315716218259,0.012518578653082318,0.07663367293762027,0.06283619582886328,0.004922322747632777,4.381573362716895,0.6149005049374083,0.4592329203024756,2.9467747116360368,0.5458580143371596,0.3974023083810474,1.8767954710137744,0.32695696806640345,0.21851903252105953
Window Mahalanobis,312,122,175,35.93429158110883,0.005862236022949219,81.96316528320312,2.3326821327209473,84.30170965194702,0.05047634843614125,0.05009716336012548,0.004025625219891284,0.16482771593387802,0.17485997239010084,0.03856856193130522,2.1383896292581563,0.5960330027378606,0.4549060546296299,2.178179372061401,0.44206579609800795,0.29918418091915433,1.1329682664223941,0.3157639836465238,0.19917110567499519
Window AR,162,122,325,66.73511293634496,0.011937141418457031,79.0400230884552,2.3919429779052734,81.44390320777893,0.29768905691672043,0.19126528314816085,0.05337209328379235,0.10687332519192434,0.09107917133802033,0.01114857190897044,5.071315470053798,0.6373035392245271,0.5089311788973573,5.1890797334915195,0.6502349686159112,0.5302446565983725,2.6662393964134914,0.3924707405816549,0.27592412517212306
Window Mean,259,122,228,46.81724845995893,0.11541438102722168,76.74073815345764,2.8374860286712646,79.69363856315613,0.04598986325127196,0.042062685293525096,0.0023426269110183714,0.04645528138438608,0.03957200804421279,0.002093092912727544,2.8103076488840286,0.5380723039827996,0.37055249116553923,3.2483115145979524,0.4821502201202277,0.3189049715110963,1.53776607702941,0.27546430436019137,0.1734732956250954
Window Median,312,122,175,35.93429158110883,0.11541438102722168,78.38221597671509,2.913668155670166,81.41129851341248,0.04152135250412213,0.03756203777653854,0.0024052298931466556,0.06543846179850198,0.058787686394153015,0.0045293494471443825,7.634546703002692,0.5588317527048617,0.38164350069995945,6.634492993019717,0.5178929819687409,0.3462936558875054,3.5939998775812594,0.2932686147110736,0.18371793398193897
Binary Segmentation L1,312,122,175,35.93429158110883,0.025454044342041016,89.1126217842102,2.70662522315979,91.84470105171204,0.08821389521358307,0.07359508664321775,0.00798548324031085,0.16338788215552683,0.14897534455103448,0.026579470048412445,2.7095392966597043,0.5719024754940116,0.40991770422040075,1.6518966875997327,0.4635708098385013,0.3426415276816672,1.1532594404071366,0.3145109291316913,0.19678104629769785
Binary Segmentation L2,257,122,230,47.227926078028744,0.014490842819213867,88.00048112869263,3.330235004425049,91.34520697593689,0.040856203700595055,0.03714240944176092,0.0020484282986185935,0.04593886520092676,0.03910475366675974,0.0020094772250592212,2.8567393998578523,0.548815123850081,0.3792177776951841,3.7559598416325155,0.5301635370575354,0.38166376669703816,1.6748735775979717,0.28880645600403443,0.191234862478975
Binary Segmentation Normal,97,122,390,80.08213552361396,0.04278087615966797,75.60689616203308,2.4578280448913574,78.1075050830841,0.07751431733942395,0.07553590054220702,0.007877825839546456,0.07246011405789848,0.060850448837744965,0.005581652422210877,2.1644559707593536,0.5331612148916864,0.3782189106481893,3.9630727270818347,0.5883839078858077,0.45672296274117086,1.5693757823096275,0.3144828680393616,0.21210033791277932
Binary Segmentation RBF,257,122,230,47.227926078028744,0.027191162109375,107.4043321609497,5.084124326705933,112.51564764976501,0.040914168171277916,0.03803773207141631,0.002240231970529697,0.056695211785630535,0.04976955516097787,0.003433018115798604,3.5858993399555468,0.5551328029385227,0.38320064457635766,2.6895534258714666,0.46924190574978053,0.31014214703168785,1.5932655364459807,0.27804549898017444,0.17475401042359345
Binary Segmentation Cosine,312,122,175,35.93429158110883,0.018475055694580078,86.96265292167664,4.132912874221802,91.11404085159302,0.07707364899665117,0.06679064165427451,0.005855355623599484,0.05583611813590177,0.05013812817876719,0.003741189179945265,5.171832845359982,0.5267786893755375,0.34634826258612905,1.7638829001588363,0.4597732205269905,0.323752600864672,1.7671563781628428,0.27587016993389246,0.16992435206358647
Binary Segmentation Linear,312,122,175,35.93429158110883,0.018715858459472656,92.39628100395203,3.746291160583496,96.161288022995,0.04617529000170682,0.04163670408413696,0.002643605564942463,0.04997794206189408,0.04401048278168907,0.0026799591439410756,4.365824774408993,0.5568007401367403,0.3828503193390199,1.9828028465774672,0.4742958559468163,0.3293297664652993,1.611195213262515,0.27918594573734573,0.17937591262830066
Binary Segmentation Clinear,407,122,80,16.427104722792606,0.011716842651367188,93.68561315536499,5.922598123550415,99.61992812156677,0.07141174889473605,0.06238496580848878,0.005328694295010056,0.07168201233800388,0.06129593918807196,0.0051157598653180465,4.643996418283079,0.5449358000080362,0.3678419126016416,3.158562838427629,0.48618436737128456,0.32305228274806075,1.9864132544858621,0.2887002680939704,0.1753346623775076
Binary Segmentation Rank,312,122,175,35.93429158110883,0.014245033264160156,93.49461913108826,4.33027195930481,97.83913612365723,0.04932831984942155,0.044432027436471414,0.002865795529912329,0.05061705688865616,0.044532125228047933,0.0027551827237291228,5.467822634920177,0.548666162760593,0.3700042283134045,4.171446921010147,0.4662759720920673,0.2997114326638445,2.434803733167101,0.27597657187929503,0.1688341598077226
Binary Segmentation Mahalanobis,312,122,175,35.93429158110883,0.020776987075805664,90.96530294418335,2.7022838592529297,93.68836379051208,0.05084650036257851,0.04611862265257885,0.0028699210756652467,0.0568925464631518,0.0496654598303264,0.0031966103302176266,1.8542144193382237,0.5347579057772736,0.39634888543834335,2.3120187854949976,0.5014879166994868,0.3527312472858004,1.068493062914738,0.2830074762399164,0.18878666603250666
Binary Segmentation AR,312,122,175,35.93429158110883,0.022976160049438477,89.65074181556702,3.3656423091888428,93.0393602848053,0.06353944079256542,0.05634027409520461,0.004096079573496707,0.04826523928154102,0.041348544429640956,0.0022201471132360148,2.5104565355208464,0.5378611825841663,0.3731354419647507,2.113994369154557,0.45927120440406777,0.3116628720179786,1.1840638961873773,0.27370530137826987,0.1727786351673655
Binary Segmentation Mean,289,122,198,40.6570841889117,0.21682286262512207,94.49584817886353,3.7971999645233154,98.50987100601196,0.07507528959822421,0.06497577434454256,0.0061734974090371705,0.04184969356679221,0.036488317368885005,0.001979406053212685,1.8553157284885147,0.5662921784751661,0.4271912551953302,3.2449008485810267,0.5209589308431999,0.35875973662268074,1.3042853900586393,0.2971788002579484,0.19852597382006518
Binary Segmentation Median,312,122,175,35.93429158110883,0.21682286262512207,81.22945785522461,2.638071060180664,84.0843517780304,0.11587447266893158,0.09564293911572394,0.012205442591776871,0.03985243395733103,0.0353429678685866,0.0019561236977988727,25.989279594370092,0.5646823474118877,0.3879535220781095,3.677236676934401,0.48630395826895945,0.32122317433371655,7.455560794482686,0.2954930531662895,0.18083456567535042
