Approach,# Train,# Test,Cut,% Cut,Avg Cut Seconds,Std Cut Seconds,Avg Train Seconds,Std Train Seconds,Avg Total Seconds,Std Total Seconds,Avg Pace_MAPE,Std Pace_MAPE,Avg Pace_MAE,Std Pace_MAE,Avg Pace_MSE,Std Pace_MSE,Avg Distance_MAPE,Std Distance_MAPE,Avg Distance_MAE,Std Distance_MAE,Avg Distance_MSE,Std Distance_MSE,Avg Avg_MAPE,Std Avg_MAPE,Avg Avg_MAE,Std Avg_MAE,Avg Avg_MSE,Std Avg_MSE
Window Clinear,250,76,50,16.666666666666664,0.003991222381591797,0.0002867940943061533,3.714989757537842,0.5200215317626391,3.7189809799194338,0.5202230956382228,0.23654624108171843,0.03832582599216817,0.2325665478754724,0.039282256842201865,0.06149174783818543,0.01992445514614599,0.3543443883618585,0.020174487701611798,0.3963713403207164,0.022534173690435737,0.15824417509135655,0.0179380745715566,0.2954453147217885,0.02795855329333721,0.31446894409809445,0.0297295243567373,0.10986796146477099,0.01834762516382026
Window Rank,135,76,165,55.00000000000001,0.0045970439910888675,0.0002624961812180217,3.4171072959899904,0.7304192882817275,3.421704339981079,0.7304435891276864,0.19562137146501668,0.013374807753436163,0.17568659657809943,0.016151086909268357,0.03350685755420542,0.005483049106675101,0.15109234145914563,0.025949236973476317,0.1691931464543737,0.02919499775260004,0.029820850598997847,0.010625001760896985,0.17335685646208113,0.017943149821690423,0.17243987151623658,0.02103462237844484,0.031663854076601626,0.007511306007684185
Window Mahalanobis,135,76,165,55.00000000000001,0.003162384033203125,0.00037393029837050785,3.1904480934143065,0.47556284117581016,3.1936104774475096,0.4753873854699242,0.19854333352099213,0.03230121920370955,0.1824926790617504,0.03748194765287718,0.037445521888355725,0.015510582095931053,0.15683664314646856,0.05270022406890506,0.1755592912013476,0.05957896833691333,0.034603719816100505,0.01672617017671048,0.17768998833373034,0.021402999433509602,0.17902598513154902,0.022433417389120185,0.036024620852228115,0.00680320266555714
Window AR,155,76,145,48.333333333333336,0.006392908096313476,0.0006557143440947912,3.4988909721374513,0.47225698293720436,3.5052838802337645,0.47264725007748526,0.22366723310156225,0.025819444997770113,0.20821245231282778,0.03007751179211079,0.04661713778261104,0.013237793142326178,0.19534438653400596,0.04701002689645702,0.21893693545688897,0.05280406477856527,0.05085284999513946,0.022449461846611726,0.2095058098177841,0.03415976346658452,0.2135746938848584,0.03876836631783063,0.04873499388887525,0.016749175566965906
Window Mean,177,76,123,41.0,0.05588154792785645,0.0073987056136436205,2.880504083633423,0.4056345844106272,2.9363856315612793,0.4050053202152416,0.2489374971736496,0.02769327130547637,0.23922792963152242,0.028720243960948622,0.06171783261873605,0.014626123251464165,0.23714593726080826,0.05020810958836265,0.265386272773485,0.05687453155934874,0.07442857723867431,0.030750092103934465,0.24304171721722895,0.03503110925753453,0.2523071012025037,0.03859713848722709,0.06807320492870517,0.02016176932268476
Window Median,158,76,142,47.333333333333336,0.05588154792785645,0.0073987056136436205,3.146181583404541,0.6511803123333021,3.2020631313323973,0.6485645535173221,0.24307538330174072,0.035892515853666325,0.2329790628108415,0.039358060531946876,0.05945331190678548,0.019307455499589943,0.2160190617287843,0.04308443823052477,0.24205668240452302,0.04867098988889424,0.06155933535804981,0.02407047731935257,0.22954722251526247,0.03622913776927643,0.23751787260768228,0.040490593554444544,0.06050632363241765,0.01938198900991101
Binary Segmentation L1,155,76,145,48.333333333333336,0.013205957412719727,0.0010821184423135857,3.2573341369628905,0.8341329481228551,3.2705400943756104,0.833740140615315,0.2187346268650165,0.046954100635498916,0.20337272792415237,0.05162931796061056,0.04670733102903064,0.024018650273436488,0.195214541251072,0.04262635103977488,0.21806337893971642,0.0482937592380657,0.051541574211541395,0.01997029316565245,0.20697458405804423,0.04328631238931836,0.21071805343193442,0.04778589355497115,0.04912445262028602,0.021196641147420387
Binary Segmentation L2,150,76,150,50.0,0.007025384902954101,9.363289834494727e-05,3.235686445236206,0.1943683853737551,3.24271183013916,0.19442443375470186,0.22987584870820513,0.012039822229939216,0.21858586984924544,0.011340247219360743,0.05084080164821306,0.004995059673778434,0.18933401477233308,0.026777278782875384,0.21209771572778333,0.03011258600097158,0.04639121102353687,0.012214093590159306,0.2096049317402691,0.01792507813488668,0.21534179278851442,0.019158512841671457,0.048616006335874956,0.007844866388233581
Binary Segmentation Normal,135,76,165,55.00000000000001,0.017852783203125,0.0012772132350228505,3.3350210666656492,0.20266101443030385,3.3528738498687742,0.2032861263347259,0.21697270938310043,0.029451813744080173,0.20196625007891897,0.03360746831256487,0.04440986326804632,0.015212706906447127,0.1634393628027296,0.02990020967607285,0.1831646099480526,0.03368545487252497,0.03501269997520925,0.011602433761968595,0.19020603609291503,0.024999636455104182,0.1925654300134858,0.027769662725936207,0.039711281621627785,0.010780817472739995
Binary Segmentation RBF,155,76,145,48.333333333333336,0.008382606506347656,0.0006697733254456394,3.738926076889038,0.3320515886260821,3.747308683395386,0.33158621587643006,0.23066345778841738,0.02699618898719665,0.21698137293483796,0.031246226817867654,0.05068104169057225,0.015395682918335695,0.2198928690672609,0.02430828292276648,0.24639391959675985,0.027439373817574348,0.062061579456173854,0.014456414392622765,0.22527816342783913,0.02459544615964191,0.23168764626579896,0.028098018515582256,0.05637131057337305,0.01443134618773809
Binary Segmentation Cosine,290,76,10,3.3333333333333335,0.008005905151367187,0.0006881682577981888,4.393821573257446,0.8469866303572593,4.401827478408814,0.8475061642857532,0.2301532510204699,0.041194258654273334,0.21919038032932453,0.04562229893928066,0.05341247365405972,0.021712010097364974,0.4261597806269825,0.02733937974509288,0.4768425589896127,0.03093630434140407,0.22923642537375447,0.029159493190476424,0.3281565158237262,0.03289568258988975,0.34801646965946864,0.036654901988472904,0.1413244495139071,0.02416709284115581
Binary Segmentation Linear,240,76,60,20.0,0.007191991806030274,0.0007301435488823426,3.6796442031860352,0.44774137514151824,3.6868361949920656,0.44797206607758533,0.22558342802165796,0.036642199513671085,0.21729830188820223,0.038571252265032836,0.05261349792261893,0.016285950208887453,0.3320747377915486,0.05510430786390469,0.3714552507030287,0.06193581364533966,0.1418346846522374,0.04098556580402708,0.2788290829066033,0.04476247133804322,0.2943767762956155,0.0489756828212961,0.09722409128742815,0.027632302349829684
Binary Segmentation Clinear,255,76,45,15.0,0.0058078765869140625,0.0003994820152526881,3.9598820209503174,0.5521210577183251,3.9656898975372314,0.5522949265638357,0.21719792763107895,0.017564209453460156,0.20503907752866227,0.019572061338543733,0.04531599109181788,0.008331797668461077,0.3539181327807367,0.027305327109678052,0.3956903182087961,0.030675861809345107,0.15800742751639354,0.02459738997019906,0.2855580302059078,0.020326924279508732,0.30036469786872916,0.022266868167885426,0.1016617093041057,0.015080072226500919
Binary Segmentation Rank,130,76,170,56.666666666666664,0.007666778564453125,0.000813250183802544,3.5059092044830322,0.5803609135978088,3.5135759830474855,0.580801644695144,0.18824662685409105,0.04318749735044256,0.17380940616787238,0.04271081218467923,0.034591857034721195,0.01294196359709818,0.13724417742653924,0.03593967343158314,0.1533244978700355,0.04068940072652717,0.02617196413994859,0.011546492309153117,0.16274540214031516,0.03549457494917661,0.16356695201895396,0.03709843263491513,0.030381910587334894,0.010252125061537158
Binary Segmentation Mahalanobis,125,76,175,58.333333333333336,0.007177877426147461,0.0012619967152721267,3.92236647605896,0.9035427300199445,3.9295443534851073,0.9043609937503201,0.22983759348979807,0.019922736332580526,0.2144696608467368,0.02377908245959852,0.04906477927153494,0.010755760625259129,0.16212013707392778,0.030840323962129153,0.1816182503675565,0.035042126800888036,0.035002489599916524,0.011991484447301894,0.1959788652818629,0.024120828916088865,0.1980439556071467,0.028584232164090635,0.042033634435725734,0.011153728929993369
