Approach,# Train,# Test,Cut,% Cut,Cut Seconds,Train Seconds,Total Seconds,Close_MAPE,Close_MAE,Close_MSE,Volume_MAPE,Volume_MAE,Volume_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Window Normal,177,125,320,64.38631790744466,0.023965835571289062,2.1978423595428467,2.2218081951141357,0.09467399555796528,0.07791063526272889,0.009251628589310189,0.6511575159749242,0.0902269466347198,0.01619212234544135,0.37291575576644476,0.08406879094872433,0.01272187546737577
Window RBF,127,125,370,74.44668008048289,0.009441137313842773,2.270564079284668,2.2800052165985107,0.08927520086543138,0.06926202808024261,0.006993676792008849,0.40287526391336936,0.10043202669153466,0.030843629942055188,0.24607523238940038,0.0848470273858886,0.01891865336703202
Window Cosine,182,125,315,63.38028169014085,0.005034923553466797,2.462372064590454,2.467406988143921,0.11406964296347337,0.03458862450010043,0.0017384813369229202,0.6456735744350379,0.021676171906125672,0.0009239533964187397,0.37987160869925574,0.02813239820311305,0.0013312173666708298
Window Linear,182,125,315,63.38028169014085,0.0070798397064208984,2.1023449897766113,2.1094248294830322,0.09854569952236274,0.03208002236797159,0.0014515323299064237,0.758626987751743,0.02633690590781426,0.0012627767123358509,0.42858634363705295,0.029208464137892923,0.0013571545211211373
Window Clinear,227,125,270,54.32595573440644,0.006257057189941406,2.291411876678467,2.297668933868408,0.22067439522997764,0.052734102086234955,0.003903667921250675,0.40903164166809913,0.016689516446140328,0.0008663185990467958,0.31485301844903835,0.03471180926618764,0.002384993260148735
Window Rank,177,125,320,64.38631790744466,0.009427070617675781,2.4766809940338135,2.4861080646514893,0.09599818088102119,0.07313012932314444,0.007608985814627401,0.559738754195396,0.07897050585839192,0.014091655352659903,0.3278684675382086,0.07605031759076819,0.010850320583643651
Window Mahalanobis,177,125,320,64.38631790744466,0.005240917205810547,2.0516228675842285,2.056863784790039,0.1313514057256573,0.11077651073778463,0.018346778026492528,0.3213442464287334,0.07329736373074476,0.018230888802710673,0.22634782607719534,0.0920369372342647,0.0182888334146016
Window AR,182,125,315,63.38028169014085,0.011090993881225586,2.2028050422668457,2.2138960361480713,0.1100323977215069,0.035493354159291814,0.001781753118506872,0.6630272781151905,0.02200868371535408,0.0009279443211470092,0.38652983791834894,0.02875101893732294,0.0013548487198269403
Window Mean,174,125,323,64.98993963782696,0.0973196029663086,2.3850739002227783,2.482393503189087,0.12473763949764526,0.10504585184807778,0.016579178788775042,0.4091263060851043,0.06781285009299122,0.014434169582882697,0.26693197279137465,0.0864293509705345,0.015506674185828871
Window Median,180,125,317,63.78269617706237,0.0973196029663086,2.5203850269317627,2.6177046298980713,0.08876205332639032,0.029237200921405127,0.001210312197015895,0.6360714530548486,0.021387961493394208,0.0009198218766371684,0.36241675319061945,0.02531258120739966,0.0010650670368265317
Binary Segmentation L1,412,125,85,17.102615694164992,0.02564406394958496,3.322885274887085,3.34852933883667,0.1986080706408576,0.047363912271982306,0.0034932142116471205,0.9809608317865524,0.03061553317458305,0.0012890870932848499,0.5897844512137047,0.03898972272328267,0.0023911506524659856
Binary Segmentation L2,452,125,45,9.054325955734406,0.01262211799621582,3.1393160820007324,3.1519381999969482,0.16073159603275294,0.03946906646358276,0.0023645927801854718,0.5998230428297396,0.02060448266285704,0.0009157605994424492,0.3802773194312463,0.030036774563219893,0.0016401766898139598
Binary Segmentation Normal,172,125,325,65.3923541247485,0.0307309627532959,2.135713815689087,2.166444778442383,0.082910986854558,0.06385078289336174,0.005916049839769197,0.4131800120310037,0.0675888038270373,0.014198109072969473,0.24804549944278093,0.06571979336019952,0.010057079456369336
Binary Segmentation RBF,402,125,95,19.114688128772634,0.023804903030395508,2.8098549842834473,2.8336598873138428,0.20202935092099497,0.048400040498336974,0.003272178622948085,0.8140364351397549,0.026097136070427112,0.0010833347252550338,0.5080328930303749,0.03724858828438204,0.0021777566741015596
Binary Segmentation Cosine,22,125,475,95.57344064386318,0.02303314208984375,1.996032953262329,2.019066095352173,0.20147097613237538,0.25991275135475067,0.09291832756542738,0.3107509987653951,0.2863521693676674,0.30055764042948585,0.2561109874488852,0.273132460361209,0.19673798399745654
Binary Segmentation Linear,342,125,155,31.18712273641851,0.010484933853149414,2.450939893722534,2.4614248275756836,0.17215479802180486,0.04089693197448223,0.0024842113628996843,0.7956555501002499,0.025610860494746868,0.0010483816357392353,0.4839051740610275,0.03325389623461453,0.00176629649931946
Binary Segmentation Clinear,337,125,160,32.19315895372233,0.009840965270996094,2.770693063735962,2.780534029006958,0.2894054986326249,0.07022512177322279,0.0064224150018293395,0.6803172781626277,0.022394943530238767,0.0009346669177441735,0.48486138839762616,0.0463100326517308,0.003678540959786756
Binary Segmentation Rank,367,125,130,26.156941649899395,0.0152740478515625,2.625892162322998,2.6411662101745605,0.2502892572990005,0.0603418993347015,0.0048905855655902546,0.5216908408709868,0.01901023459642745,0.0008979639879751527,0.3859900490849936,0.039676066965564485,0.002894274776782704
Binary Segmentation Mahalanobis,297,125,200,40.24144869215292,0.01742100715637207,2.314363718032837,2.331784725189209,0.2546750770791961,0.06248975269833688,0.004891462608889085,0.8883688439914328,0.027818109127452088,0.001149775989954985,0.5715219605353145,0.04515393091289449,0.003020619299422035
Binary Segmentation AR,317,125,180,36.21730382293762,0.01990509033203125,2.7486371994018555,2.7685422897338867,0.44786913564057707,0.11238540281343887,0.014491407443736023,0.6106832322424799,0.020769291370710267,0.0008922858408759418,0.5292761839415283,0.06657734709207457,0.007691846642305982
Binary Segmentation Mean,312,125,185,37.223340040241446,0.18876123428344727,2.585191011428833,2.7739522457122803,0.3658686672875805,0.08945296023387886,0.010093223705002949,0.5009458613073107,0.018410728188004325,0.0008689647894495321,0.4334072642974458,0.0539318442109416,0.0054810942472262435
Binary Segmentation Median,340,125,157,31.58953722334004,0.18876123428344727,3.277650833129883,3.46641206741333,0.3052075112746954,0.07486705800192665,0.006999831122407301,1.095463085869552,0.03444086642409741,0.0015218923731212678,0.7003352985721236,0.05465396221301204,0.004260861747764283
Bottom Up L1,407,125,90,18.10865191146881,0.010509014129638672,3.4329750537872314,3.44348406791687,0.21331873733976384,0.05067916558450351,0.00376393201372574,1.4660899596491384,0.044514016499806706,0.00230514548720571,0.8397043484944513,0.047596591042155106,0.0030345387504657254
Bottom Up L2,172,125,325,65.3923541247485,0.00613713264465332,2.693977117538452,2.7001142501831055,0.10080128831679906,0.07458147271009818,0.007843463520552683,0.5346217129075919,0.07574026347048611,0.013416770691318067,0.3177115006121955,0.07516086809029215,0.010630117105935373
Bottom Up Normal,172,125,325,65.3923541247485,0.012469768524169922,2.5142548084259033,2.5267245769500732,0.09385823990603624,0.07380142412537147,0.007879557086246684,0.7225066990709377,0.09646555152818692,0.01695764840743005,0.40818246948848697,0.0851334878267792,0.012418602746838366
Bottom Up RBF,357,125,140,28.169014084507044,0.010454893112182617,2.7273340225219727,2.7377889156341553,0.15288990203443326,0.036331681731989626,0.002008605057845925,0.6849164545628884,0.02266329834511686,0.0009692658037966011,0.41890317829866097,0.02949749003855324,0.0014889354308212633
Bottom Up Cosine,232,125,265,53.31991951710262,0.005106925964355469,2.3566179275512695,2.361724853515625,0.2232432206085085,0.054235109242669666,0.0038427448927851,0.35853178048982504,0.018832836495249618,0.0011666396318359205,0.2908875005491667,0.036533972868959645,0.002504692262310512
Bottom Up Linear,187,125,310,62.37424547283702,0.005416154861450195,2.49272084236145,2.4981369972229004,0.13242699543485428,0.04138204935135032,0.002384593916173516,0.9506659654896282,0.030310781565436942,0.0013562727881763778,0.5415464804622412,0.03584641545839362,0.001870433352174947
Bottom Up Clinear,297,125,200,40.24144869215292,0.004258155822753906,2.3586649894714355,2.3629231452941895,0.2544160743913895,0.06263959877530222,0.004858221266832621,0.40518265821750654,0.01680583043957007,0.0008867013662790052,0.32979936630444806,0.03972271460743616,0.0028724613165558147
Bottom Up Rank,297,125,200,40.24144869215292,0.008619070053100586,2.4278979301452637,2.4365170001983643,0.37568307092364767,0.0942595272919245,0.010247272002864623,0.3221872333242744,0.016520070234382705,0.001014963811033605,0.3489351521239612,0.05538979876315362,0.0056311179069491145
Bottom Up Mahalanobis,257,125,240,48.2897384305835,0.005068778991699219,2.7514829635620117,2.756551742553711,0.24440050738254918,0.0600588431798687,0.004496221274641727,0.5701512429817314,0.019819860035011908,0.0008636413991561367,0.4072758751821402,0.03993935160744032,0.0026799313368989323
Bottom Up AR,357,125,140,28.169014084507044,0.007857799530029297,3.0861399173736572,3.0939977169036865,0.19155295612942705,0.04538324764064824,0.0031208702219100368,0.7151372423629635,0.023276495159406985,0.0009638839659280932,0.45334509924619526,0.0343298714000276,0.0020423770939190654
Bottom Up Mean,274,125,223,44.8692152917505,0.0758976936340332,2.8718929290771484,2.9477906227111816,0.28374967964072567,0.07067103357298518,0.005932505502730191,0.4106727909260285,0.016770576442986847,0.0008736545544287477,0.34721123528337705,0.04372080500798604,0.003403080028579471
Bottom Up Median,277,125,220,44.26559356136821,0.0758976936340332,2.7576961517333984,2.8335938453674316,0.39773989174096935,0.09934059570061576,0.011515370470181845,0.7634020971365162,0.024632224817580158,0.0010300323217372384,0.5805709944387428,0.061986410259097964,0.006272701395959542
