Approach,# Train,# Test,Cut,% Cut,Cut Seconds,Train Seconds,Total Seconds,Number of Passengers_MAPE,Number of Passengers_MAE,Number of Passengers_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Binary Segmentation Cosine,9,94,365,97.59358288770053,0.01186680793762207,3.3166110515594482,3.3284778594970703,0.19519824049626266,0.1812500238245826,0.042015390272061304,0.19519824049626266,0.1812500238245826,0.042015390272061304
Binary Segmentation Linear,9,94,365,97.59358288770053,0.009167909622192383,3.2915751934051514,3.3007431030273438,0.20495630529425166,0.1904542251392237,0.046139644421219254,0.20495630529425166,0.1904542251392237,0.046139644421219254
Binary Segmentation Clinear,259,94,115,30.74866310160428,0.005777835845947266,3.760413885116577,3.7661917209625244,0.11341208577690519,0.09758804585588175,0.013941555863299718,0.11341208577690519,0.09758804585588175,0.013941555863299718
Binary Segmentation Rank,264,94,110,29.411764705882355,0.008634805679321289,4.687171936035156,4.6958067417144775,0.10544904200072878,0.08908913423992539,0.01137275421140826,0.10544904200072878,0.08908913423992539,0.01137275421140826
Binary Segmentation Mahalanobis,284,94,90,24.06417112299465,0.012312173843383789,4.469263076782227,4.48157525062561,0.10163084675114757,0.08484079280173941,0.009904150501577502,0.10163084675114757,0.08484079280173941,0.009904150501577502
Binary Segmentation AR,144,94,230,61.49732620320856,0.012367963790893555,5.618271827697754,5.6306397914886475,0.10580133037152442,0.08971023641184249,0.011753984172904488,0.10580133037152442,0.08971023641184249,0.011753984172904488
Binary Segmentation Mean,212,94,162,43.31550802139038,0.10837268829345703,3.110687017440796,3.219059705734253,0.10691676343139755,0.09016255223235281,0.011787492898150329,0.10691676343139755,0.09016255223235281,0.011787492898150329
Binary Segmentation Median,274,94,100,26.737967914438503,0.10837268829345703,4.2360358238220215,4.3444085121154785,0.10504237522873487,0.08921512818231767,0.011151323901277833,0.10504237522873487,0.08921512818231767,0.011151323901277833
Bottom Up L1,264,94,110,29.411764705882355,0.007610797882080078,5.511710166931152,5.519320964813232,0.10458017341077808,0.0883135654532166,0.011096013367120246,0.10458017341077808,0.0883135654532166,0.011096013367120246
Bottom Up L2,264,94,110,29.411764705882355,0.004483938217163086,4.676597833633423,4.681081771850586,0.1066870802248694,0.09119106839139567,0.011727601839559057,0.1066870802248694,0.09119106839139567,0.011727601839559057
Bottom Up Normal,264,94,110,29.411764705882355,0.008549928665161133,4.789994955062866,4.798544883728027,0.10335675017772615,0.08682078145172652,0.010495932046862961,0.10335675017772615,0.08682078145172652,0.010495932046862961
Bottom Up RBF,264,94,110,29.411764705882355,0.005172014236450195,5.441184997558594,5.446357011795044,0.10761262763884044,0.09126498239913422,0.012151706071622007,0.10761262763884044,0.09126498239913422,0.012151706071622007
Bottom Up Cosine,14,94,360,96.2566844919786,0.0036182403564453125,3.1195900440216064,3.1232082843780518,0.18929767869274464,0.17566230589076975,0.03958511267830449,0.18929767869274464,0.17566230589076975,0.03958511267830449
Bottom Up Linear,14,94,360,96.2566844919786,0.0037271976470947266,2.945596933364868,2.949324131011963,0.21445089041843782,0.19913505340547832,0.04998651748834437,0.21445089041843782,0.19913505340547832,0.04998651748834437
Bottom Up Clinear,239,94,135,36.096256684491976,0.0036988258361816406,4.8069188594818115,4.810617685317993,0.10415254110806155,0.0877208988213308,0.01076771439449932,0.10415254110806155,0.0877208988213308,0.01076771439449932
Bottom Up Rank,264,94,110,29.411764705882355,0.005345821380615234,5.770233154296875,5.77557897567749,0.10420596364089878,0.08767873534040124,0.011181217656595596,0.10420596364089878,0.08767873534040124,0.011181217656595596
Bottom Up Mahalanobis,264,94,110,29.411764705882355,0.0034482479095458984,4.2199647426605225,4.223412990570068,0.10577752526679983,0.08864687896938998,0.011345925133405177,0.10577752526679983,0.08864687896938998,0.011345925133405177
Bottom Up AR,84,94,290,77.54010695187165,0.006352901458740234,4.199406862258911,4.205759763717651,0.10692466674157595,0.0915387410517007,0.011962700061283487,0.10692466674157595,0.0915387410517007,0.011962700061283487
Bottom Up Mean,194,94,180,48.1283422459893,0.05200791358947754,4.151726007461548,4.203733921051025,0.1035370540707926,0.08783071302166717,0.01063630662168941,0.1035370540707926,0.08783071302166717,0.01063630662168941
Bottom Up Median,264,94,110,29.411764705882355,0.05200791358947754,4.813505172729492,4.86551308631897,0.10696842110645761,0.09086187070563137,0.011940076457962896,0.10696842110645761,0.09086187070563137,0.011940076457962896
