Approach,# Train,# Test,Cut,% Cut,Cut Seconds,Train Seconds,Total Seconds,Number of Passengers_MAPE,Number of Passengers_MAE,Number of Passengers_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Binary Segmentation L1,49,94,325,86.89839572192514,0.017745256423950195,3.366981029510498,3.3847262859344482,0.12619331583728413,0.11259802300413752,0.019412767161603207,0.12619331583728413,0.11259802300413752,0.019412767161603207
Binary Segmentation L2,49,94,325,86.89839572192514,0.007979869842529297,3.2814218997955322,3.2894017696380615,0.12327549886813308,0.1090292363608099,0.017889814851861172,0.12327549886813308,0.1090292363608099,0.017889814851861172
Binary Segmentation Normal,49,94,325,86.89839572192514,0.01394200325012207,4.270995140075684,4.284937143325806,0.1174843290183246,0.10378321625671218,0.015944770948633034,0.1174843290183246,0.10378321625671218,0.015944770948633034
Binary Segmentation RBF,49,94,325,86.89839572192514,0.012649059295654297,3.139457941055298,3.152107000350952,0.12736245657379863,0.11311728552809433,0.019694318629860284,0.12736245657379863,0.11311728552809433,0.019694318629860284
Binary Segmentation Cosine,9,94,365,97.59358288770053,0.012525081634521484,3.169358730316162,3.1818838119506836,0.18617040599181744,0.1744245240834872,0.04450557637344871,0.18617040599181744,0.1744245240834872,0.04450557637344871
Binary Segmentation Linear,9,94,365,97.59358288770053,0.007627964019775391,3.281602144241333,3.2892301082611084,0.1881374514894332,0.1763524500209644,0.045206108093229724,0.1881374514894332,0.1763524500209644,0.045206108093229724
Binary Segmentation Clinear,364,94,10,2.6737967914438503,0.0063610076904296875,3.9556548595428467,3.9620158672332764,0.1512189346038115,0.1415188770764689,0.031109472695101795,0.1512189346038115,0.1415188770764689,0.031109472695101795
Binary Segmentation Rank,59,94,315,84.22459893048129,0.007196903228759766,3.954841136932373,3.962038040161133,0.11933448308825008,0.10659107102514874,0.01717782815913997,0.11933448308825008,0.10659107102514874,0.01717782815913997
Binary Segmentation Mahalanobis,49,94,325,86.89839572192514,0.01018214225769043,3.533959150314331,3.5441412925720215,0.12261675813001989,0.10842937608386145,0.0178413073643474,0.12261675813001989,0.10842937608386145,0.0178413073643474
Binary Segmentation AR,49,94,325,86.89839572192514,0.012696027755737305,3.6013052463531494,3.6140012741088867,0.1288889128042534,0.11316565573490703,0.019305441881713577,0.1288889128042534,0.11316565573490703,0.019305441881713577
Binary Segmentation Mean,74,94,300,80.21390374331551,0.10890531539916992,3.5245509147644043,3.633456230163574,0.1219684135155233,0.10780406551388089,0.017346406578469892,0.1219684135155233,0.10780406551388089,0.017346406578469892
Binary Segmentation Median,49,94,325,86.89839572192514,0.10890531539916992,3.4715638160705566,3.5804691314697266,0.12132216398424887,0.1080594950469287,0.017709867299282905,0.12132216398424887,0.1080594950469287,0.017709867299282905
Bottom Up L1,49,94,325,86.89839572192514,0.010154008865356445,3.2134039402008057,3.223557949066162,0.12926886982858,0.11361500173739314,0.01957848441549758,0.12926886982858,0.11361500173739314,0.01957848441549758
Bottom Up L2,49,94,325,86.89839572192514,0.0046122074127197266,3.68310809135437,3.68772029876709,0.1280739391277004,0.11422955902202679,0.020084304710257257,0.1280739391277004,0.11422955902202679,0.020084304710257257
Bottom Up Normal,49,94,325,86.89839572192514,0.007153749465942383,3.8823139667510986,3.889467716217041,0.12295711339086607,0.11001162263227908,0.018669409515292727,0.12295711339086607,0.11001162263227908,0.018669409515292727
Bottom Up RBF,49,94,325,86.89839572192514,0.005270957946777344,3.5098559856414795,3.515126943588257,0.12571393033689438,0.11122594713974737,0.018831395174168812,0.12571393033689438,0.11122594713974737,0.018831395174168812
Bottom Up Cosine,14,94,360,96.2566844919786,0.0037279129028320312,3.5742878913879395,3.5780158042907715,0.1742002761750369,0.16346231847612352,0.04002661481656813,0.1742002761750369,0.16346231847612352,0.04002661481656813
Bottom Up Linear,14,94,360,96.2566844919786,0.004205226898193359,3.2114639282226562,3.2156691551208496,0.15161795844116685,0.14196957095088894,0.031206481257173468,0.15161795844116685,0.14196957095088894,0.031206481257173468
Bottom Up Clinear,329,94,45,12.032085561497325,0.003810882568359375,3.90647292137146,3.9102838039398193,0.13613081679819058,0.12674224528724745,0.025251331393912693,0.13613081679819058,0.12674224528724745,0.025251331393912693
Bottom Up Rank,49,94,325,86.89839572192514,0.006273984909057617,3.1738951206207275,3.180169105529785,0.1218126243831261,0.10632137880401482,0.017135465598029503,0.1218126243831261,0.10632137880401482,0.017135465598029503
Bottom Up Mahalanobis,49,94,325,86.89839572192514,0.0034863948822021484,3.501645088195801,3.505131483078003,0.12918719662509845,0.11568824705095429,0.020605009341873586,0.12918719662509845,0.11568824705095429,0.020605009341873586
Bottom Up AR,49,94,325,86.89839572192514,0.008750677108764648,4.566431045532227,4.575181722640991,0.1202541324882039,0.10611766785904266,0.017109523644994056,0.1202541324882039,0.10611766785904266,0.017109523644994056
Bottom Up Mean,70,94,304,81.28342245989305,0.05744600296020508,4.0510289669036865,4.108474969863892,0.11892977186521748,0.10549868988391502,0.01649013905825847,0.11892977186521748,0.10549868988391502,0.01649013905825847
Bottom Up Median,49,94,325,86.89839572192514,0.05744600296020508,3.1836600303649902,3.2411060333251953,0.1231078073866435,0.10960316309207521,0.01829547189186643,0.1231078073866435,0.10960316309207521,0.01829547189186643
