Approach,# Train,# Test,Cut,% Cut,Cut Seconds,Train Seconds,Total Seconds,V1_MAPE,V1_MAE,V1_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Binary Segmentation Normal,365,135,175,32.407407407407405,0.020805835723876953,4.708714723587036,4.729520559310913,0.04309850512134342,0.030137200912102993,0.002886839671368835,0.04309850512134342,0.030137200912102993,0.002886839671368835
Binary Segmentation RBF,365,135,175,32.407407407407405,0.03263092041015625,5.184891939163208,5.217522859573364,0.037931335452579804,0.026740250198787494,0.002305337863445153,0.037931335452579804,0.026740250198787494,0.002305337863445153
Binary Segmentation Cosine,10,135,530,98.14814814814815,0.03134799003601074,3.289254903793335,3.3206028938293457,0.041184214136547936,0.03500592216066658,0.0038400147070657186,0.041184214136547936,0.03500592216066658,0.0038400147070657186
Binary Segmentation Linear,500,135,40,7.4074074074074066,0.010653018951416016,3.51127290725708,3.521925926208496,0.04332944332207758,0.03023176581504373,0.0029009243067759987,0.04332944332207758,0.03023176581504373,0.0029009243067759987
Binary Segmentation Clinear,525,135,15,2.7777777777777777,0.008318901062011719,5.937904119491577,5.946223020553589,0.037422137166190014,0.026538549393563694,0.002279448265550725,0.037422137166190014,0.026538549393563694,0.002279448265550725
Binary Segmentation Rank,360,135,180,33.33333333333333,0.01535797119140625,3.2636709213256836,3.27902889251709,0.042158342190665214,0.030326056962207474,0.002600021960267375,0.042158342190665214,0.030326056962207474,0.002600021960267375
Binary Segmentation Mahalanobis,360,135,180,33.33333333333333,0.027487993240356445,4.4511072635650635,4.47859525680542,0.05546364816094783,0.0395786527613009,0.003680823749827131,0.05546364816094783,0.0395786527613009,0.003680823749827131
Binary Segmentation AR,365,135,175,32.407407407407405,0.02116680145263672,3.2347450256347656,3.2559118270874023,0.0418084613264568,0.029165083635014914,0.0027599150839729223,0.0418084613264568,0.029165083635014914,0.0027599150839729223
Binary Segmentation Mean,357,135,183,33.88888888888889,0.208235502243042,2.659716844558716,2.867952346801758,0.038641497986500406,0.027211331759686756,0.002465097485693441,0.038641497986500406,0.027211331759686756,0.002465097485693441
Binary Segmentation Median,363,135,177,32.77777777777778,0.208235502243042,2.872741937637329,3.080977439880371,0.042029355144981004,0.02938218098063026,0.0028377017508533246,0.042029355144981004,0.02938218098063026,0.0028377017508533246
Bottom Up L1,360,135,180,33.33333333333333,0.013431072235107422,3.3133010864257812,3.3267321586608887,0.039828489965889134,0.02784804760054568,0.002614167045671568,0.039828489965889134,0.02784804760054568,0.002614167045671568
Bottom Up L2,360,135,180,33.33333333333333,0.006697893142700195,5.2855589389801025,5.292256832122803,0.04651504980224032,0.032743907264514746,0.003060765330841594,0.04651504980224032,0.032743907264514746,0.003060765330841594
