Approach,# Train,# Test,Cut,% Cut,Avg Cut Seconds,Std Cut Seconds,Avg Train Seconds,Std Train Seconds,Avg Total Seconds,Std Total Seconds,Avg V1_MAPE,Std V1_MAPE,Avg V1_MAE,Std V1_MAE,Avg V1_MSE,Std V1_MSE,Avg Avg_MAPE,Std Avg_MAPE,Avg Avg_MAE,Std Avg_MAE,Avg Avg_MSE,Std Avg_MSE
Binary Segmentation Cosine,131,57,95,42.0353982300885,0.003718280792236328,0.00032621171099749696,3.5113070011138916,0.10571882504684567,3.515025281906128,0.10600767735817426,5.397734579822657,0.06755970399670781,0.17646392833091126,0.0005154057824730497,0.04944454864105499,0.0002999915111406463,5.397734579822657,0.06755970399670781,0.17646392833091126,0.0005154057824730497,0.04944454864105499,0.0002999915111406463
Binary Segmentation Linear,201,57,25,11.061946902654867,0.00439605712890625,0.0001945617294479397,3.4150182723999025,0.20706972369099508,3.4194143295288084,0.20692599629223157,4.977899759490066,0.19347655851054577,0.1804403111748304,0.0023568623499917486,0.05188624462990342,0.0012158165396227382,4.977899759490066,0.19347655851054577,0.1804403111748304,0.0023568623499917486,0.05188624462990342,0.0012158165396227382
Binary Segmentation Clinear,216,57,10,4.424778761061947,0.0037147998809814453,0.0006014377197644465,3.4948187828063966,0.22361669895495562,3.498533582687378,0.22420440705042288,4.8065330575777185,0.16066247160472574,0.18273798147960563,0.002929861779882801,0.05328175355106856,0.0017624922852876978,4.8065330575777185,0.16066247160472574,0.18273798147960563,0.002929861779882801,0.05328175355106856,0.0017624922852876978
Binary Segmentation Rank,131,57,95,42.0353982300885,0.004990100860595703,0.0004867819927616568,3.472843360900879,0.18260630265385022,3.477833461761475,0.18252177997419697,5.45404992591893,0.0871992201689308,0.1771114236476615,0.00034461891313836086,0.04961710636195178,0.00014645178045033614,5.45404992591893,0.0871992201689308,0.1771114236476615,0.00034461891313836086,0.04961710636195178,0.00014645178045033614
Binary Segmentation Mahalanobis,131,57,95,42.0353982300885,0.0035044193267822266,0.0003443255696531956,3.486214828491211,0.14317919084884503,3.4897192478179933,0.14287506003931297,5.4677862982751435,0.05371933920514245,0.17682982589665902,0.001222012449794291,0.04942305525647224,0.000532069716240418,5.4677862982751435,0.05371933920514245,0.17682982589665902,0.001222012449794291,0.04942305525647224,0.000532069716240418
Binary Segmentation AR,131,57,95,42.0353982300885,0.007429838180541992,0.00038318230980262434,3.5364185333251954,0.12746577637181572,3.5438483715057374,0.1272360414038168,5.418722119038386,0.08569037668914915,0.17679352446749402,0.0012271692977481226,0.049571766993401906,0.00039881847871368393,5.418722119038386,0.08569037668914915,0.17679352446749402,0.0012271692977481226,0.049571766993401906,0.00039881847871368393
Binary Segmentation Mean,147,57,79,34.95575221238938,0.05373072624206543,0.0020973071780763315,3.004939413070679,0.05159913779924408,3.0586701393127442,0.05186276389547849,5.503398119499576,0.05424862592718896,0.17701674737397685,0.0015425770780994,0.04943651682657079,0.000619664779575817,5.503398119499576,0.05424862592718896,0.17701674737397685,0.0015425770780994,0.04943651682657079,0.000619664779575817
Binary Segmentation Median,131,57,95,42.0353982300885,0.05373072624206543,0.0020973071780763315,3.657171106338501,0.257777814687501,3.7109018325805665,0.25950618169004547,5.412890376097615,0.08273458486962985,0.1769599016444459,0.0011449438450853004,0.049602347102911705,0.0005262295257301293,5.412890376097615,0.08273458486962985,0.1769599016444459,0.0011449438450853004,0.049602347102911705,0.0005262295257301293
Bottom Up L1,141,57,85,37.610619469026545,0.003895854949951172,0.0005313904237845349,3.7049511909484862,0.2688145100350648,3.7088470458984375,0.2688068391519003,5.597435679314671,0.06953125600587721,0.17504640003232577,0.0015646661692114204,0.048649838069827166,0.0005767324834285428,5.597435679314671,0.06953125600587721,0.17504640003232577,0.0015646661692114204,0.048649838069827166,0.0005767324834285428
Bottom Up L2,126,57,100,44.24778761061947,0.0022069931030273436,0.00016218505112284223,3.4332078456878663,0.2571319862504761,3.4354148387908934,0.25721103640741166,5.506427673873451,0.11605150711013243,0.17657307611032386,0.0007024730530066301,0.04930651123312504,0.00041300160695066716,5.506427673873451,0.11605150711013243,0.17657307611032386,0.0007024730530066301,0.04930651123312504,0.00041300160695066716
