Approach,# Train,# Test,Cut,% Cut,Avg Cut Seconds,Std Cut Seconds,Avg Train Seconds,Std Train Seconds,Avg Total Seconds,Std Total Seconds,Avg Exchange rate_MAPE,Std Exchange rate_MAPE,Avg Exchange rate_MAE,Std Exchange rate_MAE,Avg Exchange rate_MSE,Std Exchange rate_MSE,Avg Avg_MAPE,Std Avg_MAPE,Avg Avg_MAE,Std Avg_MAE,Avg Avg_MSE,Std Avg_MSE
Binary Segmentation RBF,77,50,120,60.913705583756354,0.0036852359771728516,0.0003835097170651139,2.258241653442383,0.1861752874688159,2.2619268894195557,0.1865139166814065,0.055056277858801295,0.004760978539861795,0.05638217773166486,0.004907040158137617,0.004650009099228167,0.0007242961209198162,0.055056277858801295,0.004760978539861795,0.05638217773166486,0.004907040158137617,0.004650009099228167,0.0007242961209198162
Binary Segmentation Cosine,12,50,185,93.90862944162437,0.0034356117248535156,0.00032153381855538,3.0485062122344972,0.24826613365235445,3.0519418239593508,0.2483297587030408,0.07628048794439891,0.00940012490841462,0.07926657781432095,0.00973187496559921,0.00845511668542016,0.0019284509880502553,0.07628048794439891,0.00940012490841462,0.07926657781432095,0.00973187496559921,0.00845511668542016,0.0019284509880502553
Binary Segmentation Linear,152,50,45,22.84263959390863,0.0040781497955322266,0.0004229231766860126,3.1589903831481934,0.49969200854152546,3.1630685329437256,0.4994637591336096,0.055833577776178527,0.02559024199956692,0.030304977461425305,0.014058451862440037,0.0014392621792432476,0.0013151134628171107,0.055833577776178527,0.02559024199956692,0.030304977461425305,0.014058451862440037,0.0014392621792432476,0.0013151134628171107
Binary Segmentation Clinear,107,50,90,45.68527918781726,0.0034400463104248048,0.001045755576636184,3.130059337615967,0.4869741031862988,3.1334993839263916,0.4869338675603878,0.04396256773882824,0.005200785849267809,0.0241447492679944,0.0029905294696197997,0.0008766482862807148,0.00022128263303064708,0.04396256773882824,0.005200785849267809,0.0241447492679944,0.0029905294696197997,0.0008766482862807148,0.00022128263303064708
Binary Segmentation Rank,82,50,115,58.37563451776649,0.004436397552490234,0.00019797204115719298,2.5016167640686033,0.25540828112306185,2.506053161621094,0.25534430380303025,0.05946120399295985,0.0066430465318416025,0.044410941917992414,0.004959844340562726,0.002832158966145952,0.0005412617981187075,0.05946120399295985,0.0066430465318416025,0.044410941917992414,0.004959844340562726,0.002832158966145952,0.0005412617981187075
Binary Segmentation Mahalanobis,82,50,115,58.37563451776649,0.003351783752441406,0.000664332495343794,2.3744035243988035,0.26383689328410287,2.377755308151245,0.2642727530381191,0.05556294027670518,0.00140154808586606,0.04160749158511797,0.0011053442802082924,0.0025460742060789197,0.00014573977910062045,0.05556294027670518,0.00140154808586606,0.04160749158511797,0.0011053442802082924,0.0025460742060789197,0.00014573977910062045
Binary Segmentation AR,82,50,115,58.37563451776649,0.007213592529296875,0.00045651757366608017,2.296712636947632,0.16545251962333343,2.3039262294769287,0.1655475176805233,0.05723821066987704,0.006881295538751323,0.04277211029392515,0.00512409344632831,0.0026388178606908466,0.0005580214583363574,0.05723821066987704,0.006881295538751323,0.04277211029392515,0.00512409344632831,0.0026388178606908466,0.0005580214583363574
Binary Segmentation Mean,84,50,113,57.360406091370564,0.050247478485107425,0.0032725967353229657,2.7348443984985353,0.29285215283717053,2.7850918769836426,0.2922181547705293,0.04979736966831567,0.007516809492013071,0.035702028546592365,0.005589666260642237,0.0019162548968474742,0.0005447113466449439,0.04979736966831567,0.007516809492013071,0.035702028546592365,0.005589666260642237,0.0019162548968474742,0.0005447113466449439
Binary Segmentation Median,82,50,115,58.37563451776649,0.050247478485107425,0.0032725967353229657,2.371168613433838,0.15598346174167174,2.421416091918945,0.15550781529303528,0.05759157566120105,0.005201174794392054,0.04294999631246321,0.0037985749217217053,0.002638251944502581,0.00037123114789151904,0.05759157566120105,0.005201174794392054,0.04294999631246321,0.0037985749217217053,0.002638251944502581,0.00037123114789151904
Bottom Up L1,87,50,110,55.83756345177665,0.0035977840423583986,0.00026903787804531844,2.33010048866272,0.23660572610249897,2.333698272705078,0.23663419498567553,0.054909135715755814,0.007196772826642896,0.03651700005629393,0.0048941953295557235,0.0020187802998078313,0.0005571289980131192,0.054909135715755814,0.007196772826642896,0.03651700005629393,0.0048941953295557235,0.0020187802998078313,0.0005571289980131192
