Approach,# Train,# Test,Cut,% Cut,Avg Cut Seconds,Std Cut Seconds,Avg Train Seconds,Std Train Seconds,Avg Total Seconds,Std Total Seconds,Avg Number of Passengers_MAPE,Std Number of Passengers_MAPE,Avg Number of Passengers_MAE,Std Number of Passengers_MAE,Avg Number of Passengers_MSE,Std Number of Passengers_MSE,Avg Avg_MAPE,Std Avg_MAPE,Avg Avg_MAE,Std Avg_MAE,Avg Avg_MSE,Std Avg_MSE
Window L2,54,94,320,85.56149732620321,0.004696559906005859,0.00013525189909710956,3.6858074188232424,0.6192139725865837,3.690503978729248,0.6190890707852142,0.12389022738213404,0.008608931326156694,0.10872740175008852,0.006874542490385103,0.017735513170478407,0.0022714426787826627,0.12389022738213404,0.008608931326156694,0.10872740175008852,0.006874542490385103,0.017735513170478407,0.0022714426787826627
Window Normal,54,94,320,85.56149732620321,0.008577966690063476,0.000597431471494295,3.3196276664733886,0.26578998002947685,3.328205633163452,0.2655142768084468,0.12503666651594944,0.004899358483348216,0.10940701829141339,0.0033763468585465404,0.018067102851470826,0.0011940184648921348,0.12503666651594944,0.004899358483348216,0.10940701829141339,0.0033763468585465404,0.018067102851470826,0.0011940184648921348
Window RBF,54,94,320,85.56149732620321,0.005333375930786133,0.0007504874842107504,3.5037413120269774,0.5613707850330082,3.5090746879577637,0.5611949512556391,0.11886847165501849,0.0034691668150940336,0.10458376517253483,0.003115832772307883,0.016243475383384692,0.001212313456905055,0.11886847165501849,0.0034691668150940336,0.10458376517253483,0.003115832772307883,0.016243475383384692,0.001212313456905055
Window Cosine,0,94,374,100.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Window Linear,0,94,374,100.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Window Clinear,64,94,310,82.88770053475936,0.004233026504516601,0.00014667264117158775,3.0529426097869874,0.09117743713307247,3.057175636291504,0.0912732617287003,0.12604339560376818,0.00345505987255283,0.11113212534391481,0.002569278694087895,0.01870770054628192,0.0009796355234230766,0.12604339560376818,0.00345505987255283,0.11113212534391481,0.002569278694087895,0.01870770054628192,0.0009796355234230766
Window Rank,54,94,320,85.56149732620321,0.005388593673706055,0.0005596687513794475,3.424611949920654,0.3473655301791537,3.4300005435943604,0.3477719999825404,0.12164848696871317,0.005293734283370796,0.10709606518126556,0.005245901319200788,0.017223134892335495,0.0021517008892881387,0.12164848696871317,0.005293734283370796,0.10709606518126556,0.005245901319200788,0.017223134892335495,0.0021517008892881387
Window Mahalanobis,54,94,320,85.56149732620321,0.0035679817199707033,0.0002538051386527464,3.34289493560791,0.22342259439089085,3.346462917327881,0.22357679042384607,0.12357582591669813,0.002473511573274181,0.10832781605648105,0.0033039833304593187,0.017627452489050004,0.0013972704829688556,0.12357582591669813,0.002473511573274181,0.10832781605648105,0.0033039833304593187,0.017627452489050004,0.0013972704829688556
Window AR,59,94,315,84.22459893048129,0.0075165748596191405,0.0003910974071170862,3.1389849185943604,0.14903078798799246,3.1465014934539797,0.14869890469194916,0.1244420160074013,0.002536232187188493,0.10901731669851136,0.002620413385985382,0.017612665649554604,0.0013690754043171056,0.1244420160074013,0.002536232187188493,0.10901731669851136,0.002620413385985382,0.017612665649554604,0.0013690754043171056
Window Mean,45,94,329,87.96791443850267,0.04867167472839355,0.0024035109897144096,5.784894561767578,1.542233012096734,5.8335662364959715,1.5426293013410661,0.11758677625062586,0.007570378310468657,0.10517261803143158,0.0064484381194220486,0.016920358779691322,0.002145175837668322,0.11758677625062586,0.007570378310468657,0.10517261803143158,0.0064484381194220486,0.016920358779691322,0.002145175837668322
Window Median,54,94,320,85.56149732620321,0.04867167472839355,0.0024035109897144096,3.7439536571502687,0.31505797356264775,3.792625331878662,0.31528008265214674,0.12406397182191123,0.004437985832550217,0.10863553939715989,0.003624104376976947,0.017736167122584894,0.0014382395590793384,0.12406397182191123,0.004437985832550217,0.10863553939715989,0.003624104376976947,0.017736167122584894,0.0014382395590793384
Binary Segmentation L1,49,94,325,86.89839572192514,0.016263389587402345,0.001967969730033052,3.5901495933532717,0.1984819304989139,3.606412982940674,0.19869184936608647,0.1235638117800642,0.0022512829718931058,0.10941409924630698,0.002349051912945424,0.018238124119227303,0.0008423338138075344,0.1235638117800642,0.0022512829718931058,0.10941409924630698,0.002349051912945424,0.018238124119227303,0.0008423338138075344
Binary Segmentation L2,49,94,325,86.89839572192514,0.007807159423828125,0.0003167157555799652,3.6726661682128907,0.4343993616369709,3.6804733276367188,0.43446440720746626,0.12221439242428318,0.0035685973505733787,0.10753509438410706,0.0025671336533464183,0.01731136455669109,0.0009107630016867891,0.12221439242428318,0.0035685973505733787,0.10753509438410706,0.0025671336533464183,0.01731136455669109,0.0009107630016867891
Binary Segmentation Normal,49,94,325,86.89839572192514,0.014460515975952149,0.0011253532639643104,3.9887668609619142,0.36270409640292356,4.003227376937867,0.362116148759471,0.12275851803106066,0.00448605078126451,0.10839495935246979,0.004443707827342193,0.017759526617450658,0.0017166558547169683,0.12275851803106066,0.00448605078126451,0.10839495935246979,0.004443707827342193,0.017759526617450658,0.0017166558547169683
Binary Segmentation RBF,49,94,325,86.89839572192514,0.013749456405639649,0.0015982136136105613,3.6137491703033446,0.34481473991661016,3.6274986267089844,0.3457186999859829,0.12251615384011078,0.002999804112782603,0.10810640211807272,0.0030051482824351447,0.01767550927942043,0.0012152555115502557,0.12251615384011078,0.002999804112782603,0.10810640211807272,0.0030051482824351447,0.01767550927942043,0.0012152555115502557
