Approach,# Train,# Test,Cut,% Cut,Avg Cut Seconds,Std Cut Seconds,Avg Train Seconds,Std Train Seconds,Avg Total Seconds,Std Total Seconds,Avg x_MAPE,Std x_MAPE,Avg x_MAE,Std x_MAE,Avg x_MSE,Std x_MSE,Avg y_MAPE,Std y_MAPE,Avg y_MAE,Std y_MAE,Avg y_MSE,Std y_MSE,Avg sin(theta)_MAPE,Std sin(theta)_MAPE,Avg sin(theta)_MAE,Std sin(theta)_MAE,Avg sin(theta)_MSE,Std sin(theta)_MSE,Avg cos(theta)_MAPE,Std cos(theta)_MAPE,Avg cos(theta)_MAE,Std cos(theta)_MAE,Avg cos(theta)_MSE,Std cos(theta)_MSE,Avg Avg_MAPE,Std Avg_MAPE,Avg Avg_MAE,Std Avg_MAE,Avg Avg_MSE,Std Avg_MSE
Window Normal,92,122,395,81.1088295687885,0.017678356170654295,0.003640299954468801,2.7496535778045654,0.20793951192643767,2.76733193397522,0.21038348117116584,0.06587087515921124,0.034652536650651725,0.06119827685675675,0.032333864349106,0.007073447305653486,0.0067800141483386105,0.10341398553558523,0.07004059734470187,0.09117236052500345,0.06289878626688729,0.018651925992450545,0.02641232166051156,0.9842237114062622,0.0645244572740308,0.49572439099576493,0.04152644721033388,0.32084852720248946,0.05913771800221656,0.7575084755491476,0.04656779217768021,0.5219509189488974,0.025555475790993317,0.35683120890158704,0.04567892991516421,0.47775426191255155,0.05140943044619648,0.29251148683160577,0.03965396722136299,0.1758512773505451,0.03355278400067504
Window RBF,317,122,170,34.90759753593429,0.009157419204711914,0.004005623387839668,3.713666009902954,0.4826013162056096,3.722823429107666,0.48135223981701447,0.052180845898579936,0.007186221276522402,0.049505106403873914,0.006862352803055891,0.003908718990634301,0.0008915698649477193,0.05653493443695253,0.011381381352069947,0.045857082613944104,0.009123427963800057,0.0031893923284848965,0.0011580745315913116,0.9085935558726355,0.03216184998185736,0.4590088549163361,0.00688191019585189,0.27792271522154965,0.006542346004304431,0.6909802506307333,0.030253717646766622,0.480360844175476,0.01877175992554479,0.31721804129070724,0.023696231206939693,0.42707239670972535,0.01201635897404344,0.2586829720274076,0.003927033616779713,0.15055971695784404,0.005533785183517878
Window Cosine,317,122,170,34.90759753593429,0.005207252502441406,0.0012362622279579133,3.445374059677124,0.31408286837857313,3.4505813121795654,0.31462716708423094,0.05291098577661151,0.00606604004017081,0.050203287299769174,0.005855322603512994,0.00395162302793047,0.0010449017545087523,0.05740429681666149,0.00816972382120548,0.04744992341731579,0.007077282261802442,0.0031226702812458605,0.0009363326735995342,0.8507247613930863,0.08600925819388532,0.448060057554336,0.01627874077242979,0.26145333785480906,0.02419074469478505,0.6846718603942438,0.021559324178775666,0.470960720381544,0.015870873689990714,0.30364157853908497,0.019917511732028912,0.4114279760951508,0.019888332696491283,0.2541684971632413,0.0032729294308940157,0.1430423024257676,0.007007446863272185
Window Linear,172,122,315,64.68172484599589,0.008441019058227538,0.0005506852299132358,3.0918739795684815,0.3040689805380437,3.100314998626709,0.3042321277245607,0.07019125325645062,0.0581852284690764,0.06492656306750416,0.052627357622414196,0.008578339667047349,0.012960619451434787,0.0704033081151009,0.021236507107503022,0.0615136909269313,0.018700926807826125,0.005456228155070719,0.003242625873264292,0.8772920196035563,0.0460201924402788,0.4511479608475331,0.022316453065973362,0.2647625582128935,0.024550967091108447,0.7449387934447955,0.07013917192056122,0.5149477766127302,0.05236303394758451,0.34260723447370867,0.07483074129195753,0.44070634360497585,0.04789633930615509,0.27313399786367476,0.03444576739771749,0.15535109012718004,0.02761305718482517
Window Clinear,342,122,145,29.774127310061605,0.006221485137939453,0.0004747772246967955,4.577849388122559,1.0995375673757577,4.584070873260498,1.0995218407573866,0.05477156773945698,0.00865600052826386,0.051854757993446965,0.008356143204105363,0.003841103072514489,0.0011306991737164642,0.06726460227412112,0.011684962204193903,0.051436454232356994,0.008694482923563996,0.00391883835442248,0.0013797450236194824,0.8713075903211763,0.052550303077921176,0.437018806988171,0.012346187319350247,0.25410696776586233,0.015281364310058125,0.676245675237559,0.012883434411836116,0.45964253725319315,0.012386574360444493,0.3076745212325592,0.008222280057572546,0.41739735889307833,0.0168277224744955,0.2499881391167921,0.006726467213750554,0.14238535760633964,0.005051802148711561
Window Rank,312,122,175,35.93429158110883,0.008029985427856445,0.0023471421679783864,3.6129658699035643,0.3581210292757244,3.620995855331421,0.3576680415185681,0.05170609304243077,0.007959972888108503,0.049117875540297534,0.00783851734922643,0.003966441714619358,0.0012465374668830815,0.04735371468502957,0.009946068019283527,0.03911466768714257,0.008179941264743347,0.002206957724506596,0.0008971872106217904,0.8584216219792092,0.03298451066493425,0.4553528239161391,0.00753324065412091,0.26798053331642946,0.008851642258468708,0.6748299644190897,0.02724216952827376,0.46870842705728094,0.024279520302562814,0.30065419251874076,0.02415837311688946,0.40807784853143975,0.01747297868208303,0.25307344855021513,0.008355310942701238,0.143702031318574,0.006814274425656728
Window Mahalanobis,312,122,175,35.93429158110883,0.005350780487060547,0.00046919838674991464,3.609476900100708,0.22649683017724087,3.6148276805877684,0.2261981103252814,0.04490414582054575,0.011263750204838116,0.04237212004336562,0.0109542885845672,0.003006975502538094,0.001425716344724383,0.04799739015797618,0.007437493495078831,0.039517395114506866,0.0060137010639374966,0.0022863558089806697,0.000688348485286579,0.8462974367879796,0.04257640786265741,0.45042303072344836,0.009346876840651637,0.26380143700958053,0.01062786863826073,0.6783817053023585,0.02557237057579717,0.470994858889872,0.017412277260290935,0.31410325908924047,0.028380647800807325,0.404395169517215,0.010064205548128796,0.2508268511927983,0.003396067308491276,0.14579950685258497,0.005630929082165071
Window AR,162,122,325,66.73511293634496,0.010196781158447266,0.0005739652992539498,3.0814702033996584,0.5185042039886478,3.0916669845581053,0.5187924636489603,0.05904472439550972,0.0209003877272144,0.05501628220432803,0.01951637536719964,0.005118806576307712,0.003737565134159146,0.06416035444056344,0.01892890880730817,0.056228991940763855,0.016157783655095476,0.004744846532114112,0.0031133706669520356,0.8507083601712939,0.06993429279581369,0.46961586744596456,0.03735006063023545,0.2841336597873029,0.044470229075332934,0.8029332062585106,0.050500994222611645,0.5520612792852099,0.035922687491821426,0.3763187277738541,0.04869213803462301,0.44421166131646944,0.03570107333532475,0.2832306052190667,0.025173522053856836,0.1675790101673947,0.02338359928950884
Window Mean,259,122,228,46.81724845995893,0.09412641525268554,0.01295892866272168,3.867412233352661,0.4940541169631057,3.9615386486053468,0.4975768646744152,0.04023782505182187,0.005896942252636846,0.03763825643890693,0.005585408532132103,0.0021689472870232212,0.0005521730765490414,0.05483030495675975,0.016111218626388084,0.04568784665760667,0.01289650783503696,0.0030736980296167536,0.0017997112922599424,0.8636080417289652,0.05609439341418753,0.4564252759241505,0.010465856533536003,0.27078168157542976,0.015321353771230258,0.6891238784147009,0.025475515087087494,0.4741761091894226,0.02697174304417571,0.31905259261951485,0.03345635137539097,0.41195001253806196,0.02084155456098609,0.25348187205252176,0.010242662432385115,0.14876922987789618,0.010960562664459501
Window Median,312,122,175,35.93429158110883,0.09412641525268554,0.01295892866272168,3.6999119758605956,0.46713949497785867,3.7940383911132813,0.47371432998249835,0.04093543279675877,0.012735425262816062,0.03864454585268602,0.012471556786315743,0.0025022280327582015,0.0016147142187587357,0.05851227678730903,0.010878139264976643,0.0480533174949132,0.0086942546440055,0.0034586678758040607,0.0013363147295661789,0.8350591846272104,0.03986591911225913,0.45188746245463485,0.01396781162408008,0.26375997788234135,0.015821277069278463,0.6875041980504395,0.034201087969847443,0.47027715001903425,0.025447301181698266,0.3093024015500049,0.02196676856681914,0.4055027730654294,0.008752384195617458,0.2522156189553172,0.006945685770329677,0.14475581883522712,0.0057993212396248925
Binary Segmentation L1,312,122,175,35.93429158110883,0.02372579574584961,0.0033865233736975224,3.4450275897979736,0.43922903965176796,3.468753385543823,0.4407642302232892,0.05393190691213005,0.006887391166329186,0.051002367699114086,0.006643193081119671,0.0042261777933677025,0.0008393890569786648,0.05619442600996958,0.006304067146970219,0.04658551730189533,0.0047397443752031755,0.003196884893244063,0.0007128607225033457,0.904830047486144,0.06929886881234136,0.45317161388061683,0.021772683319370614,0.2715203460367424,0.026457023523928563,0.674280942422328,0.01647899341766666,0.46978521006335755,0.010626956257253257,0.3054892257003286,0.009518484924279366,0.42230933070764287,0.017528400603224633,0.255136177236246,0.007455405879832066,0.1461081586059207,0.008272948334786631
Binary Segmentation L2,257,122,230,47.227926078028744,0.010506582260131837,0.0009447672218219446,3.380163049697876,0.34246493689726887,3.3906696319580076,0.3427339841829533,0.04601564255940535,0.013012964819220969,0.043166914892695,0.012151526077797495,0.0029137327388706682,0.001286128151265616,0.05775023612989478,0.012383721213749298,0.04810256714541638,0.010232593873347028,0.0032448254241283867,0.0012591928696493245,0.8586003035296437,0.058309169626204735,0.4500972801470029,0.024160784230965942,0.2628748352820851,0.027912880893903976,0.682112019708964,0.01073415105242216,0.4640088027315334,0.01612374141723318,0.30739085024878815,0.022722656062175786,0.4111195504819769,0.018098381976679692,0.251343891229162,0.007149309576534447,0.1441060609234681,0.009631138338674905
Binary Segmentation Normal,97,122,390,80.08213552361396,0.027451705932617188,0.0031068079387003024,2.9164820194244383,0.18962237699545884,2.9439337253570557,0.18963889304959206,0.03714741185434196,0.0043899674887802045,0.033931476248309896,0.003955653481729856,0.0016706727713087467,0.00038247724033763623,0.051114187991224795,0.006106227190424083,0.045087778524186196,0.0053776444182171085,0.0030539331607496796,0.0007125934783442632,0.9856235147364785,0.03937847073864549,0.4769956865988801,0.014037979596970467,0.2989427812063106,0.017399549180251574,0.7359489773848531,0.02835379375963668,0.5009967769056746,0.01928413190146729,0.3256243628394093,0.022426518793423205,0.4524585229917246,0.012929299925050678,0.26425292956926283,0.008094736162093837,0.15732293749444456,0.008928259458111425
Binary Segmentation RBF,257,122,230,47.227926078028744,0.019471359252929688,0.002913593650376266,3.6729148387908936,0.24545670727126423,3.692386198043823,0.24413413438091217,0.04271362606205827,0.007469653599667632,0.039613357822293305,0.006983451141428561,0.0023329440002789674,0.000922799859388364,0.052919385173165634,0.005135422396531233,0.0444673762753893,0.0034079101013867706,0.002796660650744745,0.0005441155929939666,0.8898174497521341,0.04388891266592723,0.4360599817533746,0.023673307287681064,0.2516764017815507,0.024181752652599597,0.6836941870881502,0.007981231144160595,0.4675806501796083,0.007389441164430839,0.3082302594385635,0.00973607538803341,0.417286162018877,0.011541240109066177,0.24693034150766646,0.00813973728445458,0.14125906646778447,0.006814731726208783
Binary Segmentation Cosine,312,122,175,35.93429158110883,0.01629018783569336,0.0011759707420247482,3.8573286056518556,0.6127056757863676,3.873618793487549,0.612508544178185,0.05961028325828667,0.015013870345777515,0.056543050903351384,0.014452321887419132,0.005061972221296869,0.002932822942125272,0.049173098110703806,0.012995849520206685,0.0407268031366521,0.009896257697358343,0.002455715234072706,0.0013447987305926512,0.8071907585417056,0.05454640001489914,0.4448864445083196,0.013914455012300118,0.2536841479555456,0.01736000211224798,0.6817248494217295,0.021917881196859418,0.46820662385193623,0.014594698911391656,0.2997721008617499,0.01750461599822146,0.39942474733310646,0.018550012178542026,0.2525907306000649,0.00810399111186008,0.14024348406816628,0.005616926075621987
Binary Segmentation Linear,312,122,175,35.93429158110883,0.013376903533935548,0.0012083980835967075,3.9220715522766114,0.5967556481278633,3.9354484558105467,0.5958656347772127,0.04808135884477484,0.0098826629380072,0.04542690648281396,0.00937120110822212,0.003318292484745347,0.0013688044711807534,0.05417282742462427,0.00912749262183979,0.0445965220381877,0.00702862063241482,0.002922487744802538,0.0009088804059125386,0.8696214787388339,0.0541899260839415,0.4489596385704408,0.009298916873276917,0.2653976279271998,0.011487504419843106,0.6935878136204436,0.027167396832698924,0.4796458193278551,0.019168587559906296,0.3119440961041935,0.0217076689283449,0.41636586965716915,0.015356187684695167,0.25465722160482446,0.004321874485948973,0.1458956260652353,0.007663426091969896
Binary Segmentation Clinear,407,122,80,16.427104722792606,0.008704233169555663,0.0006881787480512495,3.640351486206055,0.22757100385134757,3.6490557193756104,0.22818317898351295,0.07638623787491294,0.021167013256821382,0.07216945695800069,0.019856939657339718,0.007340952795797384,0.003683620797722298,0.08661191992217156,0.01822976821284828,0.06575164890597099,0.013826125051663647,0.005984127602991939,0.0025187643747747466,0.9343903135064291,0.068569166960635,0.45779024162126053,0.01180485545106929,0.28338598157155653,0.013229538089061898,0.6857735116948585,0.029018695350999112,0.46910900120370164,0.018332781154771927,0.30183756194589373,0.014933112510233973,0.445790495749593,0.02132856063142573,0.26620508717223357,0.004896395485037805,0.14963715597905988,0.004837714622823883
