Approach,# Train,# Test,Cut,% Cut,Cut Seconds,Train Seconds,Total Seconds,Amount_MAPE,Amount_MAE,Amount_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Binary Segmentation Mean,384,117,80,17.24137931034483,0.1798536777496338,5.966005086898804,6.1458587646484375,0.029748024392295052,0.026892008154746055,0.0014929727718098853,0.029748024392295052,0.026892008154746055,0.0014929727718098853
Binary Segmentation Median,444,117,20,4.310344827586207,0.1798536777496338,17.63923192024231,17.819085597991943,0.018392414569505182,0.01680709499682515,0.0008438106412977208,0.018392414569505182,0.01680709499682515,0.0008438106412977208
Bottom Up L1,149,117,315,67.88793103448276,0.006821155548095703,2.9968650341033936,3.0036861896514893,0.032821829155401834,0.029445459496379875,0.0014839897024599086,0.032821829155401834,0.029445459496379875,0.0014839897024599086
Bottom Up L2,149,117,315,67.88793103448276,0.004294872283935547,3.8554861545562744,3.85978102684021,0.03182239691268671,0.028491902763681954,0.0013392737458592472,0.03182239691268671,0.028491902763681954,0.0013392737458592472
Bottom Up Normal,454,117,10,2.1551724137931036,0.006738901138305664,8.792869091033936,8.799607992172241,0.027689010366751626,0.025001319606651366,0.0012832428222923256,0.027689010366751626,0.025001319606651366,0.0012832428222923256
Bottom Up RBF,149,117,315,67.88793103448276,0.005301713943481445,3.511535882949829,3.5168375968933105,0.0315389732868074,0.02833932872568518,0.0014111627444295099,0.0315389732868074,0.02833932872568518,0.0014111627444295099
Bottom Up Cosine,14,117,450,96.98275862068965,0.004672050476074219,2.7694761753082275,2.7741482257843018,0.042677388348080963,0.04254859605600509,0.0022113774977185518,0.042677388348080963,0.04254859605600509,0.0022113774977185518
Bottom Up Linear,364,117,100,21.551724137931032,0.0041201114654541016,8.047374963760376,8.05149507522583,0.028517300848882158,0.025699909949935016,0.0012927244861535984,0.028517300848882158,0.025699909949935016,0.0012927244861535984
Bottom Up Clinear,104,117,360,77.58620689655173,0.003854036331176758,3.58158802986145,3.585442066192627,0.033715385594534915,0.031215953960946403,0.0016347080805809938,0.033715385594534915,0.031215953960946403,0.0016347080805809938
Bottom Up Rank,234,117,230,49.56896551724138,0.007097959518432617,5.258347988128662,5.265445947647095,0.025739350258111048,0.023522543551013856,0.001473821162632682,0.025739350258111048,0.023522543551013856,0.001473821162632682
Bottom Up Mahalanobis,149,117,315,67.88793103448276,0.003072977066040039,3.188109874725342,3.191182851791382,0.030516828597834552,0.02747303921806107,0.001422003429764916,0.030516828597834552,0.02747303921806107,0.001422003429764916
Bottom Up AR,324,117,140,30.17241379310345,0.006025075912475586,3.3829269409179688,3.3889520168304443,0.027404560866261144,0.02478270331612541,0.0012888043714580349,0.027404560866261144,0.02478270331612541,0.0012888043714580349
Bottom Up Mean,209,117,255,54.956896551724135,0.05199885368347168,3.2926321029663086,3.3446309566497803,0.03144127311603984,0.028262383428353077,0.001465873337274688,0.03144127311603984,0.028262383428353077,0.001465873337274688
Bottom Up Median,149,117,315,67.88793103448276,0.05199885368347168,3.36552095413208,3.4175198078155518,0.031957373644847575,0.028720114624413984,0.0014554722076310896,0.031957373644847575,0.028720114624413984,0.0014554722076310896
