Approach,# Train,# Test,Cut,% Cut,Avg Cut Seconds,Std Cut Seconds,Avg Train Seconds,Std Train Seconds,Avg Total Seconds,Std Total Seconds,Avg Population_MAPE,Std Population_MAPE,Avg Population_MAE,Std Population_MAE,Avg Population_MSE,Std Population_MSE,Avg Avg_MAPE,Std Avg_MAPE,Avg Avg_MAE,Std Avg_MAE,Avg Avg_MSE,Std Avg_MSE
Window Linear,427,164,225,34.50920245398773,0.01058645248413086,0.0013371923436300496,6.319065141677856,0.7926730580550685,6.329651594161987,0.7925339584268557,0.0010761659021034677,0.0003840818321367375,0.0011518685012350655,0.0004122351666332221,1.7999526525409005e-06,9.748958617656558e-07,0.0010761659021034677,0.0003840818321367375,0.0011518685012350655,0.0004122351666332221,1.7999526525409005e-06,9.748958617656558e-07
Window Clinear,197,164,455,69.78527607361963,0.008721399307250976,0.001219655396147363,3.070570468902588,0.31999396878779274,3.0792918682098387,0.32075462622091894,0.034986751820623364,0.006241547477199745,0.037313806195840425,0.006581550838626432,0.001522785258375751,0.0004661871113006317,0.034986751820623364,0.006241547477199745,0.037313806195840425,0.006581550838626432,0.001522785258375751,0.0004661871113006317
Window Rank,0,164,652,100.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Window Mahalanobis,152,164,500,76.68711656441718,0.009822845458984375,0.0013015554877978917,2.69916033744812,0.33349913037683593,2.7089831829071045,0.33296233907661593,0.04149261505093014,0.00830138175125372,0.04425840736717602,0.008836687427631844,0.0021587732250222605,0.0008427155880658686,0.04149261505093014,0.00830138175125372,0.04425840736717602,0.008836687427631844,0.0021587732250222605,0.0008427155880658686
Window AR,172,164,480,73.61963190184049,0.01727900505065918,0.006529042082870527,2.581388998031616,0.2541139968720397,2.5986680030822753,0.25794745751789133,0.029338557117898317,0.011546545991527763,0.031297205177492425,0.012304434720168494,0.0011837054911375006,0.0007036156968403715,0.029338557117898317,0.011546545991527763,0.031297205177492425,0.012304434720168494,0.0011837054911375006,0.0007036156968403715
Window Mean,186,164,466,71.47239263803681,0.11230001449584961,0.007827542320923765,3.5563807010650637,0.1657278255515715,3.668680715560913,0.16719394937770618,0.041449434748459024,0.01196921639896932,0.04416835424010588,0.012748035301812281,0.002186205587761311,0.001146354610406269,0.041449434748459024,0.01196921639896932,0.04416835424010588,0.012748035301812281,0.002186205587761311,0.001146354610406269
Window Median,162,164,490,75.15337423312883,0.11230001449584961,0.007827542320923765,2.4771238803863525,0.2522056033922065,2.589423894882202,0.2561873265948803,0.031996557528343586,0.004308447675189381,0.03414589958349278,0.004614424835797372,0.0012773528218028916,0.0003347075843238948,0.031996557528343586,0.004308447675189381,0.03414589958349278,0.004614424835797372,0.0012773528218028916,0.0003347075843238948
Binary Segmentation L1,307,164,345,52.91411042944786,0.027349042892456054,0.0016166772902374412,5.914508962631226,1.8543629577744603,5.941858005523682,1.854198992947582,0.009390789161506529,0.020087594451924557,0.009994425197447645,0.021376927055539483,0.00048031168830243363,0.0010733908094799221,0.009390789161506529,0.020087594451924557,0.009994425197447645,0.021376927055539483,0.00048031168830243363,0.0010733908094799221
Binary Segmentation L2,312,164,340,52.14723926380368,0.015223932266235352,0.0015211190866959387,4.402241802215576,2.520795694937636,4.417465734481811,2.5203071299442663,0.014290823543560698,0.015467483802048768,0.01521775183712501,0.016544913300021898,0.0005057614529376944,0.0006495434668684517,0.014290823543560698,0.015467483802048768,0.01521775183712501,0.016544913300021898,0.0005057614529376944,0.0006495434668684517
Binary Segmentation Normal,317,164,335,51.380368098159515,0.0268280029296875,0.002194723619134177,5.508724212646484,2.1511706461677003,5.535552215576172,2.1500790263691174,0.02315311721231642,0.030212196299737655,0.02464372690676474,0.03214808322922249,0.0014797718501962198,0.0020244493377395457,0.02315311721231642,0.030212196299737655,0.02464372690676474,0.03214808322922249,0.0014797718501962198,0.0020244493377395457
Binary Segmentation RBF,317,164,335,51.380368098159515,0.044072628021240234,0.00041659398264793117,5.52109580039978,1.9042495403664879,5.56516842842102,1.9041860291187835,0.01780872773098683,0.024014148221580395,0.01896592824448701,0.0255694825348969,0.0009183275030435911,0.0014778046585697281,0.01780872773098683,0.024014148221580395,0.01896592824448701,0.0255694825348969,0.0009183275030435911,0.0014778046585697281
Binary Segmentation Cosine,12,164,640,98.15950920245399,0.055696964263916016,0.006322322189799118,2.800866794586182,0.25174629362833245,2.856563758850098,0.2516955261601919,0.01864054520622949,0.005370827388715119,0.02001489735011102,0.0056862937362044735,0.0005311460401617215,0.00022977739187920743,0.01864054520622949,0.005370827388715119,0.02001489735011102,0.0056862937362044735,0.0005311460401617215,0.00022977739187920743
Binary Segmentation Linear,217,164,435,66.71779141104295,0.013841819763183594,0.0009975646094894568,2.858615446090698,0.6902508205607722,2.872457265853882,0.690925691322114,0.034890161134082553,0.012011174361582756,0.03718086650180636,0.012777217543054227,0.0015889174542375432,0.001036397033467384,0.034890161134082553,0.012011174361582756,0.03718086650180636,0.012777217543054227,0.0015889174542375432,0.001036397033467384
Binary Segmentation Clinear,152,164,500,76.68711656441718,0.011040639877319337,0.0001708918615708766,2.7283338069915772,0.3809799279287338,2.7393744468688963,0.380950183402166,0.037584754120358076,0.010547779855994598,0.0400966824444127,0.011223533889409084,0.0018275760486919654,0.0009594127765730214,0.037584754120358076,0.010547779855994598,0.0400966824444127,0.011223533889409084,0.0018275760486919654,0.0009594127765730214
Binary Segmentation Rank,327,164,325,49.84662576687116,0.013771247863769532,0.0012124611685403208,5.502259540557861,2.641477397547865,5.516030788421631,2.6419093488979923,0.021678748352713304,0.028367649903145144,0.023117249982362677,0.03024610377594332,0.0013452610552566141,0.0018585117766267787,0.021678748352713304,0.028367649903145144,0.023117249982362677,0.03024610377594332,0.0013452610552566141,0.0018585117766267787
