Approach,# Train,# Test,Cut,% Cut,Avg Cut Seconds,Std Cut Seconds,Avg Train Seconds,Std Train Seconds,Avg Total Seconds,Std Total Seconds,Avg Line 170_MAPE,Std Line 170_MAPE,Avg Line 170_MAE,Std Line 170_MAE,Avg Line 170_MSE,Std Line 170_MSE,Avg Avg_MAPE,Std Avg_MAPE,Avg Avg_MAE,Std Avg_MAE,Avg Avg_MSE,Std Avg_MSE
Window Clinear,74,97,310,80.72916666666666,0.004504871368408203,0.0003989843705704351,2.9243228435516357,0.39743831301471083,2.928827714920044,0.39729812967570083,0.1475904136005815,0.012684613332455644,0.050848406937265736,0.0037652352295592046,0.016763518968637536,0.002358777876933901,0.1475904136005815,0.012684613332455644,0.050848406937265736,0.0037652352295592046,0.016763518968637536,0.002358777876933901
Window Rank,109,97,275,71.61458333333334,0.007409524917602539,0.0006498495047657371,2.6239821910858154,0.20352471988136225,2.631391716003418,0.20411249943246956,0.20174635477925768,0.042904035620174745,0.08543703456719716,0.028061680185639988,0.020008133159779503,0.005049198128205425,0.20174635477925768,0.042904035620174745,0.08543703456719716,0.028061680185639988,0.020008133159779503,0.005049198128205425
Window Mahalanobis,109,97,275,71.61458333333334,0.003773212432861328,0.00029025657899317027,2.657518005371094,0.09462787590077539,2.661291217803955,0.09445973351710846,0.19618622566667068,0.029364886347846415,0.08278028914754874,0.020795108369722565,0.01936268450133193,0.003357193087566216,0.19618622566667068,0.029364886347846415,0.08278028914754874,0.020795108369722565,0.01936268450133193,0.003357193087566216
Window AR,109,97,275,71.61458333333334,0.007929468154907226,0.00018413051582744008,2.5575109004974363,0.17428962377037688,2.565440368652344,0.174298228380351,0.23789518037024157,0.01153887527187637,0.11193614372348419,0.007065256519687748,0.023530016240081733,0.0018019157749122338,0.23789518037024157,0.01153887527187637,0.11193614372348419,0.007065256519687748,0.023530016240081733,0.0018019157749122338
Window Mean,84,97,300,78.125,0.05843963623046875,0.003705013882223504,2.6504642009735107,0.16095154094907685,2.7089038372039793,0.16263848479227067,0.15022171820663532,0.01630434143380123,0.05285963912379608,0.004939548174272567,0.017183822626960804,0.002950166734955229,0.15022171820663532,0.01630434143380123,0.05285963912379608,0.004939548174272567,0.017183822626960804,0.002950166734955229
Window Median,109,97,275,71.61458333333334,0.05843963623046875,0.003705013882223504,2.7562094211578367,0.06129060488965358,2.814649057388306,0.06057169907781835,0.1871743250203674,0.03686428478360935,0.071835593309439,0.026538821691617986,0.01921998346939318,0.0038645842622992885,0.1871743250203674,0.03686428478360935,0.071835593309439,0.026538821691617986,0.01921998346939318,0.0038645842622992885
Binary Segmentation L1,109,97,275,71.61458333333334,0.016397666931152344,0.0013833397028635574,2.5940921783447264,0.14651485009803455,2.610489845275879,0.14731358475461345,0.2053387849418209,0.03629121565225451,0.09013102763685686,0.023873388062662863,0.020247832435563225,0.0034759867152568814,0.2053387849418209,0.03629121565225451,0.09013102763685686,0.023873388062662863,0.020247832435563225,0.0034759867152568814
Binary Segmentation L2,199,97,185,48.17708333333333,0.008345079421997071,0.00021680865867073352,7.072444725036621,5.616823751644898,7.080789804458618,5.616891773429932,0.1189780263534573,0.0556182354084488,0.048644822674921186,0.015387698034815918,0.011113174231602638,0.00660926119979113,0.1189780263534573,0.0556182354084488,0.048644822674921186,0.015387698034815918,0.011113174231602638,0.00660926119979113
Binary Segmentation Normal,9,97,375,97.65625,0.01589369773864746,0.001047099670175584,3.2339685440063475,0.3281202125636329,3.249862241744995,0.3284368971210358,0.16721652302952034,0.010977294766822014,0.0654387361738417,0.007273808225051925,0.023822667040249875,0.0009827781259163803,0.16721652302952034,0.010977294766822014,0.0654387361738417,0.007273808225051925,0.023822667040249875,0.0009827781259163803
Binary Segmentation RBF,199,97,185,48.17708333333333,0.014890527725219727,0.001364722500063047,5.337258195877075,5.403470021478475,5.352148723602295,5.403743364673431,0.1466229578834267,0.053195236717209764,0.06174236552240291,0.01939663245844844,0.013796060881058446,0.005917945694968087,0.1466229578834267,0.053195236717209764,0.06174236552240291,0.01939663245844844,0.013796060881058446,0.005917945694968087
Binary Segmentation Cosine,9,97,375,97.65625,0.014612483978271484,0.0016637702128953758,3.1382938861846923,0.4469898062176543,3.152906370162964,0.4476226597309933,0.1537857169377263,0.015525096624497579,0.0611684088839425,0.0057430210330530525,0.021399297374687185,0.002725594363661425,0.1537857169377263,0.015525096624497579,0.0611684088839425,0.0057430210330530525,0.021399297374687185,0.002725594363661425
Binary Segmentation Linear,9,97,375,97.65625,0.008062314987182618,0.0005633027678905396,3.1347256183624266,0.3514009271208078,3.1427879333496094,0.35121874690500454,0.15829420453639204,0.017288984512102753,0.06154868029753368,0.006566157007783884,0.022414773371558068,0.0030278903549137773,0.15829420453639204,0.017288984512102753,0.06154868029753368,0.006566157007783884,0.022414773371558068,0.0030278903549137773
Binary Segmentation Clinear,159,97,225,58.59375,0.006325483322143555,0.0005842513805174901,7.691376161575318,6.620712000753936,7.697701644897461,6.620777978974729,0.12344538346676104,0.06057315622444317,0.05376078692775119,0.021090924426689594,0.010884253951236237,0.006332763508334973,0.12344538346676104,0.06057315622444317,0.05376078692775119,0.021090924426689594,0.010884253951236237,0.006332763508334973
Binary Segmentation Rank,109,97,275,71.61458333333334,0.009798526763916016,0.00034619490123508843,2.683517646789551,0.19833138968890432,2.693316173553467,0.19829361300622855,0.1943649306061903,0.04059439945556404,0.07773414899106226,0.031710950343152085,0.019741630550253776,0.0038726140716680525,0.1943649306061903,0.04059439945556404,0.07773414899106226,0.031710950343152085,0.019741630550253776,0.0038726140716680525
Binary Segmentation Mahalanobis,199,97,185,48.17708333333333,0.010404253005981445,0.00048783012431447226,8.508813285827637,4.990347142641002,8.519217538833619,4.989901432331559,0.10818926235849391,0.0673614548193005,0.05256079086056157,0.028302493077046433,0.009015161278528527,0.006734316816403957,0.10818926235849391,0.0673614548193005,0.05256079086056157,0.028302493077046433,0.009015161278528527,0.006734316816403957
Binary Segmentation AR,24,97,360,93.75,0.015738868713378908,0.0017327326950504702,2.6218513011932374,0.19046671497908838,2.637590169906616,0.18962304327226914,0.15962325437106578,0.024162613359410372,0.0612896318616731,0.011202767244589028,0.017995034547658648,0.0034954732996726897,0.15962325437106578,0.024162613359410372,0.0612896318616731,0.011202767244589028,0.017995034547658648,0.0034954732996726897
Binary Segmentation Mean,103,97,281,73.17708333333334,0.12046890258789063,0.0030840900843440958,2.2121438503265383,0.1491464850726938,2.3326127529144287,0.14807230202579594,0.23494008012049505,0.0366316550356638,0.11766445208154809,0.01783499949666535,0.026724672459063195,0.0064691670992767574,0.23494008012049505,0.0366316550356638,0.11766445208154809,0.01783499949666535,0.026724672459063195,0.0064691670992767574
Binary Segmentation Median,109,97,275,71.61458333333334,0.12046890258789063,0.0030840900843440958,2.6393701076507567,0.13627578140614394,2.7598390102386476,0.13567976909596172,0.21295993684984862,0.03488803719981377,0.09198145296838547,0.01947946072913145,0.02105505019867174,0.004167653272126733,0.21295993684984862,0.03488803719981377,0.09198145296838547,0.01947946072913145,0.02105505019867174,0.004167653272126733
Bottom Up L1,114,97,270,70.3125,0.007880592346191406,0.0008640008811576645,2.6697643756866456,0.13597301882985688,2.677644968032837,0.1362773522320729,0.19812551111788868,0.037060930945589335,0.08106265252349021,0.023241782381121654,0.019533162219601153,0.0042224672291297114,0.19812551111788868,0.037060930945589335,0.08106265252349021,0.023241782381121654,0.019533162219601153,0.0042224672291297114
Bottom Up L2,194,97,190,49.47916666666667,0.005950832366943359,0.0010188745185638443,7.665371942520141,6.258962324112269,7.671322774887085,6.258188668508391,0.12578343068790254,0.06875408229321794,0.057625900412199595,0.03186667900118423,0.01132085198838563,0.007042223634655854,0.12578343068790254,0.06875408229321794,0.057625900412199595,0.03186667900118423,0.01132085198838563,0.007042223634655854
Bottom Up Normal,209,97,175,45.57291666666667,0.0075947284698486325,0.0005865266795531919,9.931355285644532,6.4213771256659005,9.93895001411438,6.421111631736829,0.10238512875503279,0.06576046020619665,0.04952324595259524,0.0279513190773366,0.008335598566699529,0.006211409828422359,0.10238512875503279,0.06576046020619665,0.04952324595259524,0.0279513190773366,0.008335598566699529,0.006211409828422359
Bottom Up RBF,194,97,190,49.47916666666667,0.007474040985107422,0.0010047289982507094,5.850281858444214,6.795976424664005,5.857755899429321,6.796075259295981,0.15838323658083184,0.058134859611666284,0.07263235721779966,0.025341484634781163,0.014169645397622199,0.005724352864140359,0.15838323658083184,0.058134859611666284,0.07263235721779966,0.025341484634781163,0.014169645397622199,0.005724352864140359
Bottom Up Cosine,14,97,370,96.35416666666666,0.004473590850830078,0.00046156422513579485,2.7391822814941404,0.2318794824832175,2.743655872344971,0.23215292300586798,0.1647466712856347,0.01572918639765638,0.06708515007962752,0.00911933344072381,0.02230956990291864,0.0022348976838371284,0.1647466712856347,0.01572918639765638,0.06708515007962752,0.00911933344072381,0.02230956990291864,0.0022348976838371284
Bottom Up Linear,14,97,370,96.35416666666666,0.004237079620361328,0.00042494045707759664,2.9226541996002195,0.1243567091575174,2.9268912792205812,0.12416608877504112,0.15526747547890934,0.017529632283684364,0.06115821558781322,0.006480273546992808,0.02113926699175761,0.0032020954174301905,0.15526747547890934,0.017529632283684364,0.06115821558781322,0.006480273546992808,0.02113926699175761,0.0032020954174301905
Bottom Up Clinear,209,97,175,45.57291666666667,0.0044902324676513675,0.0012597736150906406,15.458374977111816,2.063953382540195,15.462865209579467,2.063901357204416,0.052519946147311224,0.004975257320016252,0.027396514688643455,0.004669231818920837,0.0037826124601556634,0.000138090475341264,0.052519946147311224,0.004975257320016252,0.027396514688643455,0.004669231818920837,0.0037826124601556634,0.000138090475341264
Bottom Up Rank,114,97,270,70.3125,0.007534551620483399,0.0005046491347462698,2.7637848377227785,0.1373610038357195,2.7713193893432617,0.137830919675066,0.2258793392717974,0.06085753039370246,0.0980104050371382,0.03743128210289984,0.024148551696902446,0.008373869988351176,0.2258793392717974,0.06085753039370246,0.0980104050371382,0.03743128210289984,0.024148551696902446,0.008373869988351176
Bottom Up Mahalanobis,194,97,190,49.47916666666667,0.004239177703857422,0.0005339378250256862,5.538499116897583,5.577414120130104,5.54273829460144,5.577909351014042,0.14878401061025193,0.055473236476722185,0.065463990274517,0.024188119729517163,0.01404781047000139,0.005895579870738229,0.14878401061025193,0.055473236476722185,0.065463990274517,0.024188119729517163,0.01404781047000139,0.005895579870738229
Bottom Up AR,304,97,80,20.833333333333336,0.007165098190307617,0.0005086503122543592,14.72935118675232,6.296155257062529,14.736516284942628,6.295691857249081,0.07744588329176842,0.05541060759339052,0.03611542440123028,0.020560823450065487,0.006501453447122877,0.006197371157218322,0.07744588329176842,0.05541060759339052,0.03611542440123028,0.020560823450065487,0.006501453447122877,0.006197371157218322
Bottom Up Mean,156,97,228,59.375,0.06103992462158203,0.0034738094858594824,8.01575403213501,7.221266001648706,8.076793956756593,7.218620852968183,0.11590659775279517,0.06222308457712697,0.0474360865046238,0.023368563524097524,0.010768468839203564,0.006368476065217767,0.11590659775279517,0.06222308457712697,0.0474360865046238,0.023368563524097524,0.010768468839203564,0.006368476065217767
Bottom Up Median,194,97,190,49.47916666666667,0.06103992462158203,0.0034738094858594824,7.033979177474976,6.705910669148116,7.095019102096558,6.703294179123378,0.12018117907268284,0.055407419217112064,0.05154000016236214,0.019623075746572637,0.010457124312701106,0.005827760129964543,0.12018117907268284,0.055407419217112064,0.05154000016236214,0.019623075746572637,0.010457124312701106,0.005827760129964543
