Approach,# Train,# Test,Cut,% Cut,Avg Cut Seconds,Std Cut Seconds,Avg Train Seconds,Std Train Seconds,Avg Total Seconds,Std Total Seconds,Avg Close_MAPE,Std Close_MAPE,Avg Close_MAE,Std Close_MAE,Avg Close_MSE,Std Close_MSE,Avg Volume_MAPE,Std Volume_MAPE,Avg Volume_MAE,Std Volume_MAE,Avg Volume_MSE,Std Volume_MSE,Avg Avg_MAPE,Std Avg_MAPE,Avg Avg_MAE,Std Avg_MAE,Avg Avg_MSE,Std Avg_MSE
Binary Segmentation Normal,172,125,325,65.3923541247485,0.028667211532592773,0.0025145934013848037,2.3330097675323485,0.2423024101108659,2.3616769790649412,0.24044573027530974,0.11416969524321585,0.03566712508447441,0.09023718561467674,0.033866198135941175,0.01293389971653331,0.009400931925882466,0.588822058522265,0.22822017599056013,0.083940960551194,0.02411572983880862,0.015743052336524725,0.003777277707120047,0.3514958768827405,0.12824921554009344,0.08708907308293538,0.02713042330583207,0.014338476026529018,0.006327486993524251
Binary Segmentation RBF,402,125,95,19.114688128772634,0.025669622421264648,0.00299352044425043,3.052236032485962,0.2835254134447336,3.0779056549072266,0.28236284079003227,0.21382594014730522,0.027123019901210032,0.05103755812811752,0.0064839608455637635,0.003763520138325097,0.0008904077173062089,0.6862227081470901,0.08944133524912133,0.02282694725187358,0.0023551835744821423,0.0009748306513336373,8.970873649501453e-05,0.4500243241471976,0.050512307969479954,0.036932252689995546,0.0037802017786463674,0.0023691753948293674,0.00045459259458938806
Binary Segmentation Cosine,22,125,475,95.57344064386318,0.026382827758789064,0.002566112599616374,2.0887561798095704,0.08361077278768246,2.1151390075683594,0.08578558120206775,0.17277579126421216,0.05278074998808716,0.224013342072627,0.068272205668438,0.07446485421174653,0.037261858611139384,0.36776886219716115,0.06049296203734643,0.30228192066821413,0.012647765236554311,0.3039824105450781,0.01837772834583726,0.2702723267306867,0.04133086565339183,0.26314763137042047,0.03289619323365843,0.1892236323784123,0.013404258796562273
Binary Segmentation Linear,342,125,155,31.18712273641851,0.011676836013793945,0.0011663768950536536,2.8300194263458254,0.4272738427815535,2.841696262359619,0.4278774492171223,0.25942688893437427,0.05689034139160701,0.06290943666721437,0.014243232617131093,0.005394067180602098,0.0020392993859211332,0.5636220625657339,0.24943567657175475,0.020518342226870538,0.0053904448434523595,0.0009667729510666779,0.00011723667244101417,0.4115244757500541,0.12489458856431838,0.04171388944704246,0.007143563583243679,0.0031804200658343876,0.001020850618280775
Binary Segmentation Clinear,337,125,160,32.19315895372233,0.009579181671142578,0.00111044103970671,2.8973435401916503,0.3497649531507723,2.906922721862793,0.35059747328266344,0.29238930126838336,0.041255777442417665,0.07108651938882873,0.0103131124800147,0.00664532707791491,0.0018764441499540196,0.7092037893900807,0.37730080322649545,0.02407325425890779,0.009486773992726138,0.0011258037884758487,0.00045049343306360006,0.500796545329232,0.18672195983109113,0.04757988682386828,0.006053909343008242,0.0038855654331953794,0.0009060821746867546
Binary Segmentation Rank,367,125,130,26.156941649899395,0.014651870727539063,0.0007599063387404452,2.75028510093689,0.21649104919941087,2.7649369716644285,0.2163794371075242,0.24693928234855006,0.030898200097246135,0.059324817420015274,0.007726099632546274,0.004858938896699816,0.0010767945169822223,0.9642278153516083,0.4270454205746104,0.031013593734448595,0.011289177084538317,0.001477442946108259,0.0005990637358108055,0.6055835488500791,0.20306565349786537,0.04516920557723194,0.003882528340681306,0.003168190921404038,0.00037910464833841893
Binary Segmentation Mahalanobis,297,125,200,40.24144869215292,0.02185502052307129,0.004365835455496176,2.7184760093688967,0.34330022021432416,2.740331029891968,0.3441603965230884,0.33546238578802,0.05984038170826034,0.08298584322348995,0.01556048910790623,0.00854572211412829,0.0028157350611799567,0.7238188257887391,0.31703798034176905,0.02467076331081793,0.007216697405988844,0.0011383251537386175,0.000245743816655216,0.5296406057883796,0.1480200113457752,0.05382830326715395,0.007188231202054055,0.0048420236339334535,0.001396790793590621
Binary Segmentation AR,317,125,180,36.21730382293762,0.01819920539855957,0.0018202717185324653,2.6767499923706053,0.11249431391549106,2.694949197769165,0.11284342129678082,0.3214472120275895,0.0887965186919769,0.07900637098981034,0.023186904235791103,0.008194517168749192,0.004090819785059062,0.7248275292787085,0.32976105667404704,0.02466388220365277,0.008067076548516452,0.0011414122709352316,0.00032350248973342176,0.5231373706531489,0.17978584871326925,0.05183512659673156,0.012834691466818706,0.004667964719842212,0.00204891452096729
Binary Segmentation Mean,312,125,185,37.223340040241446,0.19400472640991212,0.006654397830438692,2.600636625289917,0.144369657925044,2.794641351699829,0.14927309614426604,0.31665876296618917,0.04872602432822256,0.0779463115136204,0.012137353756019056,0.0076413035922000515,0.0022329480308252558,0.5545525069665468,0.2058128767385246,0.020197974360827736,0.004969876584013102,0.0009649626663936156,0.00013758041491774358,0.435605634966368,0.10211985454824332,0.04907214293722408,0.0060932442239329575,0.004303133129296834,0.0011056483370440995
Binary Segmentation Median,340,125,157,31.58953722334004,0.19400472640991212,0.006654397830438692,3.310156488418579,0.21676308261571953,3.5041612148284913,0.21872883345779814,0.2768846349524578,0.04900804783161573,0.06773334047920275,0.012779630389537902,0.0059425427492990155,0.0018347907073935743,0.631288871992395,0.3829300659156397,0.02272482165842469,0.009429126312631387,0.001091414417458018,0.0003114517590357388,0.4540867534724264,0.18627862169008602,0.04522908106881373,0.00680295734432286,0.0035169785833785157,0.000901240912352566
Bottom Up L1,407,125,90,18.10865191146881,0.009654378890991211,0.0005817280097514501,3.3632534980773925,0.507867728473636,3.372907876968384,0.5077515625904053,0.21950802962051055,0.029831414333707514,0.05221847640185672,0.007218106248371809,0.004009112223117969,0.0009597205145600914,0.987863285715682,0.42235533732916725,0.031168571235937425,0.01178045986654451,0.0014863539525367354,0.0007088161005219252,0.6036856576680962,0.21721763120583706,0.04169352381889707,0.007983320494426108,0.002747733087827352,0.0006813250838966431
Bottom Up L2,172,125,325,65.3923541247485,0.005711507797241211,0.00047664505546017875,2.3767606735229494,0.20012343320822912,2.3824721813201903,0.20049832237525375,0.12103060346610658,0.06584695091211272,0.09482389984651761,0.05518520147085271,0.015122451842782528,0.017825850261844495,0.5660219650680568,0.06823075718405133,0.0805967956367993,0.007068894807046974,0.014788862178982629,0.0012491813997376926,0.3435262842670816,0.0619216662421031,0.08771034774165846,0.030165773932010934,0.014955657010882578,0.009316315824818983
Bottom Up Normal,172,125,325,65.3923541247485,0.012667226791381835,0.001985806553688801,2.521020603179932,0.14091167366977145,2.5336878299713135,0.14078677328820305,0.10078455127482804,0.034610522947246265,0.07938139780499093,0.030306037025951957,0.009923066855860228,0.008007550848810744,0.648546773447882,0.07287201769086755,0.08856383315550356,0.007464852593354014,0.015773798971235868,0.0011509481866215775,0.37466566236135507,0.047289040791593205,0.08397261548024725,0.017533605383130108,0.012848432913548046,0.004436004690151371
Bottom Up RBF,357,125,140,28.169014084507044,0.010099124908447266,0.0008537527366944683,2.643210697174072,0.08352474860153507,2.6533098220825195,0.08301500650620569,0.24271569453103434,0.05898450910578315,0.05858936863138006,0.014844885013040121,0.00481876372819221,0.001969427462302693,0.7768958560576873,0.18437532698578424,0.025272773382420073,0.0047600657810679394,0.0010983105767259935,0.00017971568388891378,0.509805775294361,0.09053427460429919,0.04193107100690007,0.00729284667741908,0.002958537152459101,0.0009692971551727153
Bottom Up Cosine,232,125,265,53.31991951710262,0.004977893829345703,0.0002888533037369639,2.447361373901367,0.07248609040311758,2.452339267730713,0.07260564652298016,0.2062164570253214,0.0543528179683997,0.049956296814057485,0.013654046768588496,0.003556331743921366,0.0015750272677042957,0.5573251283587314,0.31924414916761884,0.02197462792081209,0.006861252764118408,0.001142594672543985,0.00022894508925366832,0.3817707926920263,0.14669410283046416,0.03596546236743479,0.0062357230029100935,0.0023494632082326754,0.0007829109569724075
Bottom Up Linear,187,125,310,62.37424547283702,0.005507230758666992,0.0008080074765035534,2.46982741355896,0.16401374582145856,2.475334644317627,0.1646776033111622,0.12788215057891864,0.012220046662987549,0.04017748663557135,0.005196185716807869,0.0022952153291819592,0.0005463900851578725,0.915778822708513,0.1779082856468571,0.029325509916158257,0.005268419614652171,0.0012998119222397836,0.0003028218895675171,0.5218304866437158,0.09291495896141314,0.034751498275864795,0.005023437974099936,0.0017975136257108715,0.00041329923459622266
