Approach,# Train,# Test,Cut,% Cut,Avg Cut Seconds,Std Cut Seconds,Avg Train Seconds,Std Train Seconds,Avg Total Seconds,Std Total Seconds,Avg Number of Passengers_MAPE,Std Number of Passengers_MAPE,Avg Number of Passengers_MAE,Std Number of Passengers_MAE,Avg Number of Passengers_MSE,Std Number of Passengers_MSE,Avg Avg_MAPE,Std Avg_MAPE,Avg Avg_MAE,Std Avg_MAE,Avg Avg_MSE,Std Avg_MSE
Window Rank,264,94,110,29.411764705882355,0.005239439010620117,0.0001942020970348756,4.918154382705689,0.9067184450139686,4.923393821716308,0.9067094759808447,0.10576745177083006,0.004452181670145516,0.08965907701059297,0.004596677736722614,0.011380774995365673,0.0013788876179233064,0.10576745177083006,0.004452181670145516,0.08965907701059297,0.004596677736722614,0.011380774995365673,0.0013788876179233064
Window Mahalanobis,264,94,110,29.411764705882355,0.0034270286560058594,9.684447053512961e-05,4.848466253280639,1.4237751079608194,4.851893281936645,1.4237455728213946,0.10554439216910604,0.00441793592068518,0.0896232032860683,0.004204320720425657,0.011359099412486279,0.0014064679807502792,0.10554439216910604,0.00441793592068518,0.0896232032860683,0.004204320720425657,0.011359099412486279,0.0014064679807502792
Window AR,264,94,110,29.411764705882355,0.007707405090332031,0.0002637944764132087,4.919619369506836,0.6379772713031451,4.927326774597168,0.6379163548169099,0.10524272916893919,0.0028806821405806143,0.08937510244210622,0.0026656981963865804,0.011178640356528338,0.0009855494739539727,0.10524272916893919,0.0028806821405806143,0.08937510244210622,0.0026656981963865804,0.011178640356528338,0.0009855494739539727
Window Mean,211,94,163,43.58288770053476,0.05145153999328613,0.003247179598038886,4.02387547492981,1.044375712463779,4.075327014923095,1.0455862011792199,0.107924165451357,0.0037133044347118387,0.09151563199359461,0.003761671155484696,0.012019205969117827,0.0012564276794647463,0.107924165451357,0.0037133044347118387,0.09151563199359461,0.003761671155484696,0.012019205969117827,0.0012564276794647463
Window Median,264,94,110,29.411764705882355,0.05145153999328613,0.003247179598038886,4.447409152984619,1.1326807446058436,4.498860692977905,1.1330743055248065,0.1072665708019594,0.0016729208188350495,0.09090318810122094,0.0018284785182398364,0.011867291660651912,0.00044721112119621277,0.1072665708019594,0.0016729208188350495,0.09090318810122094,0.0018284785182398364,0.011867291660651912,0.00044721112119621277
Binary Segmentation L1,289,94,85,22.727272727272727,0.01711583137512207,0.0027358015529271354,4.755405139923096,1.265400351841833,4.772520971298218,1.2669945652937062,0.10760419263019572,0.004703370169277607,0.09177511115711526,0.004716967842495601,0.01192736016378757,0.0014710412633027975,0.10760419263019572,0.004703370169277607,0.09177511115711526,0.004716967842495601,0.01192736016378757,0.0014710412633027975
Binary Segmentation L2,284,94,90,24.06417112299465,0.00876317024230957,0.0015649436719774746,4.495829439163208,0.9476687669354543,4.504592609405518,0.948850733714323,0.10749083911827144,0.004319680945360358,0.09087561040826463,0.004946590104699218,0.012013698847657538,0.0013294788238744728,0.10749083911827144,0.004319680945360358,0.09087561040826463,0.004946590104699218,0.012013698847657538,0.0013294788238744728
Binary Segmentation Normal,289,94,85,22.727272727272727,0.014365911483764648,0.0008576297241172491,6.017771005630493,0.8653700039076291,6.032136917114258,0.865655166149829,0.10365246945469316,0.0029733108395796058,0.08786102747495031,0.0031441291568606307,0.010767814085722057,0.0009475703680365021,0.10365246945469316,0.0029733108395796058,0.08786102747495031,0.0031441291568606307,0.010767814085722057,0.0009475703680365021
Binary Segmentation RBF,289,94,85,22.727272727272727,0.013170433044433594,0.0013358782490828314,4.582679080963135,0.8642534052615222,4.595849514007568,0.8649769443738751,0.10712475765535423,0.0010682787106567975,0.09082256713267109,0.0017285351452229305,0.011805321160163421,0.00044196406675962787,0.10712475765535423,0.0010682787106567975,0.09082256713267109,0.0017285351452229305,0.011805321160163421,0.00044196406675962787
Binary Segmentation Cosine,9,94,365,97.59358288770053,0.013550329208374023,0.0019781689607974557,3.585299777984619,0.4342788119659508,3.5988501071929933,0.4362259453333187,0.1938313355386408,0.004591335858947548,0.17997808510621094,0.0043811466171775355,0.04164412054629132,0.0019109221209418917,0.1938313355386408,0.004591335858947548,0.17997808510621094,0.0043811466171775355,0.04164412054629132,0.0019109221209418917
Binary Segmentation Linear,9,94,365,97.59358288770053,0.008529281616210938,0.0007107885373643606,3.600042629241943,0.6029645114986115,3.608571910858154,0.6034092863807753,0.1955897645098738,0.009427326264776333,0.18159409829331244,0.008883439252391894,0.04237859748876834,0.0038620439509760318,0.1955897645098738,0.009427326264776333,0.18159409829331244,0.008883439252391894,0.04237859748876834,0.0038620439509760318
Binary Segmentation Clinear,259,94,115,30.74866310160428,0.006502294540405273,0.0007565470574567324,4.367944431304932,1.1973452630179195,4.374446725845337,1.19790924235338,0.10861532572588611,0.0030543352940610564,0.09283290393315385,0.0030275344730379635,0.012271184289891645,0.0010308784565223046,0.10861532572588611,0.0030543352940610564,0.09283290393315385,0.0030275344730379635,0.012271184289891645,0.0010308784565223046
Binary Segmentation Rank,264,94,110,29.411764705882355,0.008243513107299805,0.000392395023951302,5.004236364364624,1.680891784748095,5.0124798774719235,1.6810929928195064,0.10719486249004496,0.003027498564535223,0.09063061875738629,0.002381907770437503,0.012004131539366804,0.0010111668439577947,0.10719486249004496,0.003027498564535223,0.09063061875738629,0.002381907770437503,0.012004131539366804,0.0010111668439577947
Binary Segmentation Mahalanobis,284,94,90,24.06417112299465,0.01098184585571289,0.001014451209948917,4.45865306854248,0.45135843928834934,4.469634914398194,0.4509437171613731,0.10537632628490927,0.003326636912449651,0.0890196612670524,0.0032447721105814944,0.01111624995405287,0.001082442026416648,0.10537632628490927,0.003326636912449651,0.0890196612670524,0.0032447721105814944,0.01111624995405287,0.001082442026416648
Binary Segmentation AR,144,94,230,61.49732620320856,0.01333775520324707,0.0007826538737658462,6.218768787384033,1.21055961970093,6.23210654258728,1.2111331556705018,0.10445338029235698,0.0028001915617607612,0.08872975037390499,0.002688278160341903,0.011208818047883378,0.000896247665744864,0.10445338029235698,0.0028001915617607612,0.08872975037390499,0.002688278160341903,0.011208818047883378,0.000896247665744864
Binary Segmentation Mean,212,94,162,43.31550802139038,0.11456036567687988,0.00830400188852331,3.736225986480713,1.0391642643831625,3.8507863521575927,1.0340870036402163,0.10605197633066858,0.003202395489049991,0.08925741671643143,0.002524378989257705,0.01154569433463378,0.0011025783125018823,0.10605197633066858,0.003202395489049991,0.08925741671643143,0.002524378989257705,0.01154569433463378,0.0011025783125018823
Binary Segmentation Median,274,94,100,26.737967914438503,0.11456036567687988,0.00830400188852331,4.46213002204895,0.38176117223852707,4.57669038772583,0.37909174136353196,0.10917818538169195,0.0034112064403163545,0.09334116648957681,0.0036557480827235167,0.012493618230611432,0.0011410518800494338,0.10917818538169195,0.0034112064403163545,0.09334116648957681,0.0036557480827235167,0.012493618230611432,0.0011410518800494338
Bottom Up L1,264,94,110,29.411764705882355,0.007983160018920899,0.000463063245944501,4.806168794631958,0.9378112197000759,4.814151954650879,0.9376245527886303,0.10737102263161692,0.0045656579709073,0.09032906412680887,0.0026946468394191767,0.011900061032263909,0.0012526357940618065,0.10737102263161692,0.0045656579709073,0.09032906412680887,0.0026946468394191767,0.011900061032263909,0.0012526357940618065
Bottom Up L2,264,94,110,29.411764705882355,0.0047609806060791016,0.0003185681303246269,4.594407558441162,0.5824732232685764,4.599168539047241,0.5824363129984708,0.10592748854787393,0.0015314299723479452,0.08963669094610385,0.0018852310556257993,0.011426093176218009,0.000559609592768809,0.10592748854787393,0.0015314299723479452,0.08963669094610385,0.0018852310556257993,0.011426093176218009,0.000559609592768809
Bottom Up Normal,264,94,110,29.411764705882355,0.009371471405029298,0.0007069860944468254,4.870685195922851,0.7657940679538219,4.880056667327881,0.7660079115570219,0.10548311441620584,0.004016106908037968,0.08880755928993318,0.004230893151643883,0.01132016073301443,0.0012871959055514395,0.10548311441620584,0.004016106908037968,0.08880755928993318,0.004230893151643883,0.01132016073301443,0.0012871959055514395
Bottom Up RBF,264,94,110,29.411764705882355,0.005557060241699219,0.0005042073551683839,4.479361486434937,0.6909755670881998,4.484918546676636,0.6907135349103347,0.1089310997315005,0.0018987720900483396,0.09225995401620983,0.00216529571608887,0.012524339906892192,0.0005548472264987278,0.1089310997315005,0.0018987720900483396,0.09225995401620983,0.00216529571608887,0.012524339906892192,0.0005548472264987278
Bottom Up Cosine,14,94,360,96.2566844919786,0.003910589218139649,0.00029677211412240206,3.132844924926758,0.044699963552807,3.1367555141448973,0.04481191309172035,0.18928994592845058,0.01357225726306906,0.1756581183601806,0.012773882681613363,0.03976074541188951,0.005483779166521479,0.18928994592845058,0.01357225726306906,0.1756581183601806,0.012773882681613363,0.03976074541188951,0.005483779166521479
Bottom Up Linear,14,94,360,96.2566844919786,0.004006195068359375,0.00021823671694066934,3.154848003387451,0.15531299436727053,3.1588541984558107,0.1554429892867006,0.19710238992827778,0.0161756412104446,0.18293528909320517,0.015208574690563428,0.0430325776727538,0.006645938911545959,0.19710238992827778,0.0161756412104446,0.18293528909320517,0.015208574690563428,0.0430325776727538,0.006645938911545959
Bottom Up Clinear,239,94,135,36.096256684491976,0.003985881805419922,0.00035551000379410757,4.3803760528564455,0.5848819919784376,4.384361934661865,0.5848159700022852,0.1076697098690036,0.00289456070346582,0.09165461559967125,0.0031274782090674295,0.011901963692097116,0.0009178030795977164,0.1076697098690036,0.00289456070346582,0.09165461559967125,0.0031274782090674295,0.011901963692097116,0.0009178030795977164
Bottom Up Rank,264,94,110,29.411764705882355,0.005467796325683593,0.00027831591425354153,4.335572814941406,0.9033495317007864,4.34104061126709,0.9034016495084024,0.10901148922039684,0.003345085220060966,0.09098476714520842,0.00306978529391751,0.01241558969795462,0.0009149653690144495,0.10901148922039684,0.003345085220060966,0.09098476714520842,0.00306978529391751,0.01241558969795462,0.0009149653690144495
Bottom Up Mahalanobis,264,94,110,29.411764705882355,0.0034544944763183595,0.00010383894166232977,5.567237281799317,1.9456873179335865,5.570691776275635,1.9456021978727938,0.10510759522985619,0.005323467673557325,0.08922455921603883,0.005260510729778474,0.011122118044552785,0.0016798760952558853,0.10510759522985619,0.005323467673557325,0.08922455921603883,0.005260510729778474,0.011122118044552785,0.0016798760952558853
Bottom Up AR,84,94,290,77.54010695187165,0.006629228591918945,0.00017675936040279565,3.7524248123168946,0.5015892418345127,3.7590540409088136,0.5014727575462292,0.10932459010609744,0.002396008098672412,0.09456018372733425,0.002678348520012069,0.01255293586763682,0.0006587618062264411,0.10932459010609744,0.002396008098672412,0.09456018372733425,0.002678348520012069,0.01255293586763682,0.0006587618062264411
Bottom Up Mean,194,94,180,48.1283422459893,0.05512685775756836,0.001941813611829052,5.030707597732544,1.2601012126841664,5.0858344554901125,1.2601205526259418,0.1052101635373574,0.0021258992098612548,0.08891595038603356,0.002361090882521247,0.011195469548455647,0.0006601114311711887,0.1052101635373574,0.0021258992098612548,0.08891595038603356,0.002361090882521247,0.011195469548455647,0.0006601114311711887
Bottom Up Median,264,94,110,29.411764705882355,0.05512685775756836,0.001941813611829052,6.025145673751831,1.4803672253068232,6.080272531509399,1.4809143375971647,0.10563373778970878,0.0038370135933959897,0.08976533613855477,0.0038565223657393254,0.01140861994235417,0.001171974923566727,0.10563373778970878,0.0038370135933959897,0.08976533613855477,0.0038565223657393254,0.01140861994235417,0.001171974923566727
