Approach,# Train,# Test,Cut,% Cut,Avg Cut Seconds,Std Cut Seconds,Avg Train Seconds,Std Train Seconds,Avg Total Seconds,Std Total Seconds,Avg V1_MAPE,Std V1_MAPE,Avg V1_MAE,Std V1_MAE,Avg V1_MSE,Std V1_MSE,Avg Avg_MAPE,Std Avg_MAPE,Avg Avg_MAE,Std Avg_MAE,Avg Avg_MSE,Std Avg_MSE
Window RBF,502,199,290,36.61616161616162,0.02013430595397949,0.002065398103181731,9.212217998504638,2.524960578612029,9.232352304458619,2.5264823570553983,0.18406176472006947,0.01975878296686567,0.026933890501804038,0.0017550520303463214,0.0013661854418412717,0.0001743806800127138,0.18406176472006947,0.01975878296686567,0.026933890501804038,0.0017550520303463214,0.0013661854418412717,0.0001743806800127138
Window Cosine,0,199,792,100.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Window Linear,0,199,792,100.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Window Clinear,52,199,740,93.43434343434343,0.013088750839233398,0.0036591598504327237,3.2021281719207764,0.5388860223719859,3.2152169227600096,0.5390061873045812,0.5511059931439855,0.03910435851486079,0.11575966119300433,0.008438469223729263,0.024970546696314978,0.0039078968214728265,0.5511059931439855,0.03910435851486079,0.11575966119300433,0.008438469223729263,0.024970546696314978,0.0039078968214728265
Window Rank,502,199,290,36.61616161616162,0.01573500633239746,0.002215125691273541,9.689762496948243,3.476630884932006,9.70549750328064,3.4773988867761023,0.18735751461365172,0.03438290086020598,0.0273617228524501,0.003586746576550644,0.00143464915709742,0.00034759571729676427,0.18735751461365172,0.03438290086020598,0.0273617228524501,0.003586746576550644,0.00143464915709742,0.00034759571729676427
Window Mahalanobis,127,199,665,83.96464646464646,0.01310272216796875,0.002671017794019626,3.885085391998291,1.6347936993436627,3.8981881141662598,1.6370800638731957,0.5245283681958451,0.17910835102284886,0.05660542384400782,0.01363142051807512,0.004910354873368121,0.0017161587997780669,0.5245283681958451,0.17910835102284886,0.05660542384400782,0.01363142051807512,0.004910354873368121,0.0017161587997780669
Window AR,527,199,265,33.45959595959596,0.020580434799194337,0.003018433964339673,15.14956374168396,1.562134004732284,15.170144176483154,1.5639394142554885,0.16345042205613436,0.002704480056767732,0.0244736229667555,0.0002897096983249291,0.0011719859810902019,4.594753217167996e-05,0.16345042205613436,0.002704480056767732,0.0244736229667555,0.0002897096983249291,0.0011719859810902019,4.594753217167996e-05
Window Mean,248,199,544,68.68686868686868,0.14419856071472167,0.0073587657596547494,5.479102754592896,1.6196141061521312,5.623301315307617,1.6257116406257226,0.28907736525422245,0.099428105328186,0.037915303844025056,0.009370948134941612,0.0026482166124826745,0.0011552814734555488,0.28907736525422245,0.099428105328186,0.037915303844025056,0.009370948134941612,0.0026482166124826745,0.0011552814734555488
Window Median,127,199,665,83.96464646464646,0.14419856071472167,0.0073587657596547494,3.0852978229522705,0.18592240762813764,3.229496383666992,0.1841485706147829,0.5843168120285399,0.17329062997968783,0.06165899834305508,0.012648768302962783,0.005686971010341262,0.0015826845784756795,0.5843168120285399,0.17329062997968783,0.06165899834305508,0.012648768302962783,0.005686971010341262,0.0015826845784756795
Binary Segmentation L1,502,199,290,36.61616161616162,0.03689885139465332,0.0017985927128819296,8.799882221221925,2.807104109107903,8.836781072616578,2.8057592868430024,0.18763506986271825,0.018513816719005375,0.028293909409353595,0.0031886315116378973,0.0014934558407813407,0.0003194457936575838,0.18763506986271825,0.018513816719005375,0.028293909409353595,0.0031886315116378973,0.0014934558407813407,0.0003194457936575838
Binary Segmentation L2,12,199,780,98.48484848484848,0.020664072036743163,0.004287920120623194,3.2533802509307863,0.284124756444199,3.274044322967529,0.28812951686720073,1.1690868309503737,0.13076125882906797,0.2008374496321965,0.022296268988449684,0.04914857332832061,0.010035180541085247,1.1690868309503737,0.13076125882906797,0.2008374496321965,0.022296268988449684,0.04914857332832061,0.010035180541085247
Binary Segmentation Normal,642,199,150,18.939393939393938,0.03536272048950195,0.004559700074203944,16.08081464767456,3.186630597041197,16.116177368164063,3.190425544093122,0.16981290386115122,0.0046277924066544796,0.02537472357925046,0.0005893129163682657,0.0012759110856641902,6.589894280115792e-05,0.16981290386115122,0.0046277924066544796,0.02537472357925046,0.0005893129163682657,0.0012759110856641902,6.589894280115792e-05
Binary Segmentation RBF,502,199,290,36.61616161616162,0.08849802017211914,0.020008397920003654,11.42229404449463,4.899365313501187,11.510792064666749,4.906686432312885,0.17736198283399376,0.014651948659753982,0.026467523849806843,0.001973372970399009,0.0013540417948649604,0.0001918829034415306,0.17736198283399376,0.014651948659753982,0.026467523849806843,0.001973372970399009,0.0013540417948649604,0.0001918829034415306
Binary Segmentation Cosine,12,199,780,98.48484848484848,0.11875319480895996,0.021419832549395564,3.226585578918457,0.10231282526616395,3.345338773727417,0.11769851918278679,1.057068161293305,0.2503041801156505,0.18298587006578831,0.042056628241188054,0.04293506820612108,0.017017539376048427,1.057068161293305,0.2503041801156505,0.18298587006578831,0.042056628241188054,0.04293506820612108,0.017017539376048427
Binary Segmentation Linear,12,199,780,98.48484848484848,0.01912269592285156,0.0021370501055447476,3.6307675361633303,0.4363069131567519,3.6498902320861815,0.43742895964004536,1.1211391500082974,0.15629682563990177,0.19231197576266756,0.027157422112356316,0.045747109163220945,0.011431608201480335,1.1211391500082974,0.15629682563990177,0.19231197576266756,0.027157422112356316,0.045747109163220945,0.011431608201480335
Binary Segmentation Clinear,17,199,775,97.85353535353535,0.014720916748046875,0.001708801684649118,3.0334729671478273,0.22821080878260958,3.048193883895874,0.22971023083877498,1.3748046406098764,0.15408666709106325,0.24010194020926187,0.027048818693609356,0.06816200371098674,0.014349574858514614,1.3748046406098764,0.15408666709106325,0.24010194020926187,0.027048818693609356,0.06816200371098674,0.014349574858514614
Binary Segmentation Rank,502,199,290,36.61616161616162,0.019925594329833984,0.0019500313447557897,10.829392051696777,4.000450767368027,10.849317646026611,4.000094472665865,0.1827872085377807,0.027302932496224723,0.02691355297862807,0.003118042296918932,0.001391219922993092,0.00031928940950889776,0.1827872085377807,0.027302932496224723,0.02691355297862807,0.003118042296918932,0.001391219922993092,0.00031928940950889776
Binary Segmentation Mahalanobis,12,199,780,98.48484848484848,0.11699681282043457,0.009761915816244226,3.2453481674194338,0.6286939307744085,3.362344980239868,0.6374305137734921,1.1776118183712758,0.16980168566600903,0.20393478207461316,0.02858005283378596,0.05089859165385905,0.01266484288745214,1.1776118183712758,0.16980168566600903,0.20393478207461316,0.02858005283378596,0.05089859165385905,0.01266484288745214
Binary Segmentation AR,217,199,575,72.6010101010101,0.03663878440856934,0.005456832797388662,4.365582418441773,1.2423888588150382,4.402221202850342,1.2450059457557674,0.3553950548705043,0.04386321610262241,0.04455113862390297,0.004466157273455337,0.003541429835199724,0.0007003470340537189,0.3553950548705043,0.04386321610262241,0.04455113862390297,0.004466157273455337,0.003541429835199724,0.0007003470340537189
Binary Segmentation Mean,243,199,549,69.31818181818183,0.5075816631317138,0.0481452294401392,6.206366300582886,2.04450820711253,6.7139479637146,2.0390052464438977,0.32636592181681584,0.14806544904283753,0.04099146231720704,0.013978170369575334,0.0031120859266111885,0.0019138497028624607,0.32636592181681584,0.14806544904283753,0.04099146231720704,0.013978170369575334,0.0031120859266111885,0.0019138497028624607
Binary Segmentation Median,117,199,675,85.22727272727273,0.5075816631317138,0.0481452294401392,2.9994048118591308,0.3210086011150064,3.506986474990845,0.29170120369500313,0.6657567624782471,0.08990598350144578,0.06710866503451901,0.006658380634563928,0.006324896770307419,0.0009709792937841751,0.6657567624782471,0.08990598350144578,0.06710866503451901,0.006658380634563928,0.006324896770307419,0.0009709792937841751
Bottom Up L1,87,199,705,89.01515151515152,0.01805453300476074,0.003346756244831562,4.23557677268982,0.7301298214384307,4.25363130569458,0.7293143143631471,0.21679638987612046,0.05641565220682224,0.06178545049900115,0.017571383488054995,0.00882676337235001,0.00533495373457646,0.21679638987612046,0.05641565220682224,0.06178545049900115,0.017571383488054995,0.00882676337235001,0.00533495373457646
Bottom Up L2,87,199,705,89.01515151515152,0.01028594970703125,0.0005905770320129493,4.64786810874939,0.7002608555526318,4.658154058456421,0.7007634281833761,0.19101175350403832,0.0029994877984356877,0.054320219347070424,0.0018967281689820157,0.006806139275382071,0.0008943927520154978,0.19101175350403832,0.0029994877984356877,0.054320219347070424,0.0018967281689820157,0.006806139275382071,0.0008943927520154978
Bottom Up Normal,122,199,670,84.59595959595958,0.016030168533325194,0.0008656508553271039,3.3331531524658202,1.1558054520840233,3.3491833209991455,1.1558842216689964,0.7855161131813294,0.26021941575906665,0.07800524250201389,0.021092350562365723,0.008475431357819514,0.003298198271568586,0.7855161131813294,0.26021941575906665,0.07800524250201389,0.021092350562365723,0.008475431357819514,0.003298198271568586
Bottom Up RBF,397,199,395,49.87373737373738,0.018269443511962892,0.0021977319521103325,9.119315719604492,1.882028511186223,9.137585163116455,1.8834409958900569,0.1900956066677671,0.013251122938742222,0.02770413572222273,0.001787429808241383,0.0014786455554367905,0.0001873224386381467,0.1900956066677671,0.013251122938742222,0.02770413572222273,0.001787429808241383,0.0014786455554367905,0.0001873224386381467
Bottom Up Cosine,12,199,780,98.48484848484848,0.017182254791259767,0.0008443063150141205,3.0772661209106444,0.22857183359472305,3.094448375701904,0.2290230840000919,1.139271414465983,0.23842267115629776,0.1964060409382294,0.039997879498762566,0.04804469715292011,0.01578142977061781,1.139271414465983,0.23842267115629776,0.1964060409382294,0.039997879498762566,0.04804469715292011,0.01578142977061781
Bottom Up Linear,12,199,780,98.48484848484848,0.008973789215087891,0.0004583206488746291,3.080295467376709,0.2512494640059593,3.089269256591797,0.25148216890286607,1.2387196711748538,0.24924376006633692,0.21408331639018405,0.0427174691943638,0.056065506621355,0.02069412498769487,1.2387196711748538,0.24924376006633692,0.21408331639018405,0.0427174691943638,0.056065506621355,0.02069412498769487
Bottom Up Clinear,437,199,355,44.823232323232325,0.008474779129028321,0.0007683592085371747,10.443463993072509,2.554481365608044,10.451938772201538,2.5546892917337867,0.17360424650544362,0.015887626017237564,0.025369389989384393,0.0017164559718870714,0.0012380294395739552,0.0001613313419871676,0.17360424650544362,0.015887626017237564,0.025369389989384393,0.0017164559718870714,0.0012380294395739552,0.0001613313419871676
Bottom Up Rank,187,199,605,76.38888888888889,0.013946771621704102,0.0013353238240182183,3.8658191680908205,0.7841201933377391,3.8797659397125246,0.7834591003630371,0.3689276879549543,0.06489247687027033,0.04550398460790136,0.006106034131258067,0.0036623416367261145,0.0008934689370614794,0.3689276879549543,0.06489247687027033,0.04550398460790136,0.006106034131258067,0.0036623416367261145,0.0008934689370614794
Bottom Up Mahalanobis,87,199,705,89.01515151515152,0.01014084815979004,0.0010113564710009695,4.554014778137207,0.6097654960901785,4.564155626296997,0.6090487600895463,0.19618293223494881,0.00542314088180425,0.05754001326814373,0.0031640000173936535,0.007828128800033791,0.0013190969278903228,0.19618293223494881,0.00542314088180425,0.05754001326814373,0.0031640000173936535,0.007828128800033791,0.0013190969278903228
Bottom Up AR,522,199,270,34.090909090909086,0.014253997802734375,0.0008385820597631891,13.154429721832276,2.1484833887360386,13.168683719635009,2.148282403297316,0.16472754524089478,0.008625031934389288,0.02469336219472122,0.000912631928335115,0.0011901239241451274,8.401593140682949e-05,0.16472754524089478,0.008625031934389288,0.02469336219472122,0.000912631928335115,0.0011901239241451274,8.401593140682949e-05
Bottom Up Mean,195,199,597,75.37878787878788,0.13561253547668456,0.006942153711671841,5.311843204498291,0.833168254447138,5.447455739974975,0.8339511475089567,0.3475796784746757,0.05403660185364371,0.04382604031461871,0.005311140220211275,0.003431856114342914,0.0007864901374411917,0.3475796784746757,0.05403660185364371,0.04382604031461871,0.005311140220211275,0.003431856114342914,0.0007864901374411917
Bottom Up Median,105,199,687,86.74242424242425,0.13561253547668456,0.006942153711671841,3.5778297424316405,0.4174839522773876,3.7134422779083254,0.41544187510464003,0.37373532985980357,0.013362187848857687,0.057667477395500794,0.00242897350627289,0.006752954780236886,0.0004163107759450741,0.37373532985980357,0.013362187848857687,0.057667477395500794,0.00242897350627289,0.006752954780236886,0.0004163107759450741
