Approach,# Train,# Test,Cut,% Cut,Cut Seconds,Train Seconds,Total Seconds,Pace_MAPE,Pace_MAE,Pace_MSE,Distance_MAPE,Distance_MAE,Distance_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Binary Segmentation Linear,240,76,60,20.0,0.006761074066162109,4.153596878051758,4.16035795211792,0.2443361510115465,0.2375963798101387,0.06081167936383034,0.35303452422476356,0.39518296209033127,0.15704213139010165,0.298685337618155,0.31638967095023496,0.10892690537696598
Binary Segmentation Clinear,255,76,45,15.0,0.006330966949462891,4.355592966079712,4.361923933029175,0.21752143508699945,0.20575614870250986,0.04509820400623954,0.3282390230725921,0.36712509920730246,0.13531562833842714,0.27288022907979576,0.28644062395490616,0.09020691617233334
Binary Segmentation Rank,130,76,170,56.666666666666664,0.007498264312744141,2.7522828578948975,2.7597811222076416,0.1184375970193146,0.10559351302367946,0.015766863791227628,0.09649671721608936,0.10655548270296505,0.016205098772706712,0.10746715711770197,0.10607449786332229,0.015985981281967175
Binary Segmentation Mahalanobis,125,76,175,58.333333333333336,0.006724834442138672,4.543817043304443,4.550541877746582,0.253689303262947,0.24239548147381113,0.061892415442379486,0.20046554884736412,0.22500856380630374,0.05160254792577063,0.22707742605515546,0.23370202264005746,0.05674748168407506
Binary Segmentation AR,125,76,175,58.333333333333336,0.010643959045410156,3.607123851776123,3.617767810821533,0.19473559892117528,0.17903446128195508,0.03456924340188015,0.17850089780067613,0.20022284388640796,0.040746063960733304,0.18661824836092572,0.18962865258418152,0.03765765368130673
Binary Segmentation Mean,176,76,124,41.333333333333336,0.0901331901550293,3.5570058822631836,3.647139072418213,0.254157842245264,0.24516329312462634,0.06397571559195463,0.22183076922916423,0.2486179230015707,0.06247842915194056,0.23799430573721408,0.24689060806309854,0.06322707237194759
Binary Segmentation Median,153,76,147,49.0,0.0901331901550293,2.6083929538726807,2.69852614402771,0.20215834276585357,0.18486199271644266,0.03636526206093731,0.17791368344865127,0.1987079503753407,0.040176604303187716,0.19003601310725243,0.1917849715458917,0.03827093318206251
Bottom Up L1,135,76,165,55.00000000000001,0.006860017776489258,3.543671131134033,3.5505311489105225,0.22324444551800243,0.20592962499770462,0.044276322769199246,0.1848944077389967,0.20725020472652814,0.043463908076155036,0.20406942662849958,0.20658991486211642,0.04387011542267714
Bottom Up L2,135,76,165,55.00000000000001,0.0041429996490478516,3.811845064163208,3.815988063812256,0.23068800891202498,0.21626151312745032,0.04900807183999369,0.1505942188945784,0.16878224464528946,0.028860009980366235,0.19064111390330174,0.1925218788863699,0.03893404091017997
Bottom Up Normal,135,76,165,55.00000000000001,0.00952911376953125,2.8357841968536377,2.845313310623169,0.15370538394045175,0.1314441182972718,0.02030986317467497,0.05002608711816311,0.055389183035315606,0.004725669266826236,0.10186573552930744,0.09341665066629369,0.012517766220750608
Bottom Up RBF,135,76,165,55.00000000000001,0.005004167556762695,3.8287107944488525,3.8337149620056152,0.21132178109911628,0.19560598563249457,0.040398275756947065,0.21206709773405494,0.2377191713764544,0.05720960411702142,0.21169443941658567,0.2166625785044745,0.048803939936984245
Bottom Up Cosine,285,76,15,5.0,0.0029668807983398438,3.5304181575775146,3.5333850383758545,0.19237118737137485,0.17671890894364514,0.03401849679749001,0.44588278615628435,0.498920300819858,0.24996026759200007,0.31912698676382956,0.3378196048817516,0.14198938219474505
Bottom Up Linear,245,76,55,18.333333333333332,0.0044748783111572266,3.3042550086975098,3.308729887008667,0.26501492971472773,0.2569361606867407,0.07065367848075516,0.3069119200275035,0.34311766650464365,0.11825523549460275,0.2859634248711157,0.30002691359569217,0.09445445698767896
Bottom Up Clinear,245,76,55,18.333333333333332,0.0032842159271240234,2.8221681118011475,2.8254523277282715,0.15776242394697876,0.13695065280458096,0.022748455082702335,0.32760964845638973,0.36553348242471323,0.13554668783852836,0.24268603620168427,0.25124206761464707,0.07914757146061532
Bottom Up Rank,125,76,175,58.333333333333336,0.005760908126831055,4.118112087249756,4.123872995376587,0.22961290202425264,0.21690333680622714,0.049538766467250236,0.20256753998561922,0.22729989851829077,0.05255498321573302,0.2160902210049359,0.222101617662259,0.05104687484149163
Bottom Up Mahalanobis,125,76,175,58.333333333333336,0.0031096935272216797,4.264337778091431,4.267447471618652,0.23868084942128256,0.22580166584996106,0.05342335090084409,0.1634971352306495,0.18331042761486654,0.034044545512969246,0.201088992325966,0.2045560467324138,0.04373394820690668
Bottom Up AR,150,76,150,50.0,0.00646519660949707,3.2396399974823,3.246105194091797,0.20476476116200384,0.1874882917107005,0.0372861622697589,0.19427190371431152,0.21717587597226895,0.04795495030924713,0.19951833243815764,0.20233208384148477,0.04262055628950301
Bottom Up Mean,172,76,128,42.66666666666667,0.05159807205200195,3.3281023502349854,3.3797004222869873,0.224195724361036,0.2156558763787356,0.04988838538333157,0.2123224520536974,0.23785123799256802,0.0571210871518177,0.21825908820736672,0.22675355718565188,0.05350473626757464
Bottom Up Median,135,76,165,55.00000000000001,0.05159807205200195,3.7819299697875977,3.8335280418395996,0.22984291085720016,0.2192908768702234,0.05109015846894178,0.2107804456337857,0.23614137941611132,0.05632499807670798,0.22031167824549294,0.22771612814316738,0.05370757827282488
