Approach,# Train,# Test,Cut,% Cut,Avg Cut Seconds,Std Cut Seconds,Avg HPO Seconds,Std HPO Seconds,Avg Train Seconds,Std Train Seconds,Avg Total Seconds,Std Total Seconds,Avg Close_MAPE,Std Close_MAPE,Avg Close_MAE,Std Close_MAE,Avg Close_MSE,Std Close_MSE,Avg Volume_MAPE,Std Volume_MAPE,Avg Volume_MAE,Std Volume_MAE,Avg Volume_MSE,Std Volume_MSE,Avg Avg_MAPE,Std Avg_MAPE,Avg Avg_MAE,Std Avg_MAE,Avg Avg_MSE,Std Avg_MSE
Window Median,180,125,317,63.78269617706237,0.2126607894897461,0.1184882693505212,394.349866771698,142.99202141457002,4.566011381149292,1.838550874231984,399.12853894233706,144.83855779306666,0.126565734816956,0.03442761848794355,0.0434327433033051,0.009758732578200847,0.0026988319606376238,0.0011766509449412715,0.4731524180986919,0.017830480070491067,0.023029087723159893,0.003212841136309279,0.0011338649640801545,0.00010077614566628585,0.2998590764578239,0.01866472794074198,0.03323091551323249,0.0049779186380037,0.0019163484623588895,0.0005774540192562298
Binary Segmentation L1,412,125,85,17.102615694164992,0.048204231262207034,0.039736049300143794,414.0625874042511,146.81623871567157,3.7304357528686523,0.510187378126465,417.841227388382,147.31550297284485,0.12157654754736946,0.02927594548005857,0.03375755844230943,0.0070805343975890705,0.0016367695130626127,0.0006277356140652087,0.4551148156913479,0.041141311646173434,0.02404336428289473,0.007756625634345234,0.001133851665165092,0.00035521471616554637,0.2883456816193587,0.01924598879337408,0.02890046136260208,0.003735740494479992,0.0013853105891138524,0.00030993383883856916
Binary Segmentation L2,452,125,45,9.054325955734406,0.01448817253112793,0.0025950327485273514,406.5934135913849,99.79571957175924,4.212481737136841,0.9261716172846107,410.82038350105285,100.46861628860658,0.16462840352160685,0.04251100156133668,0.04372032674998526,0.009284718621877377,0.002655076486925018,0.0010968393570244094,0.4481509116900807,0.030285957437600472,0.02351517598671671,0.004706997927642659,0.001062777405908471,0.00018037697571904752,0.3063896576058438,0.03152652905099086,0.03361775136835098,0.006033396472924035,0.0018589269464167446,0.0006022517386456827
Binary Segmentation Normal,172,125,325,65.3923541247485,0.04212079048156738,0.011654608811238353,347.1351424694061,62.70838792651078,4.209791135787964,1.001484245302613,351.38705439567565,63.668462077236555,0.11244919910531224,0.030352883718957578,0.0832930991435084,0.020048668257275973,0.009892870350492236,0.0043354049852844315,0.48037922814374606,0.017881898547012113,0.0736399554148755,0.004485143400824783,0.01697794184547354,0.00048543161963005265,0.2964142136245291,0.023358019314527693,0.07846652727919196,0.011849731174075144,0.013435406097982888,0.002397848311820952
Binary Segmentation RBF,402,125,95,19.114688128772634,0.03764462471008301,0.009092814538552475,373.01980142593385,69.25960012195064,3.200301504135132,0.2866681013533553,376.25774755477903,69.17741514200559,0.14500293636519684,0.027319869758094327,0.04366552398199065,0.010486750292230345,0.0028854939066867515,0.0014523520819716578,0.5469359894571564,0.17710889386890655,0.025542257015133216,0.005460129172791185,0.0011932717369850026,0.00017707052790621907,0.34596946291117664,0.0858512071672854,0.03460389049856193,0.006615832602837468,0.002039382821835877,0.0007688024460347939
Binary Segmentation Cosine,22,125,475,95.57344064386318,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Binary Segmentation Linear,342,125,155,31.18712273641851,0.017144060134887694,0.004843377275636702,351.20195589065554,48.74092907885805,4.4123108863830565,0.9172334053435031,355.63141083717346,49.39454089223653,0.10704588635714872,0.024645931591029364,0.03233810876392602,0.007853605800414835,0.0016706426141042232,0.0007463677632445057,0.4745737158829362,0.03965116564911922,0.025586473315492103,0.009724840028057805,0.001281874232242035,0.000488147426148186,0.29080980112004245,0.025597416186603227,0.028962291039709053,0.008018720896448213,0.0014762584231731292,0.0005168862821933419
Binary Segmentation Clinear,337,125,160,32.19315895372233,0.014247989654541016,0.0033646423613704767,357.32738652229307,75.06493780312937,4.748166275024414,1.040514593222316,362.08980078697203,75.84821557756676,0.10892831545784143,0.055312301277934385,0.03098950674704344,0.01315243051983094,0.0015538854589479314,0.0012068079567257516,0.5024646912640741,0.03229359030824205,0.027946068630170073,0.010539070951902253,0.001420332733243832,0.00042889194630363824,0.30569650336095777,0.02636529427247559,0.029467787688606757,0.008084076901580228,0.0014871090960958816,0.0005826850989009336
Binary Segmentation Rank,367,125,130,26.156941649899395,0.024745845794677736,0.009035585344205552,374.21589279174805,60.07373313316676,3.8303004264831544,0.4698147691235983,378.0709390640259,60.32950853743208,0.10580788562833217,0.03887307954151781,0.02988344777952801,0.009356947164875694,0.0013588940275277533,0.0007899459069831438,0.5508899522399542,0.08434466416642346,0.023891851477260105,0.010863563622676726,0.0013481229265027762,0.0004971715292630102,0.3283489189341432,0.058057100753256694,0.02688764962839405,0.006024114613798211,0.0013535084770152648,0.000441860652668886
Binary Segmentation Mahalanobis,297,125,200,40.24144869215292,0.029497814178466798,0.004697859387917635,336.6512309551239,46.55511497489555,4.2695718765258786,0.9453684442596862,340.95030064582824,47.491773690819024,0.11982587093673805,0.03503765294668623,0.03349784847957769,0.008404415679800053,0.0016730055897475828,0.000736377183312016,5.536003180082,11.158995047869599,0.02277290706856174,0.011263073023021328,0.0014740776928549584,0.0007838255808103939,2.8279145255093696,5.572825457602138,0.028135377774069714,0.005649931024772012,0.001573541641301271,0.00042841461095405043
Binary Segmentation AR,317,125,180,36.21730382293762,0.027396440505981445,0.005091984251189733,339.9923470020294,44.42741946706166,4.213130092620849,1.0504150196343127,344.2328735351563,45.3519506856767,0.12320853623589799,0.08158035159527503,0.03382687563928186,0.017993140009799867,0.0018957039797677878,0.0018686316495144257,0.579558193444762,0.11969427886066508,0.025268128579800268,0.011590597858957248,0.0014415419699883264,0.0005469678276643434,0.35138336484032995,0.09953887398640672,0.029547502109541064,0.008632778009935156,0.0016686229748780568,0.0009292581513937588
Binary Segmentation Mean,312,125,185,37.223340040241446,0.25548996925354006,0.0798781864591292,348.24627776145934,46.28691224621546,4.0079779624938965,0.7069393808780684,352.5097456932068,46.87460210322932,0.11665811209068576,0.033591358016078696,0.032481781260815426,0.008383142076405822,0.0015638714898558081,0.00069238870208113,0.5551539474689188,0.17692934279179257,0.023783730042988373,0.008162848738299148,0.0012638890584865318,0.0003361368969250761,0.3359060297798023,0.07861312623453433,0.028132755651901896,0.007395122146219478,0.0014138802741711699,0.000438411448729989
Binary Segmentation Median,340,125,157,31.58953722334004,0.25548996925354006,0.0798781864591292,355.93450412750246,48.53250449839717,4.367575788497925,1.011877074824014,360.5575698852539,49.55819466909474,0.10424902808612392,0.025037895692523876,0.029723415829532227,0.006202349089048933,0.001321071999590554,0.00047464776285508024,10.192024065105008,21.657739988993033,0.0334838154760687,0.009846754430611627,0.0017854087649448872,0.0006087862407296322,5.148136546595564,10.822355790357035,0.031603615652800454,0.006071729514052361,0.0015532403822677203,0.00035802918469893957
Bottom Up L1,407,125,90,18.10865191146881,0.014588403701782226,0.004686251728515209,361.2253505706787,47.2179854195202,3.244550275802612,0.38301351578735404,364.4844892501831,47.324417355644975,0.11213511064988828,0.012859948564463004,0.032009833616826515,0.002898918659249731,0.001527117103539481,0.00021426628365817267,0.4669704299356754,0.041739909543253045,0.026129574899577523,0.007481502892647938,0.0011827801110000425,0.00030311084487076264,0.28955277029278187,0.021771521053000793,0.029069704258202014,0.00397888787968583,0.0013549486072697615,0.00020967196327119591
Bottom Up L2,172,125,325,65.3923541247485,0.009007930755615234,0.0061081462575821675,332.7263372898102,39.50829130737891,3.419964599609375,0.3077334300337562,336.15530982017515,39.44396129981252,0.14234053035956545,0.07811254489617588,0.10026634309947151,0.04488431337722303,0.014919978701658971,0.013351979517625283,0.4884429405736614,0.050279334112912404,0.07733767850850984,0.00544220605087454,0.01714271303009452,0.0008385220816404797,0.31539173546661337,0.06390828656870864,0.08880201080399067,0.020670486192351265,0.016031345865876744,0.007074024906389054
Bottom Up Normal,172,125,325,65.3923541247485,0.017670583724975587,0.003615454641946199,314.33494834899903,11.827312321853192,4.078211879730224,0.7407382789967772,318.43083081245425,12.534027936383383,0.1346961539793791,0.043260168011701086,0.09715269848629157,0.02605860483469093,0.012928644230876751,0.006370116641854224,0.4800522882693923,0.008188352626121194,0.08181285138258468,0.011622396603425993,0.017557533047915543,0.0007433606506480576,0.3073742211243857,0.023798200916691686,0.08948277493443814,0.015268287501811181,0.015243088639396149,0.0032794542755282974
Bottom Up RBF,357,125,140,28.169014084507044,0.016887950897216796,0.005307938484076251,327.31953010559084,16.08583332841387,3.932669162750244,0.9048754118678243,331.26908721923826,16.88428845912595,0.11524452748744013,0.03404772233512531,0.03390028315935645,0.008681833786520246,0.001735617823918234,0.0007390702183856912,0.8209414918736045,0.5527699342738064,0.027824006172891883,0.014564776978140282,0.0016875411180681025,0.0008741704862868304,0.4680930096805223,0.274229813439625,0.030862144666124167,0.00437498836077173,0.001711579470993168,0.00025823510998079357
