Approach,# Train,# Test,Cut,% Cut,Cut Seconds,Train Seconds,Total Seconds,x_MAPE,x_MAE,x_MSE,y_MAPE,y_MAE,y_MSE,sin(theta)_MAPE,sin(theta)_MAE,sin(theta)_MSE,cos(theta)_MAPE,cos(theta)_MAE,cos(theta)_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Binary Segmentation L1,312,122,175,35.93429158110883,0.028989791870117188,3.7688210010528564,3.7978107929229736,0.0481517462477236,0.04550790831458783,0.0035869138476120805,0.0593575543576165,0.04945688825737655,0.003348937240537167,0.9513594191085364,0.45118219206955634,0.2666734838471032,0.6527829368328432,0.4609794404961352,0.2952286539082848,0.42791291413667976,0.25178160728441407,0.1422094972108843
Binary Segmentation L2,257,122,230,47.227926078028744,0.01019906997680664,3.7801620960235596,3.790361166000366,0.045011022466055796,0.04195444139619275,0.0026365975812153264,0.04815935770273994,0.04030015589184377,0.00224366076412739,0.8364901562797054,0.447881053548094,0.2585457903747365,0.6797398457396632,0.46090180630024696,0.2953381009785158,0.40235009554704104,0.24775936428409445,0.13969103742464872
Binary Segmentation Normal,97,122,390,80.08213552361396,0.03240203857421875,3.0499019622802734,3.082304000854492,0.03153308767385413,0.02890424785112991,0.0011477232637420783,0.052071377722396346,0.045811189977344645,0.0028940172553182575,0.9974788853554389,0.4823436828256304,0.305521217696064,0.763243926213218,0.5169570751831769,0.3486629261431139,0.4610818192412269,0.2685040489593206,0.1645564710895595
Binary Segmentation RBF,257,122,230,47.227926078028744,0.02414703369140625,3.370999813079834,3.3951468467712402,0.043273218265126,0.039629187917711736,0.002117454457599614,0.04927893778237299,0.04188347075182448,0.0025215655688498755,0.9263545708175975,0.4364474055402786,0.25845522032004387,0.6819690540363038,0.46289289130483485,0.3017371229588555,0.4252189452253501,0.24521323887866248,0.14120784082633722
Binary Segmentation Cosine,312,122,175,35.93429158110883,0.01663684844970703,4.617703914642334,4.634340763092041,0.05059767361415141,0.04785239457411439,0.003351243952085987,0.04668505550406016,0.03849053246998533,0.002080981324667181,0.7398459919128715,0.42170940810455426,0.2270987452551685,0.6537161095644641,0.44696603730618534,0.29583835528602515,0.37271120764888677,0.2387545931137099,0.13209233145448673
Binary Segmentation Linear,312,122,175,35.93429158110883,0.01548314094543457,3.299032211303711,3.3145153522491455,0.03284883047476936,0.031074249536400048,0.001508004579544468,0.06414855613823182,0.05264021405760805,0.004080195757946781,0.856235906948886,0.4631463182048699,0.28169958943763557,0.7208887214047094,0.494813247431898,0.34521776844038377,0.41853050374164913,0.26041850730769406,0.15812638955387764
Binary Segmentation Clinear,407,122,80,16.427104722792606,0.009207963943481445,3.847978115081787,3.8571860790252686,0.07937344939308244,0.0754234483778893,0.008185338888448579,0.06717186238557914,0.05067447175268699,0.003733052216058539,0.9699245180747407,0.45203438836808635,0.2798167019616938,0.7318519037038478,0.4876905192375954,0.30157385498453815,0.46208043338931254,0.2664557069340646,0.14832723701268472
Binary Segmentation Rank,312,122,175,35.93429158110883,0.011403083801269531,4.255079984664917,4.2664830684661865,0.057073795308016956,0.053705032850520626,0.00375752177131761,0.07772831713746413,0.06340295639176009,0.005329692798705362,0.9550566791880603,0.45938307609783197,0.27978260981495673,0.6854415492272372,0.4873409116417355,0.3196676025553574,0.4438250852151947,0.26595799424546207,0.1521343567350843
Binary Segmentation Mahalanobis,312,122,175,35.93429158110883,0.018697023391723633,3.491337776184082,3.5100347995758057,0.05210240189940326,0.049374782042905026,0.003659929317296833,0.06346990344753727,0.052578313920089555,0.0038515912130801513,0.8398759906280574,0.44930951443665856,0.2578098149517158,0.7208907343495857,0.501250327042211,0.3223828505749921,0.41908475758114594,0.2631282343604661,0.14692604651427124
Binary Segmentation AR,312,122,175,35.93429158110883,0.019526004791259766,4.064479112625122,4.084005117416382,0.05177543308219855,0.04894105133895216,0.0037002926297642225,0.0520729019804592,0.042847641677369895,0.0025660842599489293,0.8802444956840961,0.4413942818876963,0.2626214777764268,0.6590315467479813,0.4462140045010566,0.29503781824774983,0.4107810943736838,0.2448492448512688,0.1409814182284724
Binary Segmentation Mean,289,122,198,40.6570841889117,0.1866919994354248,6.3499932289123535,6.536685228347778,0.041512149801606966,0.03870859595704473,0.0019560299175556363,0.060437895816987615,0.049763001172333746,0.0033517404447913996,0.887932281225215,0.4525483169887782,0.26685712736382305,0.7095552871974974,0.4588493551656965,0.3249479807965561,0.42485940351032675,0.2499673173209634,0.14927821963068155
Binary Segmentation Median,312,122,175,35.93429158110883,0.1866919994354248,4.233469247817993,4.420161247253418,0.05513186000132848,0.05212958671793141,0.004001890702077603,0.04401203568646303,0.0370225880141599,0.0018646347085975535,0.8821658828730722,0.4705326873782226,0.2845513562600434,0.6777865175215071,0.4654339553211604,0.30900212869265836,0.4147740740205925,0.25627970435786873,0.14985500259084428
Bottom Up L1,242,122,245,50.308008213552355,0.009751081466674805,3.2920191287994385,3.3017702102661133,0.05315358521900316,0.04907415624951159,0.0032147426571025456,0.06708547604932295,0.056446007218247767,0.004387923114182084,0.7934642319262042,0.45881834559846785,0.268948076533974,0.704815100482828,0.48753292937979653,0.33199116438836757,0.40462959841933965,0.262967859611506,0.15213547667340657
Bottom Up L2,242,122,245,50.308008213552355,0.004417896270751953,4.424919843673706,4.429337739944458,0.04899279748845394,0.04632467016145036,0.003157696006945214,0.04186707523356979,0.034761588515279544,0.00171644032664059,0.7758673471322742,0.44451557290050253,0.25352593266088386,0.687373806517205,0.4700545879785477,0.3093865407719339,0.38852525659287573,0.2489141048889451,0.14194665244160087
Bottom Up Normal,262,122,225,46.201232032854215,0.009891748428344727,4.2609169483184814,4.270808696746826,0.04397500656726228,0.041578967533146355,0.002627449066503157,0.03116620394188658,0.026484289925909114,0.0010522496651835004,0.9287599886594716,0.4291467536339676,0.24762218931437835,0.7343550937088872,0.5181212095401394,0.3565548778546077,0.43456407321937696,0.25383280515829076,0.15196419147516818
Bottom Up RBF,242,122,245,50.308008213552355,0.006289005279541016,3.9469728469848633,3.9532618522644043,0.03908681890652679,0.03645655923577929,0.001911713091040859,0.04494757023379815,0.03744748859910568,0.0018885840628797266,0.8289113848044699,0.4260236570957626,0.23406168989932102,0.7060165824687828,0.4757647568538502,0.3186433606045484,0.4047405891033945,0.24392311544612455,0.13912633691444748
Bottom Up Cosine,322,122,165,33.880903490759756,0.005233287811279297,3.881891965866089,3.887125253677368,0.050191188015608415,0.04682838970807927,0.0032826708621068548,0.039204680195345995,0.030956193657214037,0.0014581839643557012,0.919809445881138,0.45242716174689673,0.2728476463802986,0.7156760477903317,0.48097185298219364,0.29532990662698466,0.4312203404706061,0.25279589952359605,0.14322960195843648
Bottom Up Linear,322,122,165,33.880903490759756,0.005296945571899414,3.846998929977417,3.8522958755493164,0.05213494907126484,0.04954619248280724,0.0037202602727272878,0.055569647003221166,0.04317791378883906,0.002551943543094108,0.9322314140404813,0.45658158832893453,0.27923140310289546,0.6239192180557656,0.427705184583395,0.2519323886292397,0.4159638070426832,0.24425271979599403,0.13435899888698916
Bottom Up Clinear,322,122,165,33.880903490759756,0.003690958023071289,4.256946802139282,4.2606377601623535,0.05596794319247265,0.052752030965274053,0.003848384396961138,0.05728315846559605,0.04420136418011276,0.003000353178133678,0.8939062789655677,0.4283864274899972,0.24603456153920106,0.6466019796806622,0.45036817582098143,0.27799135597916197,0.4134398400760746,0.24392699961409142,0.13271866377336447
Bottom Up Rank,307,122,180,36.96098562628337,0.005532026290893555,4.088531017303467,4.09406304359436,0.06049030035740498,0.0576882128422347,0.0058227527585345195,0.044365900381764835,0.03704668626682929,0.0018802271586066334,0.858704562074848,0.453695349797984,0.2679625746414104,0.6990529042078055,0.48631263796598273,0.33064937738532907,0.41565341675545586,0.25868572171825777,0.1515787329859702
Bottom Up Mahalanobis,307,122,180,36.96098562628337,0.005164146423339844,4.064441919326782,4.069606065750122,0.04324954227600376,0.04100402331811322,0.002418623054732407,0.03956084455806208,0.03447219688709757,0.0017244391111458097,0.8015229571916913,0.45597389696384205,0.2640115517771513,0.6754067311049174,0.4676593194694808,0.2859734598326129,0.3899350187826687,0.2497773591596335,0.1385320184439106
Bottom Up AR,307,122,180,36.96098562628337,0.006000995635986328,5.01629114151001,5.022292137145996,0.04917422202408004,0.04662407070353835,0.003357672902178439,0.05819127727945917,0.047365849916573846,0.003315523225680605,0.9513258908068288,0.46723343633868925,0.2910337602449121,0.6375369218608581,0.4458819387924042,0.2787020268773097,0.42405707799280656,0.25177632393780147,0.14410224581252018
Bottom Up Mean,288,122,199,40.86242299794661,0.06126809120178223,3.7654969692230225,3.8267650604248047,0.040234661393947956,0.036961940889810876,0.001774032942473654,0.0634365895855501,0.052035514350136404,0.003754687134017234,0.8857887806598143,0.46609695185031075,0.282620805195164,0.6630572607985054,0.4458208329808549,0.30100630290238295,0.4131293231094545,0.2502288100177783,0.14728895704350944
Bottom Up Median,307,122,180,36.96098562628337,0.06126809120178223,4.021887302398682,4.083155393600464,0.05470598308575701,0.051465194702894526,0.0036070003030579216,0.0744023371435873,0.06113426040864891,0.005311506553138177,0.7852492559109034,0.4548955952380712,0.2602158849327991,0.651915962051467,0.44723920208621387,0.2776336634628134,0.39156838454792875,0.25368356310895723,0.13669201381295215
