Approach,# Train,# Test,Cut,% Cut,Cut Seconds,HPO Seconds,Train Seconds,Total Seconds,Close_MAPE,Close_MAE,Close_MSE,Volume_MAPE,Volume_MAE,Volume_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Binary Segmentation RBF,402,125,95,19.114688128772634,0.04990410804748535,494.77929306030273,3.008450746536255,497.8376479148865,0.11674921494736828,0.033127261410308646,0.0015910072187148702,0.48356906622051005,0.029977605558766104,0.0012567755020099715,0.3001591405839392,0.03155243348453736,0.001423891360362421
Binary Segmentation Cosine,22,125,475,95.57344064386318,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Binary Segmentation Linear,342,125,155,31.18712273641851,0.024625062942504883,434.3397901058197,5.548417091369629,439.91283226013184,0.08318111200296543,0.025077433874590847,0.00103350739283744,0.45810541869641264,0.018185083634704568,0.0010435032514440553,0.27064326534968897,0.021631258754647706,0.0010385053221407476
Binary Segmentation Clinear,337,125,160,32.19315895372233,0.01835918426513672,487.6577298641205,5.908354759216309,493.58444380760193,0.06692229106498694,0.01968948676200429,0.000617500600657567,0.4639591029575511,0.018470611684635183,0.001052297889017448,0.26544069701126893,0.01908004922331974,0.0008348992448375077
Binary Segmentation Rank,367,125,130,26.156941649899395,0.03458809852600098,458.62128496170044,4.573119878768921,463.22899293899536,0.17402908051335847,0.04638031749300219,0.002760365459520253,0.679817546090387,0.018929180224456516,0.0012713226143387436,0.4269233133018727,0.03265474885872935,0.002015844036929498
Binary Segmentation Mahalanobis,297,125,200,40.24144869215292,0.03470802307128906,419.19080686569214,5.8895182609558105,425.11503314971924,0.08905735869641654,0.02598757735208972,0.001038072435039272,0.48327891137717405,0.017613205409767428,0.0010734426594013198,0.28616813503679533,0.021800391380928572,0.0010557575472202956
Binary Segmentation AR,317,125,180,36.21730382293762,0.031980037689208984,418.03550004959106,5.926336050033569,423.99381613731384,0.09352151366811355,0.027196278373775484,0.0011339582005427205,0.5578935753527556,0.01759915718058281,0.001160741853033046,0.3257075445104346,0.022397717777179145,0.0011473500267878828
Binary Segmentation Mean,312,125,185,37.223340040241446,0.39459824562072754,403.41338181495667,4.075573921203613,407.883553981781,0.11569643985800318,0.03207211020210474,0.0014606534349363906,0.47729048795009615,0.016210956398624316,0.0009789392409251631,0.2964934639040496,0.02414153330036453,0.0012197963379307769
Binary Segmentation Median,340,125,157,31.58953722334004,0.39459824562072754,434.02683091163635,6.012727975845337,440.4341571331024,0.09910381577746656,0.028463926651045152,0.001222104256786213,0.45740699790028666,0.01671182167271356,0.0009946387946006307,0.27825540683887656,0.022587874161879348,0.0011083715256934214
Bottom Up L1,407,125,90,18.10865191146881,0.021541118621826172,438.6711218357086,3.1728038787841797,441.8654668331146,0.11377733889236939,0.032770157494984506,0.0016255598270775967,0.5134797331213792,0.034843620279069024,0.0015559352039531131,0.31362853600687435,0.033806888887026765,0.0015907475155153546
Bottom Up L2,172,125,325,65.3923541247485,0.019923925399780273,401.37617778778076,3.318568229675293,404.71466994285583,0.11508535053715226,0.08560464047973969,0.009875814028008089,0.45492102813444363,0.08546515591027422,0.017030472600866646,0.28500318933579794,0.08553489819500697,0.013453143314437366
Bottom Up Normal,172,125,325,65.3923541247485,0.019156932830810547,324.66193890571594,4.4916181564331055,329.17271399497986,0.11819363148750692,0.08747093716758149,0.010202231086563152,0.4664387051416021,0.08971302912061044,0.01764375235982536,0.29231616831455465,0.08859198314409597,0.01392299172319426
Bottom Up RBF,357,125,140,28.169014084507044,0.02136397361755371,351.9316940307617,5.539305925369263,357.49236392974854,0.07696166787853828,0.022837882497827467,0.0008432907393847468,0.5882616293734423,0.05295923033827286,0.0031504415509491556,0.33261164862599046,0.037898556418050164,0.0019968661451669513
Bottom Up Cosine,232,125,265,53.31991951710262,0.020397186279296875,313.3893942832947,3.534499168395996,316.94429063796997,0.31295597286128424,0.07235150180009738,0.00695297534310285,0.4141309166148828,0.019399806557802008,0.0009168320585825316,0.3635434447380835,0.04587565417894969,0.003934903700842692
Bottom Up Linear,187,125,310,62.37424547283702,0.005369901657104492,320.791552066803,4.853116273880005,325.6500382423401,0.11629119280077198,0.03691250974167596,0.0018412632166678834,0.48861200664566,0.028270918025138186,0.0012873923019132913,0.302451599723216,0.032591713883407064,0.0015643277592905876
Bottom Up Clinear,297,125,200,40.24144869215292,0.009905815124511719,406.8121280670166,5.836430072784424,412.65846395492554,0.18064953392416477,0.04744825187249889,0.0030704183336089283,0.4533830598438164,0.019089774971547797,0.0009986093093555088,0.3170162968839906,0.03326901342202335,0.0020345138214822186
Bottom Up Rank,297,125,200,40.24144869215292,0.018102169036865234,450.6576581001282,5.614304065704346,456.2900643348694,0.1164787074911947,0.032564642987367026,0.001519428687991456,0.6113468443944996,0.01750588736460442,0.0011584330161282916,0.36391277594284727,0.02503526517598572,0.001338930852059874
Bottom Up Mahalanobis,257,125,240,48.2897384305835,0.017255067825317383,479.4280831813812,5.024121046066284,484.4694592952728,0.09500411047998034,0.028218877955640716,0.001264060567842703,0.5283440198287944,0.03842044778316104,0.0018257819756095828,0.3116740651543873,0.03331966286940087,0.0015449212717261423
Bottom Up AR,357,125,140,28.169014084507044,0.018986940383911133,462.09452295303345,5.525245189666748,467.6387550830841,0.10105366845071234,0.029120944614574006,0.0012697584607219343,0.44810708484543504,0.023398528165377946,0.0010789980037058686,0.2745803766480738,0.02625973638997597,0.0011743782322139007
Bottom Up Mean,274,125,223,44.8692152917505,0.17200303077697754,404.6031858921051,10.756912231445312,415.5321011543274,0.1904008981422665,0.050127838109503095,0.003241486695936548,0.4453290239117825,0.019200094734777882,0.0010292896699261634,0.31786496102702455,0.034663966422140494,0.002135388182931355
Bottom Up Median,277,125,220,44.26559356136821,0.17200303077697754,484.079962015152,4.2974278926849365,488.5493929386139,0.0961163478404674,0.027884913587812026,0.0011879605394743032,0.6860055123419186,0.018589116397516082,0.001271908407708822,0.391060930091193,0.02323701499266405,0.0012299344735915625
