Approach,# Train,# Test,Cut,% Cut,Cut Seconds,Train Seconds,Total Seconds,DEWP_MAPE,DEWP_MAE,DEWP_MSE,TEMP_MAPE,TEMP_MAE,TEMP_MSE,PRES_MAPE,PRES_MAE,PRES_MSE,Iws_MAPE,Iws_MAE,Iws_MSE,Is_MAPE,Is_MAE,Is_MSE,Ir_MAPE,Ir_MAE,Ir_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Window Mahalanobis,34989,8765,70,0.19966342451296384,62.49771785736084,233.07918691635132,295.57690477371216,4124313087868.856,0.2789609315374107,0.10171948343482513,25808065613594.2,0.18363755047596783,0.0451296761175229,0.006260813709534014,0.006099889064383279,5.3842766539197416e-05,7.199084960027639,0.03525044264924879,0.0035229484383625742,2683144711742.089,0.001988257205412158,0.0008242239853076715,35772073121365.02,0.010870312547388176,0.0006244710331705831,11397932755762.684,0.08613456391329989,0.02531244096262131
Window AR,10094,8765,24965,71.2085341852306,1.231158971786499,39.56921315193176,40.80037212371826,2740751819551.519,0.2712003208536703,0.0963855338878705,27941069746434.47,0.1925024639771159,0.05064780081737588,0.006892041315355555,0.006708828552501589,7.041962717045328e-05,8.241938680529335,0.0462171334029372,0.005473930396500288,13863508628878.707,0.004691711783047923,0.0011230523817154447,15952275670421.28,0.008215528456428282,0.0012980984197374708,10082934310882.164,0.08825599783761597,0.025833139255061744
Window Mean,23891,8765,11168,31.854873213725433,1074.81480884552,150.56169295310974,1225.3765017986298,7101497758288.88,0.2793362503843834,0.10310796747852986,34866799504222.496,0.2045020038322522,0.05608266822504598,0.006473817076934425,0.006293579664481221,5.5270552172111905e-05,5.524587181786968,0.037215942984453264,0.005140921771726823,9491092234178.27,0.0035369604060059455,0.0008710690801961024,17912221502497.47,0.007474020131616733,0.000775575724039045,11561935166531.87,0.08972645956719798,0.02767224547195166
Window Median,26294,8765,8765,25.000713083658976,1074.81480884552,179.83914804458618,1254.6539568901062,1191846636179.64,0.2613462265498383,0.08940529932662462,25628365040751.3,0.19464973108091896,0.05098072941737177,0.0037381096456031017,0.0036389111496932416,2.1031975317865186e-05,7.368175417406564,0.04268161628072541,0.005017178880232422,11360106929111.549,0.0039390872026237285,0.000869004712993629,9908712623665.02,0.005697635777224877,0.0007541972623043388,8014838538285.691,0.08532553467350339,0.024507906929140785
Binary Segmentation L1,32959,8765,2100,5.989902735388916,28.96329617500305,281.58043003082275,310.5437262058258,7028609573439.088,0.27293279161597983,0.09884991388346363,28845959285682.53,0.17530771114699392,0.041368790811962715,0.005230804914268628,0.005097967355472865,3.9275639236382054e-05,7.408045006015246,0.03528037236838502,0.003325556937602414,12365978090805.379,0.004101124598601499,0.0007903387219200589,16138514965409.791,0.006688950249272756,0.0006027979980991052,10729843652557.148,0.08323481955578325,0.024162778998714076
Binary Segmentation L2,22659,8765,12400,35.3689494851536,5.4233739376068115,136.19423413276672,141.61760807037354,7804507895503.394,0.2765563446750046,0.10220364408166611,31771741692610.637,0.19398842849980558,0.05065573530585412,0.009437417336137148,0.009206772820540098,0.00011610781796735222,4.249109756136467,0.03419840176014581,0.005292625342832787,5846647383686.58,0.0027594996502830296,0.0009064711126056294,15571408388395.35,0.006996823041749806,0.0007959228107735922,10165717560033.143,0.08728437840792087,0.02666175107861662
Binary Segmentation Normal,6874,8765,28185,80.39305171282695,10.726282835006714,31.186814069747925,41.91309690475464,17571078437019.828,0.29086646240794817,0.1220337697060701,47276114451144.34,0.2091980269779645,0.06454936443461794,0.017013493263562253,0.016783796366519745,0.0019228467662555503,5.577164671267978,0.038095676571487304,0.005193326715691667,11183758815552.836,0.036351682532337955,0.49409200184742,31419382769930.145,0.011910019700487107,0.001798081879213972,17908389078941.79,0.10053427742612271,0.11493156522487823
Binary Segmentation RBF,32964,8765,2095,5.9756410622094185,15080.165619373322,150.94797110557556,15231.113590478897,5326386876223.105,0.26671699048121805,0.09432681716443003,26756840112492.188,0.17676420712342245,0.042380752917236975,0.0072533329643624245,0.007050809077223072,7.248912727361345e-05,5.685691508462453,0.03231523047439412,0.0037759127327499403,10653510308241.28,0.003768310867306113,0.0008456466893794933,15569584440848.75,0.006634865128079902,0.0006432410008844898,9717720289634.963,0.08220840219193946,0.023674143271992534
Binary Segmentation Cosine,22659,8765,12400,35.3689494851536,6601.159957885742,147.56018900871277,6748.720146894455,9851007740994.041,0.26317563268210953,0.09405279902207246,32095402602092.36,0.19146392886359098,0.0496684495319538,0.005337810634621372,0.005201147424604368,4.1944922801036035e-05,4.912793804119482,0.035446432525146926,0.005089103413150907,6318650796290.635,0.0029003789532872845,0.0009501421957698142,9821949499436.459,0.005812579653833889,0.0008100148308736423,9681168439802.844,0.08400001668376174,0.025102075652770315
Binary Segmentation Linear,6874,8765,28185,80.39305171282695,17.761073112487793,42.06347703933716,59.82455015182495,18386174216689.234,0.2807181195090109,0.1146980307899006,46392782580851.79,0.203910289555754,0.061922592196836455,0.010274120166300395,0.010071243036211453,0.0018804776751472556,6.90650800353623,0.042167032630749696,0.005188960100944862,13565302323478.277,0.03735424365850855,0.5054889123081103,52659866116778.85,0.016102260262221543,0.0016817338186974056,21834020872967.184,0.09838719810874136,0.11514345114827214
Binary Segmentation Clinear,2139,8765,32920,93.898856213811,8.026890993118286,9.33533501625061,17.362226009368896,17057550754876.232,0.33138262739396845,0.15252337470277316,28674890826095.703,0.36523781955480894,0.18395241117394737,0.022846766884918553,0.0223515945589492,0.0019796482067091685,12.415711005212529,0.062241581237955014,0.006819095214290125,61826999871937.445,0.04762232260349785,0.4942654003168721,43219008502719.266,0.07570328199855267,0.2750365884526503,25129741659273.234,0.15075653789129095,0.1857627530112069
Binary Segmentation Rank,33129,8765,1930,5.505005847286004,8.977454900741577,258.27147912979126,267.24893403053284,7706653701801.97,0.2745210073351583,0.10026102719681652,30386489847280.91,0.1758602804200706,0.04191649432552488,0.005552840763275828,0.005419596984264511,4.570649354759078e-05,6.694912963898633,0.03359164590035999,0.0033936911666707123,3686357641504.5664,0.0022252206823959366,0.0008424141956848765,25950196483712.99,0.008748494270490535,0.000606986257721184,11288282945717.635,0.08339437426545591,0.02451105327266095
