Approach,# Train,# Test,Cut,% Cut,Cut Seconds,Train Seconds,Total Seconds,T_out_MAPE,T_out_MAE,T_out_MSE,Press_mm_hg_MAPE,Press_mm_hg_MAE,Press_mm_hg_MSE,RH_out_MAPE,RH_out_MAE,RH_out_MSE,Windspeed_MAPE,Windspeed_MAE,Windspeed_MSE,Visibility_MAPE,Visibility_MAE,Visibility_MSE,Tdewpoint_MAPE,Tdewpoint_MAE,Tdewpoint_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Window L2,6268,3947,9520,60.29896123638206,0.2642641067504883,33.10004997253418,33.36431407928467,0.34150173791707905,0.24156194332258998,0.08549683663625861,0.007402687122048587,0.0072900593166687275,7.237073792224698e-05,0.2301461541284324,0.12403329050287484,0.023057646134318727,225872705988.54593,0.08083175598208249,0.009622759141118094,0.21259099021833744,0.07409455195733528,0.012137006410194832,1705077740196.4934,0.3129415472513328,0.1349878632409045,321825074364.28796,0.14012552472214743,0.04422908038345277
Window Normal,8178,3947,7610,48.20116544210793,0.6313760280609131,32.54719805717468,33.178574085235596,0.35481479323782905,0.25342500653200856,0.09348609121742234,0.010598442604415151,0.010367787631549753,0.00014542435276798757,0.23237949119886026,0.12631798991406853,0.023546513716210037,275411968886.0097,0.09616956981268293,0.012853489583932568,0.21313387999223443,0.07628360818101373,0.012041313958282517,1295136656139.1965,0.34837502898822587,0.16980433732487907,261758104171.00244,0.1518231651765917,0.05197952835891576
Window RBF,10368,3947,5420,34.32987078794021,12.158565998077393,37.95747518539429,50.11604118347168,0.4086550633583254,0.29809553530898975,0.12047639079053897,0.009279202031113284,0.009124922418405117,0.0001164744325464771,0.23058748624950964,0.1258255264719614,0.02315505170816746,281157488659.4509,0.09841415267633828,0.013536573828301491,0.21664349396882726,0.08365138038891,0.01208702775425912,970660021238.9508,0.3838943631323095,0.20819884841169295,208636251649.87085,0.16650098006615247,0.06292839448758443
Window Cosine,6268,3947,9520,60.29896123638206,4.799094915390015,29.332356929779053,34.13145184516907,0.33707287742782227,0.23878447092007687,0.08479379547312045,0.007705106621119219,0.007600229882884701,8.326933644470809e-05,0.22822018539172362,0.12437027416212315,0.02283838852237788,234314922769.0712,0.08172430225954724,0.009630272272270979,0.20633429053548136,0.08073811350428509,0.011222804912744142,1685280284835.1802,0.3112168352486217,0.1329106900793753,319932534600.8186,0.14073903766292317,0.043579870099388913
Window Linear,1393,3947,14395,91.1768431720294,0.34606313705444336,11.827569246292114,12.173632383346558,0.4063227598429178,0.3095850931067993,0.1309890001027254,0.023005600561135472,0.022762413662739945,0.0006549685270675973,0.22532381812508306,0.13211428711262696,0.02432289589210603,393608366393.4348,0.13236048897608307,0.0252444325074357,0.22384987285556043,0.09285140843091103,0.014436478874972205,1470471774013.4663,0.6345349552911894,0.5687895867271168,310680023401.32654,0.22070144109672582,0.12740622710523714
Window Clinear,6293,3947,9495,60.14061312389156,0.24298906326293945,29.39728808403015,29.64027714729309,0.3371076023141129,0.23604915606851432,0.08354660867098214,0.006732072964233542,0.006622830371973783,6.552225834118598e-05,0.23110969853057367,0.12730106479907663,0.023499975040330506,240924294669.83447,0.08234259096208234,0.009798349435644666,0.2095145137978815,0.07989399348856771,0.01142773932891094,1751545708561.744,0.31226756684861734,0.1339773826353674,332078333872.0424,0.14074620042313862,0.043719262894929556
Window Rank,1423,3947,14365,90.98682543704079,0.39722490310668945,11.026132822036743,11.423357725143433,0.42568709513076886,0.3287890106322488,0.1469351196120339,0.01847331527514878,0.01820739202040485,0.0003904239625921216,0.23850546704547726,0.1382791956646357,0.027172231095125145,399401110923.0511,0.14108240262674615,0.028290966517128528,0.22549436121891214,0.08929160006373724,0.013574895364132143,1540333173953.5796,0.6395571562405442,0.5826252122945036,323289047479.618,0.22586779287472036,0.13316480814091966
Window Mahalanobis,1358,3947,14430,91.39853052951608,1.7655391693115234,10.477931022644043,12.243470191955566,0.4053280852740524,0.3104043522004203,0.13248110542924876,0.01594684187278069,0.01575386689849753,0.00032545644138111916,0.23549926903096002,0.133655129573694,0.025869322665100593,346604548559.9944,0.12082170630308886,0.022003688920583374,0.2175068834591009,0.08394828473578692,0.012865679404509538,1511592126075.1562,0.616035812239883,0.5402798232738457,309699445772.6921,0.21343652532522916,0.12230417935577824
Window AR,6223,3947,9565,60.583987838864964,0.3842489719390869,35.97689175605774,36.361140727996826,0.3454170459688959,0.24481623214305057,0.08776778616636048,0.007386231999318333,0.007257164959377422,7.715970120722402e-05,0.2414940653820939,0.12882796343537536,0.025337802173227297,259583044375.36392,0.08916870052772843,0.011449102651459759,0.20507262586745653,0.07277358198310038,0.011067602088130455,1598772260497.213,0.3030459472371018,0.12794478900295164,309725884145.5404,0.1409815983809558,0.04394070696388951
Window Mean,5510,3947,10278,65.100076007094,21.479527235031128,13.474784135818481,34.95431137084961,0.33202927204943145,0.22616172690727745,0.07850533409680563,0.006680561134298771,0.006569697861382802,7.9880373156099e-05,0.21486635799871226,0.12633967938565738,0.0216769092956066,289366645990.89594,0.09744498872452578,0.013288462122831047,0.22028028515011894,0.08250372575061318,0.012412654311888349,1753528807838.6838,0.3264405736148946,0.14873987012530848,340482575638.38116,0.14424339870739186,0.04578385172093272
