Approach,# Train,# Test,Cut,% Cut,Cut Seconds,HPO Seconds,Train Seconds,Total Seconds,CO(GT)_MAPE,CO(GT)_MAE,CO(GT)_MSE,NMHC(GT)_MAPE,NMHC(GT)_MAE,NMHC(GT)_MSE,C6H6(GT)_MAPE,C6H6(GT)_MAE,C6H6(GT)_MSE,NOx(GT)_MAPE,NOx(GT)_MAE,NOx(GT)_MSE,NO2(GT)_MAPE,NO2(GT)_MAE,NO2(GT)_MSE,T_MAPE,T_MAE,T_MSE,RH_MAPE,RH_MAE,RH_MSE,AH_MAPE,AH_MAE,AH_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Window L2,6580,1872,905,12.090848363393453,0.14819002151489258,334.7218008041382,12.859436988830566,347.72942781448364,1.118728437043678,0.26896617889698327,0.08306878457461966,0.05223678543799395,0.008836751639411722,0.00011472696296336638,1.4219058690327357,0.07455776645664636,0.04025505261195669,1.0592546027016456,0.11609229365841009,0.028783189436314777,2.318365118076944,0.3554729277492213,0.1621767668601593,2.3109732091985853,0.10627646101932904,0.04877358852760086,0.8609018726676371,0.10952313394041548,0.060089733749434486,4.176324172496825,0.042070535855163085,0.034598818080775806,1.6648362583320062,0.13522450615194742,0.05723258260047809
Window Normal,6445,1872,1040,13.894455577822312,0.3427002429962158,337.26218700408936,17.317232847213745,354.9221200942993,1.1704632992068258,0.2087990331279688,0.059639434921881104,0.07162359307024325,0.011913874153550299,0.00015416024063547422,1.1445931923123756,0.061590786577940954,0.03753387864262628,1.103775228625428,0.11829010781421485,0.028985980782929924,1.9952485067481371,0.3463115784777109,0.15510905577709752,1.437973429687214,0.08181427009351773,0.04389711709910977,1.4455945674406094,0.11908443670034728,0.05884875383566965,1.415018503933964,0.06059780721812107,0.03305035356428453,1.2230362901280987,0.12605023677042138,0.05215234185802929
Window RBF,470,1872,7015,93.72077488309954,2.162677049636841,81.90551209449768,2.8327999114990234,86.90098905563354,1.2305399046757917,0.1796071801799687,0.052109517712801,0.08207004526111383,0.07497110001658311,0.0065864753369901255,14.131491742304869,0.07388224533915537,0.03869153743611934,0.6325930284020054,0.14032268670315476,0.03924297387565098,1.1870270072907874,0.3779164463787221,0.2109720613166803,15.89258713184477,0.10569793785444141,0.041340833781756965,0.9683707312889142,0.11428007124753208,0.06125526469885613,1.3984544967072454,0.08175091923118735,0.03679140576478223,4.440391760971933,0.143553573368843,0.06087375874045459
Window Cosine,6440,1872,1045,13.961255845023379,0.947296142578125,316.8785569667816,16.431180000305176,334.2570331096649,1.1555931658977485,0.2226852905268324,0.06416799553117152,0.03861215968743517,0.006415627500931905,6.957636786169351e-05,1.0030641537021525,0.062198693112151614,0.03680502095364147,1.1567670914856685,0.1199612958741252,0.02944761791534459,2.16118513251022,0.3548077883604455,0.16126985777597924,4.0386595194248,0.0920637531115686,0.045468521682678176,1.720189532616736,0.10932162383385702,0.05606675090972752,2.198113431179973,0.05237018622750137,0.034398287602674736,1.6840230233130922,0.1274780323184267,0.05346170359238493
Window Linear,4315,1872,3170,42.35136940547763,0.21259093284606934,216.57073879241943,7.813685894012451,224.59701561927795,1.1739708435809695,0.21228516052434016,0.06101883503853171,0.01093100800220933,0.01101449475531284,0.000194451604752492,4.77636435609378,0.061926387930491655,0.041347086038255265,0.7801151471905624,0.10726234236725782,0.025248280835763554,2.406891867692426,0.3656119609184481,0.16977572199222982,1.038432031273931,0.07156765564825515,0.04111725216794929,0.9050502331170021,0.1117124577707324,0.060720583847839245,1.4148076180262747,0.06601918007371758,0.03494151844676815,1.5633203881221442,0.12592495499856932,0.05429546624651118
Window Clinear,6915,1872,570,7.615230460921844,0.1204991340637207,360.3175220489502,28.33525776863098,388.7732789516449,1.1306855111519793,0.24093361089574747,0.07036231954211747,0.19027039604713503,0.026854030425479573,0.0007259627493601146,3.34410529281701,0.06867507022233735,0.03980070792981223,1.4584921624329747,0.13022029355484535,0.03215374382097168,2.9318799412634884,0.384296851331079,0.18106981601774866,1.4160316013842829,0.07243869490147277,0.04338218987345672,1.7276183387886948,0.12828034985589598,0.06030688482608467,1.3523912086032117,0.07390973221572834,0.035213132942590424,1.6939343065610954,0.14070107917532315,0.05787684471276774
Window Rank,790,1872,6695,89.44555778223113,0.28549885749816895,88.67642307281494,4.180282115936279,93.14220404624939,1.4098839647333705,0.14029262558931535,0.04710531910510297,0.04214335483548457,0.04336866847506605,0.003486316922728336,1.468974036190983,0.17784911450230065,0.050871741064892624,0.5128361677062724,0.12939299451098937,0.027310678854987662,0.5041294642935727,0.21675795112906915,0.09944974383980452,1.4720863089023972,0.20550304785092288,0.056849071573735754,2.564039459780859,0.19229072612809417,0.06976491897901091,1.1150154093382707,0.1665874623744515,0.04416735981354922,1.1361385207226524,0.159005323820026,0.0498756437692265
Window Mahalanobis,715,1872,6770,90.44756179024716,0.4302639961242676,86.78893303871155,3.4052507877349854,90.6244478225708,1.3882279880290664,0.1358796772058624,0.04533487445041978,0.034266155923430935,0.03314922616564876,0.0015557581430087225,2.015305018400166,0.12619064723611198,0.04023385445107805,0.5469188428018118,0.12600731005303148,0.030142582225772784,0.910912230888198,0.2934205375705315,0.13985712565593264,10.5997713316523,0.10905471884619554,0.03820068770691015,9.296153911055805,0.13164418778687056,0.05995086574709948,1.2038484134295562,0.11109169374764151,0.03613124004241273,3.2494254865225423,0.13330474982648652,0.04892587355282928
Window AR,700,1872,6785,90.64796259185037,0.18713760375976562,87.65460395812988,3.2842156887054443,91.12595725059509,1.3387162609564776,0.16590894962678815,0.05247308157005474,0.07053633273779461,0.0649200601842098,0.005699662164302666,21.443759035886504,0.0863386637626293,0.041251037138367766,0.5682348180481158,0.13350391749738774,0.03256457667322583,1.135252305725603,0.32224473233909023,0.1563595308140312,13.663091317979957,0.10291090372459416,0.04193067883953286,1.3716510089156548,0.1401968010903624,0.06657623454187084,1.2297483012833033,0.11944513511434707,0.03914619467483693,5.102623672691681,0.141933645417426,0.054500124552027907
Window Mean,3676,1872,3809,50.88844355377421,5.111618995666504,219.32243704795837,12.511274099349976,236.94533014297485,1.143129613522738,0.25852627388365784,0.07958239995998352,0.017852727010755826,0.017467915915206342,0.0003761768592563968,2.4534182602032586,0.1110619019688158,0.04047236914313811,0.595277700735426,0.10210229226569006,0.02139613521107634,2.7049693392218193,0.37584017027037303,0.1765970084632648,1.8708170170601954,0.0678272878013024,0.04107672104263728,2.9630397448841124,0.13006601684626046,0.06077226940383492,1.2344545140504013,0.12540385768720846,0.040546250892807285,1.6228698645860886,0.14853696457981413,0.05760241637199983
Window Median,3853,1872,3632,48.52371409485638,5.111618995666504,197.8326678276062,13.911507844924927,216.85579466819763,1.1874372114594702,0.21174724953384544,0.0618582479804628,0.01811227595646916,0.017746003848806965,0.00039132742817191173,12.700651965081528,0.06621616288712161,0.0401870839528157,0.7691909912947051,0.10532114326265545,0.024554409145243573,4.9117562525570415,0.42380990354292586,0.21273288241936292,1.366517125731372,0.0747004878964398,0.043290402072920044,0.783678302918274,0.11318230898173547,0.062212898636295956,1.402974508740902,0.07027537324912808,0.03588630715956504,2.892539829217469,0.13537482915033222,0.06013919484935473
Binary Segmentation L1,2110,1872,5375,71.81028724114896,1.7338590621948242,165.6869990825653,7.106797218322754,174.52765536308289,3.3735480261391175,0.07439566168824245,0.04413693730929289,0.01619473824523114,0.015874682738378283,0.000315971249843573,28.708398110862383,0.08030212850883084,0.037336034350999484,0.5245274544455524,0.11407873877094443,0.021640047261007916,0.8821916866295059,0.2523190817317687,0.10564605631025811,7.5888980617148825,0.0799905961748622,0.037622325173088784,0.7446178991011952,0.10963239825622005,0.06175619767244733,1.2645115995557488,0.08604573411015363,0.03420049866759485,5.387860947086693,0.10157987774742495,0.042831758499316565
Binary Segmentation L2,2110,1872,5375,71.81028724114896,0.47947072982788086,155.68754887580872,14.589699983596802,170.7567195892334,1.4990709909595434,0.12333917056369435,0.045343790201026746,0.010295550172622186,0.010171600962123118,0.0001251994634201134,48.826047181507796,0.08473601447142408,0.037770071102289915,0.4972365870602179,0.11357503300418466,0.020714414388578257,0.6772742215139027,0.22318791998138274,0.09080774868671468,3.427531000871265,0.07439609101548719,0.03719712514729153,0.9210336854093755,0.11221929414265223,0.060667439084006444,1.2306041786145054,0.0921446643612931,0.03393117516345303,7.136136674513652,0.10422122356278012,0.040819620404597606
Binary Segmentation Normal,6250,1872,1235,16.499665998663996,0.9328896999359131,344.2705180644989,22.521580696105957,367.72498846054077,1.1570762599778053,0.22403196434495515,0.06478333725253821,0.004866047404845846,0.004835666353028893,4.5603959236434814e-05,1.4778802763244863,0.06477544039514405,0.040627704655639786,1.1039491462920332,0.11879949318286472,0.02960684012418587,1.9465213168931685,0.3438213736563966,0.15484751540676364,1.7108171228373994,0.07997139672028543,0.044943473938929834,1.4225538498602366,0.12957500832901814,0.062104038548813086,1.4775672182990331,0.06651144279415311,0.03671607239988989,1.287653904736126,0.12904022322198064,0.054209323285749615
Binary Segmentation RBF,6255,1872,1230,16.432865731462925,84.93621468544006,303.385351896286,28.204637050628662,416.52620363235474,1.167575299669899,0.21749012429311043,0.06287192762132593,0.007610812957967956,0.005552124859430624,4.505930581031959e-05,1.0895484753013998,0.06524966081843658,0.04043661483577373,1.503092123690575,0.1310473179444399,0.03294183872309652,1.8057900564548306,0.3359450847693148,0.14873743277892093,2.7679795039328923,0.09198320886833461,0.04742689721899577,1.3252578918774534,0.11116117477379961,0.05799452859532304,1.5728560954852906,0.05620142885395418,0.03359968681110689,1.4049637824212886,0.12682876564760254,0.05300674823629418
Binary Segmentation Cosine,6255,1872,1230,16.432865731462925,84.31221199035645,316.9301550388336,13.959085941314697,415.20145297050476,1.1617911053009156,0.22269596299676644,0.0645811913450506,0.006098555306455559,0.004439193595352794,4.153234171210119e-05,9.473138033170594,0.07184498498723135,0.04006968144469583,1.4107327200850819,0.12898602414286486,0.03284993355730937,2.655867615569141,0.37525873020204,0.17630610163961033,1.546954784513331,0.07900516622252884,0.04430394161041313,2.2341692424732225,0.11987238318301474,0.05825457661653136,1.3299633907169073,0.07509438700657949,0.03452460747651582,2.4773394308919547,0.1346496040420472,0.05636644575397983
Binary Segmentation Linear,2110,1872,5375,71.81028724114896,0.975632905960083,154.1579110622406,8.163576126098633,163.29712009429932,2.6117792381774465,0.07961098851616531,0.04450657829845068,0.014913489624206813,0.01447079736821913,0.0004883550536105675,5.274504865224842,0.06822409661168757,0.034494982808835555,0.5216906199968102,0.10913075059224338,0.02064053249634448,1.0663804318043806,0.27539743609009504,0.11644946932507837,1.14732640304779,0.0646281483745749,0.03612438402878716,3.6936996358407757,0.10928558779258918,0.05588079419463431,1.2702141332937822,0.07568454096057248,0.0321449772888971,1.9500636021262538,0.09955404328826828,0.04259125918682978
Binary Segmentation Clinear,5715,1872,1770,23.647294589178355,0.6183919906616211,315.28767371177673,30.96164298057556,346.8677086830139,1.1577481232374323,0.22752642387084096,0.06630613312227207,0.006089601061173985,0.006010771956977041,7.782715462050633e-05,0.9926415982235756,0.06203703385163229,0.03613122891240016,0.9192049519809452,0.1117495066699131,0.026551620875745058,2.747631207092966,0.37876953936997454,0.1781641626198356,0.8660069734666369,0.07434303712972849,0.03943548992167242,5.8436742105728925,0.11316742668941271,0.05377742246826526,1.3468522136605785,0.06566035107266903,0.03281464574950235,1.7349811099120271,0.12990801132639337,0.05415731635303926
Binary Segmentation Rank,6255,1872,1230,16.432865731462925,0.5877468585968018,349.3575530052185,33.59145188331604,383.53675174713135,1.1443892944151497,0.22531674711617955,0.06453998663952293,0.015259985057996575,0.010916950130537607,0.00013012642865225515,1.2087808572965546,0.06257446904711099,0.03825072807812603,1.4679931110483642,0.13007449509179603,0.03247173410666942,2.814642044092574,0.37994488959930633,0.1774193844353905,1.3913563362000985,0.08750456618168656,0.04484386767714913,1.5552958862121362,0.12029535510660282,0.05927259502857887,2.095558864478836,0.047607403085445824,0.03246563014461381,1.4616595473502139,0.13302935941983307,0.05617425656733789
