Approach,# Train,# Test,Cut,% Cut,Cut Seconds,Train Seconds,Total Seconds,CO(GT)_MAPE,CO(GT)_MAE,CO(GT)_MSE,NMHC(GT)_MAPE,NMHC(GT)_MAE,NMHC(GT)_MSE,C6H6(GT)_MAPE,C6H6(GT)_MAE,C6H6(GT)_MSE,NOx(GT)_MAPE,NOx(GT)_MAE,NOx(GT)_MSE,NO2(GT)_MAPE,NO2(GT)_MAE,NO2(GT)_MSE,T_MAPE,T_MAE,T_MSE,RH_MAPE,RH_MAE,RH_MSE,AH_MAPE,AH_MAE,AH_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Window Normal,6445,1872,1040,13.894455577822312,0.2994499206542969,49.13953518867493,49.438985109329224,38.119995806719395,0.2311323169422533,0.06360036330389987,0.08188437397084915,0.014505646407590637,0.0002520021558418572,0.6788926993617124,0.056761776684516235,0.028173788755704837,0.5053958522807025,0.11767526444909217,0.026715497201046903,0.5811017969895037,0.31369523102634533,0.1293266926770337,156805366183.50174,0.06882263069216751,0.033158018949420026,0.3031984980128402,0.10959509649762518,0.043088774143270996,9.95476291005825,0.05943284186759065,0.024828929433071033,19600670779.215874,0.12145260057089746,0.04364300832741119
Window RBF,470,1872,7015,93.72077488309954,2.17474102973938,4.488210916519165,6.662951946258545,32.66343077137775,0.2052717264006029,0.05694548982433818,0.020612629520988975,0.020612629520988975,0.0007026193016040291,4.633797109101116,0.12732551504948023,0.03540191222586685,0.7634788163695537,0.1343594316588978,0.034673400608185766,0.5471640593139674,0.4001464815014639,0.22546097098362936,131004220950.16887,0.13463299842809226,0.03840456069999565,0.4033810608550465,0.14114323116423458,0.05341429536058181,36.206233067892065,0.12658052899205358,0.03241400519041325,16375527628.175903,0.1612590678394767,0.05967715677432685
Window Cosine,6440,1872,1045,13.961255845023379,1.0046279430389404,23.55180287361145,24.55643081665039,33.208546801621345,0.20296450261830004,0.05470725380141274,0.11949434669317816,0.021168174790642723,0.00047963333669607297,0.8640922092277183,0.05588650163685748,0.02985615346399118,0.4904785881174835,0.11201885129531562,0.02644036963417606,0.6249930610888139,0.3356400399385889,0.14554787653171614,169878028957.62024,0.07280627897050203,0.03633245358678701,0.2908396488564021,0.10288317520931642,0.045180357437728136,8.794740175797072,0.05945496566456086,0.029363458905137717,21234753625.251633,0.12035281126551027,0.04598844458720569
Window Linear,4315,1872,3170,42.35136940547763,0.1837010383605957,19.977480173110962,20.161181211471558,37.524811591510066,0.23230099652606104,0.06538343263635332,0.007065369296649186,0.007065369296649186,8.028239736918611e-05,0.7081939317300016,0.062039131735628784,0.033240273284167336,0.494203916119952,0.09820946565500807,0.021613391477993397,0.7179115321790687,0.3700566576918632,0.16588028510741815,143853220493.87915,0.06536304742740243,0.034208445904814005,0.3011949017651098,0.10380344672958108,0.04777923449350583,14.077936332471824,0.07146718473503028,0.02691420494872105,17981652568.463787,0.12628816247465285,0.049387443781292825
Window Clinear,6915,1872,570,7.615230460921844,0.11853313446044922,19.613090753555298,19.731623888015747,32.902602674349076,0.2040054356937434,0.05637858800340214,0.0750827047475701,0.01262955504584863,0.00036453248599977687,0.7344290423338518,0.0520627377705224,0.023431758478298245,0.5531056159585486,0.13274228375463087,0.03356391689160655,0.7311140405661438,0.38143483369517156,0.17623304325344005,189561814418.4553,0.07794414163235046,0.030161516131083456,0.3191264135707607,0.11083700167258688,0.04225621654187016,9.691516893724263,0.054568289859747376,0.0203098264539474,23695226807.932713,0.1282780348905751,0.04783742477995605
Window Rank,790,1872,6695,89.44555778223113,0.22899818420410156,5.85828423500061,6.087282419204712,14.694684393468542,0.10917394737948842,0.03997362621285766,0.008581476109277147,0.008581476109277147,0.00023527415692380197,9.00359649519788,0.1977165515386547,0.050277109936234105,0.9672280942482635,0.12822959984148202,0.02590248476570272,0.3883628296613334,0.24366959437419058,0.1097231666128314,310086887301.4406,0.20444647146760617,0.05240353584124807,0.6868215633120065,0.20751059183520704,0.06603549868310184,58.191037258292184,0.1823464920282111,0.04293199276177037,38760860923.17256,0.16020934057176445,0.04843533612133373
Window Mahalanobis,715,1872,6770,90.44756179024716,0.42528676986694336,5.470713138580322,5.895999908447266,19.751371607348283,0.14375356849387247,0.04743170547826205,0.013000026848616612,0.013000026848616612,0.0005954880519561857,4.01158450595625,0.1138987186706178,0.033552084145191605,0.8551869760678606,0.13070980362267,0.029976814496078228,0.3748237742883866,0.238812390679278,0.11093786969203204,148580950005.6784,0.12868573492744653,0.035803628742108,0.3745051984373132,0.1327849034199646,0.050728427465956245,32.12688054967226,0.11717719822525045,0.030963829689867196,18572618757.898205,0.12735279311096454,0.04249873097018146
Window AR,700,1872,6785,90.64796259185037,0.18016290664672852,4.321897029876709,4.5020599365234375,18.692583866977706,0.1293957171412839,0.04563108738093999,0.039243843376476704,0.039243843376476704,0.0038381152633237352,4.5233175731745545,0.12367900498104319,0.035742473321815973,0.8766590886120222,0.13000450338708727,0.029317049328966362,0.39574421807405863,0.25466914195178175,0.11496262936167695,131457754527.15337,0.13239777780297454,0.039122412381839444,0.36700352258266367,0.1313129955390903,0.054002889294313634,32.82451048986265,0.11998028590218816,0.03422760386174056,16432219323.109085,0.13258540876024064,0.044605532524327036
Window Mean,3676,1872,3809,50.88844355377421,4.97224760055542,14.42458176612854,19.39682936668396,24.754815608211345,0.17054447267368714,0.049761489929594914,0.007605849514058704,0.007605849514058704,0.00012931250802571668,2.041412671886847,0.08077881704011967,0.031717410365632255,0.6822008290142636,0.09482115377542553,0.01778274452510882,0.5219615387814743,0.2911948927241775,0.12123981304392356,46916328581.12657,0.0660448873971087,0.0298030144009972,0.34121175740205173,0.12214423190794747,0.04840420980652068,22.669409678379687,0.0935459477504587,0.027322948571123704,5864541079.018159,0.11583503159787277,0.040770117893865886
Window Median,3853,1872,3632,48.52371409485638,4.97224760055542,18.11114192008972,23.08338952064514,26.73959803960256,0.1743011040291901,0.04820953478455328,0.0038102477868824157,0.0038102477868824157,4.153489224815662e-05,0.7991737981508024,0.05727463582830439,0.031014571622765417,0.54427327350952,0.09554347059558368,0.02014285833653465,0.6908675944159541,0.363507806037164,0.16397187088805867,115502523155.58368,0.06075316102068482,0.031337414089744865,0.2949385281108051,0.09902580603252467,0.04611729697739856,8.453127323706386,0.05580837867037726,0.026394036176616318,14437815399.138678,0.11375307625008879,0.04590363972098996
Binary Segmentation L1,2110,1872,5375,71.81028724114896,1.604341983795166,11.12857174873352,12.732913732528687,7.882163651793817,0.08058819700450745,0.04120849014617604,0.006768972752241283,0.006768972752241283,7.962426719107061e-05,0.6760509928051939,0.05737613908154716,0.028470571047044164,0.9399922025385946,0.10915980916845305,0.019169224428092903,0.38188163306311007,0.2153204043235742,0.08603789845924559,84021323253.14426,0.05595129340485177,0.026803464767895444,0.3417119169601387,0.10015080673192843,0.045702417674939856,11.794894372343208,0.06306696552505867,0.02500543236155834,10502665409.395988,0.08604782349902021,0.034059640394017945
Binary Segmentation L2,2110,1872,5375,71.81028724114896,0.42024922370910645,7.543596982955933,7.963846206665039,12.943320891936358,0.10245156458066551,0.039144668945221124,0.015784369684735827,0.015784369684735827,0.00040740436118697637,1.5738814885324703,0.058646894276277936,0.0273452304674453,1.0667891508666956,0.1195189635472655,0.0216049238112095,0.375069998251244,0.20878894773398193,0.0837789670993553,160215647940.21112,0.06307667085372971,0.027342713859257246,0.45221228668290375,0.11624217250568458,0.04630255354577909,7.754149206701477,0.050955372501533536,0.02413404838291465,20026955995.54907,0.09193311946048426,0.033757563809046105
Binary Segmentation Normal,6250,1872,1235,16.499665998663996,0.7644898891448975,38.07390069961548,38.838390588760376,35.23857955629364,0.21441089637691788,0.05820326613475174,0.00487279636291013,0.00487279636291013,5.8041296954108434e-05,0.8638137586225889,0.0541509176835937,0.02839940388107619,0.528609366388468,0.12361445719018921,0.02886774805200271,0.5971344943781535,0.32422387878764786,0.13911294342845829,191452323293.1074,0.07565804514713965,0.03423076198394621,0.29081109928163423,0.10327360387414135,0.04466272655317754,7.481328049857079,0.05382147327627024,0.02634993011071723,23931540417.26408,0.11925325858735114,0.04498560268013548
Binary Segmentation RBF,6255,1872,1230,16.432865731462925,85.08569312095642,20.425729990005493,105.51142311096191,36.81663832527663,0.22742573347366526,0.06396262086631957,0.017604191665195612,0.012803048483778627,0.0002862088722610446,1.5310944096937198,0.058014234495634365,0.026600149802893793,0.5015286541595175,0.11057612773534155,0.02617987384185726,0.5317996800741466,0.2970219941047959,0.1252891112914531,176878598955.25534,0.07032186902790123,0.03410392138216936,0.31991591302949657,0.11154612146657528,0.043116627487201215,10.603845970402569,0.06043808352094579,0.024915345262158085,22109824875.697243,0.11851840153857955,0.04305673235078917
Binary Segmentation Cosine,6255,1872,1230,16.432865731462925,84.72544693946838,23.25512194633484,107.98056888580322,41.1829617278473,0.24477032104156934,0.07006807152932018,0.010460999000807571,0.007607999273314598,0.0001259370686196396,1.212563474296791,0.05528364183178056,0.030187324427196863,0.46687772339472794,0.10904970479125628,0.025107794276606584,0.6148557713151077,0.3280749738177005,0.13902008753203873,193431602981.47278,0.07626953968611863,0.03510203186413488,0.3130050555339228,0.11324964158683616,0.04921962298126689,6.480488838997364,0.051844820290328955,0.026729501192481128,24178950378.969166,0.12326883028986296,0.046945046358958124
Binary Segmentation Linear,2110,1872,5375,71.81028724114896,0.9987130165100098,8.7134530544281,9.71216607093811,9.868905062090496,0.08896372766323767,0.03999103334476679,0.013838719266988637,0.013838719266988637,0.00030833874596287373,1.7584955934448565,0.08466503966497832,0.028256313642642365,0.8906206805761961,0.10815019244710163,0.02003161446289112,0.3963687122975901,0.22160759474111164,0.08943564588486413,11435264966.20518,0.07710277750089804,0.027928135782476993,0.3318405225214187,0.11046519952127984,0.04278785219884894,21.745579539323995,0.08791154749643812,0.023312697954941217,1429408125.1513484,0.09908809978775414,0.03400645400217432
Binary Segmentation Clinear,5715,1872,1770,23.647294589178355,0.5771329402923584,21.822823762893677,22.399956703186035,34.625707317454676,0.21711206314046005,0.0601811099762175,0.008201529513095723,0.008201529513095723,0.00017285484302104564,1.0108279228224066,0.06686097489698084,0.02949475612393776,0.48029033837859086,0.10471706319276299,0.023926370870627912,0.6315044119851188,0.3373464100215432,0.14597628112781552,171355449489.6478,0.06722386288299316,0.033928488615885745,0.33247704284370433,0.11868868373048369,0.04573299289263634,9.796510019856644,0.060373929722941366,0.02587981684201171,21419431192.066616,0.12256556463765748,0.04566158391151924
Binary Segmentation Rank,6255,1872,1230,16.432865731462925,0.5306398868560791,30.597090244293213,31.127730131149292,39.76489546854436,0.2409014384338108,0.06791270596099235,0.007037163723569796,0.0051179372535053065,4.631459627344351e-05,0.6825966028841478,0.057822181628302896,0.02935218698040372,0.50305716680288,0.11885018123815676,0.02734494504434077,0.6229293753882588,0.3354682992085135,0.1462214558262493,167133996086.0737,0.06938899504522776,0.03160170716380649,0.303393424497132,0.109032779196472,0.04447689271122441,13.950705939791073,0.0701185043693694,0.026266873598367317,20891749517.738476,0.1258375395466697,0.04665288523520725
Binary Segmentation Mahalanobis,6255,1872,1230,16.432865731462925,83.27886581420898,38.19575595855713,121.47462177276611,30.429631431892723,0.1928510416801909,0.05159485906460548,0.008825754635934836,0.0064187306443162446,0.00015182863174136585,0.7810171972402336,0.056780408443472576,0.02834253241927202,0.49016313561921804,0.10760471666388419,0.023974762947965134,0.5464045913826191,0.30007884821052494,0.12385418726908659,160752428894.16193,0.0654365131949092,0.029606409859681642,0.29742155747138804,0.10618866459559499,0.04282862062444777,10.034203497687859,0.059622477597452296,0.024609527785932627,20094053617.093666,0.11187267512879306,0.04062034107534157
Binary Segmentation AR,6255,1872,1230,16.432865731462925,1.4614660739898682,46.06946682929993,47.530932903289795,30.69843893226705,0.19498982482371957,0.052988375761332675,0.006480111497337013,0.0047128083616996466,3.453540706405359e-05,0.808197299600849,0.052367688772393936,0.02861326222571015,0.45666005632960577,0.09727355602826018,0.020837246127283618,0.5987248414030706,0.3221460541242515,0.1358775177520485,171556092399.1391,0.07371208212688046,0.032881253956873295,0.28662092167977554,0.10346023132642855,0.0438690172543012,7.3901426765834,0.05451865337571599,0.02651688192062776,21444511554.923042,0.1128976123674186,0.04270226130065522
Binary Segmentation Mean,4957,1872,2528,33.77421509686039,259.4470388889313,17.457356691360474,276.90439558029175,35.93257398969266,0.22135201381908345,0.06099900028034208,0.007493246624361094,0.007493246624361094,8.957549420649911e-05,1.8230201469019034,0.0569786096066636,0.024171474325860153,0.4845057397789524,0.10681067895649893,0.024233612142674447,0.6002895462993058,0.3246738678129045,0.13864246082182302,232807342113.6922,0.0898668408521139,0.029893518384281784,0.30054190893917215,0.09512898412088366,0.03785165270125647,3.358869428198631,0.03997120378418665,0.021367897192927025,29100917769.524956,0.11778443069708683,0.04215614891792144
Binary Segmentation Median,6253,1872,1232,16.459585838343354,259.4470388889313,13.866116762161255,273.31315565109253,34.489191846791044,0.21214506210488024,0.05963252391527347,0.013419176841868791,0.013419176841868791,0.00026650921540531436,1.5021493978785792,0.054145746518391866,0.012972047610941407,0.5288319729829076,0.1192903688215076,0.029109862600855914,0.6317802748360161,0.34040858133623614,0.15150336857581326,126483575358.67213,0.05605473474636076,0.021239042540554757,0.33720838765384203,0.11532195168828276,0.034107916683175914,13.660951627961657,0.05939496196290102,0.015957521500178873,15810446926.229471,0.12127257300255354,0.04059859908027484
Bottom Up L1,2110,1872,5375,71.81028724114896,0.15937089920043945,10.918086767196655,11.077457666397095,13.975605409187748,0.11024970676754338,0.040619076199338605,0.014683168758975277,0.014683168758975277,0.00028118077574694966,0.7616989272792676,0.056214473033694416,0.02679110572287682,1.0152925957147783,0.11449204874154369,0.020249661743731155,0.37795290707936463,0.20893894757033463,0.08276960658076701,81130676405.12334,0.060747935290470845,0.026780463159737176,0.3199940680148036,0.100372552968286,0.04453772814736611,18.973738261415722,0.08334747380312128,0.026765355620761686,10141334555.070307,0.09363078836674613,0.03359927224379067
Bottom Up L2,2110,1872,5375,71.81028724114896,0.09897398948669434,7.5582499504089355,7.65722393989563,12.037776438711468,0.10497064987786174,0.04293192986271274,0.016938912101469476,0.016938912101469476,0.0004969219414983315,1.6283292935644325,0.07041254699872783,0.02538843382286854,1.0837848259180909,0.12170612588862052,0.02252246357551944,0.3877104463700164,0.21394837794113558,0.08536127290535749,12898956743.237549,0.07609501847275621,0.02685967196194193,0.3421224597948937,0.10269962532732027,0.044456709657885354,14.246370651842446,0.07024049135340328,0.024923716382989194,1612369596.622574,0.0971264684951618,0.03411764001384663
